时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
浙联储
2015-3-26,2.0,200.0,36.5,13.0,2,100.0,no_data_yet,no_data_yet,27.79,2873.35
2015-3-27,3.0,230.0,36.5,23.0,3,76.667,no_data_yet,no_data_yet,46.66,2924.05
2015-3-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,46.66,2924.05
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,46.66,2924.05
2015-3-30,2.0,240.0,36.5,11.0,2,120.0,no_data_yet,no_data_yet,12.08,2938.77
2015-3-31,2.0,150.0,36.5,13.0,2,75.0,no_data_yet,no_data_yet,18.31,2959.03
2015-4-1,1.0,100.0,36.5,13.0,1,100.0,no_data_yet,no_data_yet,100.0,3060.33
2015-4-2,3.0,270.0,36.5,22.3,3,90.0,no_data_yet,no_data_yet,26.29,3039.65
2015-4-3,2.0,170.0,36.5,29.0,2,85.0,no_data_yet,no_data_yet,85.3,2959.54
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,85.3,2959.54
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,85.3,2959.54
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,85.3,2959.54
2015-4-7,2.0,230.0,36.5,10.0,2,115.0,no_data_yet,no_data_yet,7.02,2968.86
2015-4-8,4.0,271.0,32.85,16.3,4,67.75,no_data_yet,no_data_yet,14.0,2958.4
2015-4-9,4.0,580.0,36.5,25.3,4,145.0,no_data_yet,no_data_yet,44.83,2927.71
2015-4-10,4.0,715.0,36.5,21.5,4,178.75,no_data_yet,no_data_yet,35.34,2978.77
2015-4-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,35.34,2978.77
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,35.34,2978.77
2015-4-13,3.0,430.0,36.5,16.7,3,143.333,no_data_yet,no_data_yet,20.3,3008.37
2015-4-14,2.0,180.0,36.5,13.0,2,90.0,no_data_yet,no_data_yet,78.7,3089.41
2015-4-15,1.0,160.0,36.5,30.0,1,160.0,no_data_yet,no_data_yet,38.44,3132.65
2015-4-16,1.0,64.05,36.5,29.0,1,64.055,no_data_yet,no_data_yet,64.05,3198.56
2015-4-17,2.0,240.0,36.5,11.0,2,120.0,no_data_yet,no_data_yet,7.7,3208.9
2015-4-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,7.7,3208.9
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,7.7,3208.9
2015-4-20,2.0,190.0,36.5,9.0,2,95.0,no_data_yet,no_data_yet,190.0,3400.61
2015-4-21,1.0,290.0,36.5,13.0,1,290.0,no_data_yet,no_data_yet,26.62,3431.0
2015-4-22,2.0,230.0,36.5,13.0,2,115.0,no_data_yet,no_data_yet,47.66,3481.65
2015-4-23,2.0,360.0,36.5,13.0,2,180.0,no_data_yet,no_data_yet,145.96,3340.37
2015-4-24,3.0,220.0,36.5,26.0,3,73.333,no_data_yet,no_data_yet,34.74,3379.27
2015-4-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,34.74,3379.27
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,34.74,3379.27
2015-4-27,1.0,140.0,36.5,14.0,1,140.0,no_data_yet,no_data_yet,50.46,3330.77
2015-4-28,1.0,290.0,36.5,14.0,1,290.0,no_data_yet,no_data_yet,44.31,3379.14
2015-4-29,3.0,415.0,36.5,19.3,3,138.333,no_data_yet,no_data_yet,69.24,3455.95
2015-4-30,1.0,25.0,36.5,32.0,1,25.0,no_data_yet,no_data_yet,4.46,3461.21
