时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
浙里投
2015-3-26,2.0,9000.0,8.4,450.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9000.0,69278.14
2015-3-27,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3.96,69274.18
2015-3-28,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,26.38,69247.8
2015-3-29,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,13.28,69234.52
2015-3-30,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,15.11,69219.41
2015-3-31,3.0,9000.0,8.27,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9000.0,79735.41
2015-4-1,6.0,9000.0,8.35,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,8986.85,90234.26
2015-4-2,2.0,4000.0,8.5,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3996.71,94910.97
2015-4-3,2.0,3000.0,8.4,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3000.0,98416.97
2015-4-4,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,22.24,98394.73
2015-4-5,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.57,98394.16
2015-4-6,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.57,98394.16
2015-4-7,3.0,5000.0,8.2,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,4998.55,104216.7
2015-4-8,3.0,5000.0,8.27,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,5000.0,110048.7
2015-4-9,3.0,5000.0,8.17,540.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,4997.03,115625.73
2015-4-10,2.0,4000.0,8.3,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3986.17,120275.89
2015-4-11,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3986.17,120275.89
2015-4-12,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,25.33,120250.56
2015-4-13,2.0,4000.0,8.4,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,4000.0,124938.56
2015-4-14,3.0,5000.0,8.2,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,4976.0,130738.56
2015-4-15,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,27.5,130711.06
2015-4-16,1.0,1000.0,8.0,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1000.0,131871.06
2015-4-17,1.0,2000.0,8.1,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1921.53,134116.59
2015-4-18,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,23.01,134093.58
2015-4-19,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,7.08,134086.5
2015-4-20,2.0,3000.0,8.0,450.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3000.0,137326.5
2015-4-21,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1.49,137325.01
2015-4-22,3.0,6000.0,8.3,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,5986.33,144323.34
2015-4-23,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,46.67,144276.68
2015-4-24,1.0,1888.0,8.8,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1888.0,146496.97
2015-4-25,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,62.67,146434.3
2015-4-26,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3.96,146430.34
2015-4-27,3.0,3100.0,8.03,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3073.62,150002.96
2015-4-28,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,13.28,149989.69
2015-4-29,7.0,8181.0,8.47,618.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,8165.89,159498.4
2015-4-30,3.0,3520.0,8.8,482.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3456.83,163530.27
2015-5-1,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,76.15,163454.12
2015-5-2,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,31.63,163422.49
2015-5-3,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,21.08,163401.41
2015-5-4,1.0,2000.0,8.3,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1977.76,165711.17
2015-5-5,3.0,2500.0,8.03,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2499.43,168612.6
2015-5-6,1.0,2000.0,8.3,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1979.96,170924.56
2015-5-7,1.0,2000.0,8.3,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1944.18,173200.73
2015-5-8,1.0,2000.0,8.3,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1965.33,175498.07
2015-5-9,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,37.14,175460.93
2015-5-10,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,41.5,175419.43
2015-5-11,2.0,3000.0,8.15,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3000.0,178911.43
2015-5-12,4.0,5000.0,8.13,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,4974.67,184703.1
2015-5-13,3.0,7000.0,8.23,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,6971.33,192824.43
2015-5-14,1.0,1000.0,8.0,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,941.66,193926.09
2015-5-15,1.0,1000.0,8.0,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,972.5,195058.59
2015-5-16,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,6.67,195051.93
2015-5-17,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,91.97,194959.95
2015-5-18,3.0,4500.0,8.2,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,4476.99,200180.95
2015-5-19,1.0,2000.0,8.3,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1992.92,202505.86
2015-5-20,2.0,2000.0,8.7,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1980.0,204833.86
2015-5-21,4.0,4000.0,8.43,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3998.51,209506.38
2015-5-22,1.0,1000.0,8.7,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,944.17,210624.54
2015-5-23,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,46.67,210577.88
2015-5-24,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,13.85,210564.03
2015-5-25,2.0,2000.0,8.35,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1937.33,212835.36
2015-5-26,4.0,5000.0,8.33,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,4996.04,218663.41
2015-5-27,2.0,2000.0,8.5,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1952.83,220956.24
2015-5-28,3.0,3000.0,8.17,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2986.72,224432.96
2015-5-29,3.0,3000.0,8.33,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2928.94,227861.9
2015-5-30,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,87.13,227774.77
2015-5-31,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,76.15,227698.63
2015-6-1,1.0,1000.0,8.3,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,968.37,228833.0
2015-6-2,2.0,2000.0,8.5,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1978.92,231151.92
2015-6-3,2.0,2000.0,8.5,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1963.93,233455.84
2015-6-4,4.0,5000.0,8.15,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,4982.68,239256.52
2015-6-5,2.0,2000.0,8.5,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1986.17,241582.68
2015-6-6,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,49.62,241533.06
2015-6-7,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,48.5,241484.56
2015-6-8,3.0,3000.0,8.33,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2962.86,244947.42
2015-6-9,2.0,2000.0,8.5,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1958.5,247245.92
2015-6-10,2.0,2000.0,8.5,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1979.5,249565.42
2015-6-11,2.0,6950.0,8.2,540.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,6890.63,257269.9
2015-6-12,2.0,2000.0,8.5,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1923.42,259533.32
2015-6-13,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,65.0,259468.31
2015-6-14,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,34.17,259434.15
2015-6-15,3.0,3000.0,8.1,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2993.33,262913.48
2015-6-16,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,91.97,262821.51
2015-6-17,4.0,4000.0,8.33,720.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3945.99,267433.5
