时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
浙金网
2015-3-28,1.0,500.0,8.5,731.0,1,500.0,no_data_yet,no_data_yet,500.0,17318.23
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.54,17314.69
2015-3-30,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,29.87,17284.82
2015-3-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.67,17284.16
2015-4-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.67,17284.16
2015-4-2,2.0,800.0,8.4,366.0,1,800.0,no_data_yet,no_data_yet,800.0,18154.1
2015-4-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.67,18153.44
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,27.83,18125.6
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,27.83,18125.6
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.54,18122.06
2015-4-7,1.0,100.0,8.0,731.0,1,100.0,no_data_yet,no_data_yet,100.0,18238.3
2015-4-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.67,18237.64
2015-4-9,1.0,600.0,8.8,366.0,1,600.0,no_data_yet,no_data_yet,600.0,18891.32
2015-4-10,1.0,200.0,8.0,366.0,1,200.0,no_data_yet,no_data_yet,192.92,19100.5
2015-4-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,192.92,19100.5
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,7.08,19093.42
2015-4-13,1.0,400.0,8.0,731.0,1,400.0,no_data_yet,no_data_yet,400.0,19558.4
2015-4-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,400.0,19558.4
2015-4-15,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,400.0,19558.4
2015-4-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.54,19554.85
2015-4-17,1.0,100.0,8.0,731.0,1,100.0,no_data_yet,no_data_yet,99.33,19670.43
2015-4-18,4.0,820.0,9.25,289.3,3,273.333,no_data_yet,no_data_yet,816.46,20574.04
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,816.46,20574.04
2015-4-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,816.46,20574.04
2015-4-21,3.0,220.0,9.4,263.7,2,110.0,no_data_yet,no_data_yet,220.0,20827.5
2015-4-22,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,4.91,20822.59
2015-4-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,4.91,20822.59
2015-4-24,3.0,220.0,9.33,142.0,2,110.0,no_data_yet,no_data_yet,212.5,21051.52
2015-4-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,212.5,21051.52
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,212.5,21051.52
2015-4-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.54,21047.98
2015-4-28,6.0,1330.0,9.17,380.5,3,443.333,no_data_yet,no_data_yet,1326.46,22606.58
2015-4-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,29.87,22576.71
2015-4-30,7.0,1530.0,9.0,430.6,3,510.0,no_data_yet,no_data_yet,1529.33,24360.11
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1529.33,24360.11
2015-5-2,2.0,200.0,8.0,731.0,1,200.0,no_data_yet,no_data_yet,194.27,24586.86
2015-5-3,1.0,100.0,8.0,731.0,1,100.0,no_data_yet,no_data_yet,99.33,24702.44
2015-5-4,1.0,200.0,8.2,731.0,1,200.0,no_data_yet,no_data_yet,172.17,24907.91
2015-5-5,2.0,20.0,9.8,60.0,1,20.0,no_data_yet,no_data_yet,20.0,24928.23
2015-5-6,1.0,200.0,8.0,366.0,1,200.0,no_data_yet,no_data_yet,196.46,25140.96
2015-5-7,4.0,660.0,9.4,136.5,2,330.0,no_data_yet,no_data_yet,659.33,25854.92
2015-5-8,2.0,2100.0,8.25,731.0,1,2100.0,no_data_yet,no_data_yet,2099.33,28315.69
2015-5-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,4.4,28311.29
2015-5-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,8.42,28302.87
2015-5-11,4.0,1200.0,8.18,731.0,2,600.0,no_data_yet,no_data_yet,1200.0,29703.7
2015-5-12,7.0,1160.0,8.56,391.3,4,290.0,no_data_yet,no_data_yet,1152.92,31026.67
2015-5-13,2.0,2100.0,8.1,731.0,2,1050.0,no_data_yet,no_data_yet,2097.33,33473.26
2015-5-14,7.0,2560.0,8.56,443.4,2,1280.0,no_data_yet,no_data_yet,2760.0,36695.49
