时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
海融易
2015-3-26,1.0,100.0,6.3,70.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,3.0,300.0,8.07,241.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,1.0,100.0,8.5,365.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,3.0,129.77,7.47,226.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.77,89.88
2015-3-31,1.0,100.0,9.0,365.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.77,89.88
2015-4-1,1.0,100.0,8.5,365.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.77,89.88
2015-4-2,2.0,40.0,8.0,272.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.77,89.88
2015-4-3,1.0,20.0,8.5,365.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.77,89.88
2015-4-4,2.0,120.0,7.6,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.77,89.88
2015-4-5,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.77,89.88
2015-4-6,1.0,100.0,8.5,365.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.77,89.88
2015-4-7,1.0,20.0,8.5,365.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.77,89.88
2015-4-8,2.0,40.0,8.0,272.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.77,89.88
2015-4-9,3.0,220.0,8.23,303.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.77,89.88
2015-4-10,1.0,20.0,8.5,365.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.77,89.88
2015-4-11,3.0,140.0,8.17,303.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.77,89.88
2015-4-12,2.0,100.0,8.0,272.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.77,89.88
2015-4-13,2.0,60.0,8.1,272.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.77,89.88
2015-4-14,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.77,89.88
2015-4-15,3.0,90.0,7.03,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.77,89.88
2015-4-16,3.0,80.0,7.93,273.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.77,89.88
2015-4-17,1.0,20.0,8.5,365.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.77,89.88
2015-4-18,6.0,210.0,7.63,211.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.77,89.88
2015-4-19,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.77,89.88
2015-4-20,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.77,89.88
2015-4-21,10.0,290.0,7.94,254.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.77,89.88
