时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
温商贷
2015-3-26,8.0,540.0,17.15,183.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,223.36,53429.54
2015-3-27,13.0,6120.0,17.92,210.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,5698.19,60064.96
2015-3-28,7.0,560.0,17.03,154.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,342.33,60466.71
2015-3-29,13.0,560.0,16.15,110.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,136.11,60643.01
2015-3-30,16.0,630.0,16.18,108.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,348.11,61026.68
2015-3-31,22.0,780.0,16.31,113.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,457.35,61540.37
2015-4-1,17.0,1320.0,16.21,107.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1069.89,62723.71
2015-4-2,7.0,980.0,15.81,68.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,729.86,63497.16
2015-4-3,12.0,1620.0,16.09,112.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1347.38,64969.22
2015-4-4,8.0,810.0,16.51,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,405.02,65423.57
2015-4-5,9.0,800.0,16.14,103.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,421.44,65885.94
2015-4-6,5.0,560.0,14.52,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,137.34,66044.45
2015-4-7,9.0,1080.0,14.88,103.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,759.71,66873.44
2015-4-8,12.0,1420.0,15.02,117.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,994.26,67962.72
2015-4-9,10.0,1100.0,15.04,108.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,777.25,68810.0
2015-4-10,8.0,980.0,15.05,112.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,606.03,69481.55
2015-4-11,8.0,840.0,14.68,97.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,452.72,69994.55
2015-4-12,7.0,500.0,14.14,55.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,74.68,70078.52
2015-4-13,6.0,840.0,14.6,75.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,486.65,70604.78
2015-4-14,7.0,760.0,15.36,128.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,540.77,71210.25
2015-4-15,10.0,1000.0,14.89,102.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,775.24,72053.86
2015-4-16,9.0,600.0,14.88,103.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,376.66,72465.05
2015-4-17,11.0,820.0,15.02,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,648.99,73170.34
2015-4-18,9.0,680.0,14.88,103.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,457.46,73665.32
2015-4-19,8.0,630.0,14.86,105.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,411.09,74114.46
2015-4-20,11.0,820.0,15.02,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,602.72,74773.47
2015-4-21,9.0,980.0,15.11,113.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,710.15,75556.04
2015-4-22,8.0,780.0,14.86,105.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,561.56,76172.93
2015-4-23,9.0,780.0,15.28,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,559.02,76778.54
2015-4-24,10.0,920.0,14.74,96.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,649.55,77485.52
2015-4-25,7.0,740.0,15.46,154.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,519.76,78059.63
2015-4-26,7.0,580.0,14.66,77.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,218.57,78298.45
2015-4-27,10.0,1480.0,14.74,96.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1257.08,79631.4
2015-4-28,9.0,1260.0,15.02,126.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,734.05,80466.42
2015-4-29,10.0,720.0,14.89,102.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,183.03,80688.47
2015-4-30,9.0,1000.0,15.04,110.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,300.77,81055.52
2015-5-1,6.0,740.0,15.07,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,84.74,81191.98
2015-5-2,7.0,760.0,15.06,115.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,169.74,81414.2
2015-5-3,5.0,640.0,14.52,72.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,281.36,81155.42
2015-5-4,6.0,840.0,15.07,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,289.48,81507.8
2015-5-5,10.0,1000.0,15.17,129.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,255.55,81845.77
2015-5-6,7.0,680.0,14.44,68.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,46.03,81920.07
2015-5-7,1.0,200.0,17.8,360.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,520.05,81435.62
2015-5-8,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,668.54,80767.09
2015-5-9,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,672.76,80094.33
