时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
滨学贷
2015-6-7,2.0,2.03,8.8,1.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-8,2.0,6.56,16.8,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-9,3.0,6.86,18.4,12.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-10,3.0,6.76,18.4,12.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-11,3.0,7.05,18.4,12.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-12,3.0,6.8,18.4,12.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-13,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-14,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-15,3.0,6.86,18.4,12.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-16,3.0,6.71,18.4,12.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-17,2.0,6.56,16.8,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-18,3.0,6.91,18.4,12.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-19,2.0,6.56,16.8,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-20,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-21,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-22,2.0,6.56,16.8,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-23,2.0,6.56,16.8,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-24,2.0,6.56,16.8,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-25,2.0,6.56,16.8,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-26,2.0,6.56,16.8,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-27,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-28,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-29,2.0,6.56,16.8,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
