时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
点融网
2015-3-26,76.0,2084.76,13.4,498.6,76,27.431,no_data_yet,no_data_yet,1892.1,171939.09
2015-3-27,94.0,4672.68,15.0,534.6,94,49.709,no_data_yet,no_data_yet,4416.75,176589.11
2015-3-28,45.0,212.5,16.53,628.0,45,4.722,no_data_yet,no_data_yet,95.24,176528.03
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,385.96,176142.07
2015-3-30,53.0,930.5,15.51,575.7,53,17.557,no_data_yet,no_data_yet,554.33,176759.98
2015-3-31,95.0,1228.0,16.42,567.5,95,12.926,no_data_yet,no_data_yet,953.18,177816.72
2015-4-1,26.0,520.5,15.85,526.2,26,20.019,no_data_yet,no_data_yet,238.59,178082.79
2015-4-2,50.0,768.0,16.22,532.8,50,15.36,no_data_yet,no_data_yet,378.49,178518.85
2015-4-3,60.0,891.39,16.18,549.5,60,14.857,no_data_yet,no_data_yet,24.58,178606.24
2015-4-4,29.0,132.0,16.54,595.9,29,4.552,no_data_yet,no_data_yet,25.09,178601.34
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,222.31,178379.02
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,157.99,178221.03
2015-4-7,68.0,680.44,16.29,587.6,68,10.006,no_data_yet,no_data_yet,84.55,178370.89
2015-4-8,98.0,1102.0,16.28,591.7,98,11.245,no_data_yet,no_data_yet,845.67,179314.55
2015-4-9,41.0,187.5,17.37,601.5,41,4.573,no_data_yet,no_data_yet,23.55,179321.55
2015-4-10,155.0,1592.5,16.51,604.6,155,10.274,no_data_yet,no_data_yet,1340.93,180811.74
2015-4-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,207.3,180604.44
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,479.22,180125.22
2015-4-13,73.0,823.02,15.58,514.1,73,11.274,no_data_yet,no_data_yet,583.15,180768.96
2015-4-14,63.0,354.0,16.65,657.1,63,5.619,no_data_yet,no_data_yet,17.5,180844.8
2015-4-15,132.0,2680.99,14.4,490.2,132,20.311,no_data_yet,no_data_yet,2347.31,183351.79
2015-4-16,124.0,2458.43,15.51,552.6,124,19.826,no_data_yet,no_data_yet,2251.29,185760.43
2015-4-17,69.0,2049.75,15.5,554.3,69,29.707,no_data_yet,no_data_yet,1816.59,187709.6
2015-4-18,56.0,487.5,16.43,620.4,56,8.705,no_data_yet,no_data_yet,649.16,187114.8
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,345.14,186769.66
2015-4-20,85.0,1319.5,15.8,572.8,85,15.524,no_data_yet,no_data_yet,734.31,187594.26
2015-4-21,117.0,1599.5,14.47,516.4,117,13.671,no_data_yet,no_data_yet,1075.18,188777.8
2015-4-22,126.0,3316.42,14.68,542.9,126,26.321,no_data_yet,no_data_yet,2712.08,191676.89
2015-4-23,208.0,3861.58,15.14,521.5,208,18.565,no_data_yet,no_data_yet,3354.12,195284.49
2015-4-24,95.0,598.56,16.68,608.5,95,6.301,no_data_yet,no_data_yet,320.84,195686.57
2015-4-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,262.5,195424.07
