时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
爱投资
2015-3-26,4.0,3100.0,12.5,315.0,2,1550.0,no_data_yet,no_data_yet,1990.12,312490.95
2015-3-27,4.0,3000.0,13.25,315.0,3,1000.0,no_data_yet,no_data_yet,1525.7,314351.65
2015-3-28,3.0,2000.0,14.0,360.0,2,1000.0,no_data_yet,no_data_yet,875.0,315506.65
2015-3-29,1.0,1000.0,14.0,360.0,1,1000.0,no_data_yet,no_data_yet,2139.38,313507.27
2015-3-30,1.0,550.0,10.0,180.0,1,550.0,no_data_yet,no_data_yet,586.0,312948.77
2015-3-31,2.0,2000.0,13.5,360.0,2,1000.0,no_data_yet,no_data_yet,1948.33,315167.1
2015-4-1,2.0,1400.0,12.5,270.0,2,700.0,no_data_yet,no_data_yet,1303.38,316624.48
2015-4-2,2.0,2000.0,13.5,360.0,2,1000.0,no_data_yet,no_data_yet,1954.46,318848.94
2015-4-3,2.0,1000.0,14.0,360.0,1,1000.0,no_data_yet,no_data_yet,177.0,318811.94
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2105.25,316706.68
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3165.23,313541.45
2015-4-6,1.0,1000.0,14.0,360.0,1,1000.0,no_data_yet,no_data_yet,112.78,313568.68
2015-4-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1105.38,312463.3
2015-4-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,113.47,312349.83
2015-4-9,3.0,2500.0,12.33,300.0,2,1250.0,no_data_yet,no_data_yet,259.49,312340.34
2015-4-10,2.0,2000.0,12.0,270.0,2,1000.0,no_data_yet,no_data_yet,95.0,312620.34
2015-4-11,2.0,2000.0,13.5,360.0,2,1000.0,no_data_yet,no_data_yet,1905.41,314795.75
2015-4-12,1.0,1000.0,14.0,360.0,1,1000.0,no_data_yet,no_data_yet,105.54,314830.21
2015-4-13,2.0,1500.0,12.0,270.0,2,750.0,no_data_yet,no_data_yet,1373.37,316323.58
2015-4-14,2.0,1600.0,11.5,225.0,2,800.0,no_data_yet,no_data_yet,1521.13,317998.2
2015-4-15,1.0,1000.0,10.0,120.0,1,1000.0,no_data_yet,no_data_yet,907.04,318938.57
2015-4-16,2.0,2000.0,12.0,240.0,2,1000.0,no_data_yet,no_data_yet,88.46,319023.45
2015-4-17,2.0,2000.0,14.0,360.0,1,2000.0,no_data_yet,no_data_yet,1861.21,321164.65
2015-4-18,2.0,2000.0,11.5,225.0,2,1000.0,no_data_yet,no_data_yet,926.13,322253.28
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1185.26,321068.02
2015-4-20,1.0,450.0,10.0,180.0,1,450.0,no_data_yet,no_data_yet,410.95,321501.47
2015-4-21,1.0,500.0,9.0,90.0,1,500.0,no_data_yet,no_data_yet,313.69,321826.41
2015-4-22,1.0,1000.0,13.0,360.0,1,1000.0,no_data_yet,no_data_yet,922.58,322878.99
2015-4-23,2.0,1500.0,13.5,360.0,2,750.0,no_data_yet,no_data_yet,623.08,322460.91
2015-4-24,2.0,2000.0,11.5,270.0,2,1000.0,no_data_yet,no_data_yet,841.91,323482.82
2015-4-25,4.0,3500.0,13.75,360.0,2,1750.0,no_data_yet,no_data_yet,1318.78,325286.6
2015-4-26,1.0,1000.0,14.0,360.0,1,1000.0,no_data_yet,no_data_yet,808.53,326235.13
2015-4-27,1.0,1000.0,14.0,360.0,1,1000.0,no_data_yet,no_data_yet,136.25,326238.88
2015-4-28,2.0,2000.0,14.0,360.0,1,2000.0,no_data_yet,no_data_yet,116.04,326402.84
2015-4-29,3.0,3000.0,14.0,360.0,2,1500.0,no_data_yet,no_data_yet,1591.08,328413.92
2015-4-30,3.0,3000.0,14.0,360.0,2,1500.0,no_data_yet,no_data_yet,1125.83,329959.75
2015-5-1,1.0,1000.0,10.0,180.0,1,1000.0,no_data_yet,no_data_yet,1111.46,328898.3
2015-5-2,1.0,1000.0,14.0,360.0,1,1000.0,no_data_yet,no_data_yet,881.96,329920.25
2015-5-3,1.0,450.0,10.0,180.0,1,450.0,no_data_yet,no_data_yet,3268.25,326674.5
2015-5-4,3.0,3000.0,14.0,360.0,2,1500.0,no_data_yet,no_data_yet,2845.91,329940.42
2015-5-5,1.0,1000.0,14.0,360.0,1,1000.0,no_data_yet,no_data_yet,913.94,330994.35
2015-5-6,2.0,2000.0,14.0,360.0,1,2000.0,no_data_yet,no_data_yet,887.64,332162.0
2015-5-7,2.0,2000.0,14.0,360.0,1,2000.0,no_data_yet,no_data_yet,845.46,333287.45
2015-5-8,2.0,2000.0,12.0,270.0,2,1000.0,no_data_yet,no_data_yet,286.53,333763.98
2015-5-9,1.0,1000.0,10.0,120.0,1,1000.0,no_data_yet,no_data_yet,2254.99,331542.32
2015-5-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2123.58,329418.74
2015-5-11,3.0,2500.0,12.67,280.0,2,1250.0,no_data_yet,no_data_yet,346.24,330008.32
2015-5-12,2.0,1500.0,14.0,360.0,2,750.0,no_data_yet,no_data_yet,894.88,331113.19
2015-5-13,3.0,3000.0,12.67,280.0,2,1500.0,no_data_yet,no_data_yet,1727.88,329698.64
2015-5-14,1.0,600.0,14.0,360.0,1,600.0,no_data_yet,no_data_yet,3556.71,326225.94
2015-5-15,3.0,2500.0,11.67,190.0,3,833.333,no_data_yet,no_data_yet,1407.04,327820.05
2015-5-16,2.0,2000.0,14.0,360.0,1,2000.0,no_data_yet,no_data_yet,1397.63,326702.43
2015-5-17,1.0,1000.0,10.0,120.0,1,1000.0,no_data_yet,no_data_yet,1252.13,325483.64
2015-5-18,1.0,1000.0,10.0,90.0,1,1000.0,no_data_yet,no_data_yet,100.96,325407.68
2015-5-19,2.0,2000.0,11.0,135.0,2,1000.0,no_data_yet,no_data_yet,1927.66,327420.34
2015-5-20,1.0,1000.0,12.0,180.0,1,1000.0,no_data_yet,no_data_yet,867.2,328347.54
2015-5-21,2.0,2000.0,14.0,360.0,1,2000.0,no_data_yet,no_data_yet,888.78,329516.31
2015-5-22,3.0,3000.0,12.67,270.0,2,1500.0,no_data_yet,no_data_yet,1548.75,331370.06
2015-5-23,1.0,1000.0,14.0,360.0,1,1000.0,no_data_yet,no_data_yet,1116.0,330394.06
2015-5-24,1.0,1000.0,14.0,360.0,1,1000.0,no_data_yet,no_data_yet,165.17,330368.88
2015-5-25,1.0,1000.0,14.0,360.0,1,1000.0,no_data_yet,no_data_yet,840.45,331349.33
2015-5-26,3.0,3000.0,12.67,270.0,2,1500.0,no_data_yet,no_data_yet,405.42,332059.75
2015-5-27,1.0,350.0,14.0,360.0,1,350.0,no_data_yet,no_data_yet,789.58,331319.17
2015-5-28,2.0,2000.0,12.0,225.0,2,1000.0,no_data_yet,no_data_yet,2793.13,328691.04
2015-5-29,3.0,2100.0,12.67,300.0,2,1050.0,no_data_yet,no_data_yet,955.54,329931.58
2015-5-30,1.0,1000.0,10.0,90.0,1,1000.0,no_data_yet,no_data_yet,909.17,330865.75
2015-5-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1095.63,329770.12
2015-6-1,4.0,3100.0,12.5,270.0,3,1033.333,no_data_yet,no_data_yet,979.29,329135.83
2015-6-2,1.0,1000.0,10.0,180.0,1,1000.0,no_data_yet,no_data_yet,1158.88,328026.96
2015-6-3,3.0,2400.0,12.67,270.0,3,800.0,no_data_yet,no_data_yet,1284.52,329532.48
2015-6-4,3.0,3000.0,12.67,270.0,2,1500.0,no_data_yet,no_data_yet,1902.27,331739.75
2015-6-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1724.03,330015.72
2015-6-6,2.0,2000.0,12.0,225.0,2,1000.0,no_data_yet,no_data_yet,1930.0,332110.72
2015-6-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2105.8,330004.92
2015-6-8,3.0,3000.0,11.33,180.0,3,1000.0,no_data_yet,no_data_yet,792.66,329402.26
2015-6-9,2.0,2000.0,14.0,360.0,2,1000.0,no_data_yet,no_data_yet,651.75,329030.51
2015-6-10,3.0,3000.0,12.33,270.0,3,1000.0,no_data_yet,no_data_yet,1666.66,330992.17
2015-6-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1317.21,329674.96
2015-6-12,2.0,2000.0,14.0,360.0,2,1000.0,no_data_yet,no_data_yet,751.29,330706.25
2015-6-13,2.0,2000.0,12.0,225.0,2,1000.0,no_data_yet,no_data_yet,1920.04,332791.29
2015-6-14,1.0,90.0,10.0,180.0,1,90.0,no_data_yet,no_data_yet,1115.46,331680.32
2015-6-15,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,976.08,330704.24
2015-6-16,1.0,1000.0,14.0,360.0,1,1000.0,no_data_yet,no_data_yet,461.54,331305.78
2015-6-17,2.0,2000.0,12.0,217.5,2,1000.0,no_data_yet,no_data_yet,1831.29,333296.24
2015-6-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,582.34,332713.9
2015-6-19,5.0,4500.0,12.6,342.0,5,900.0,no_data_yet,no_data_yet,4277.95,337423.0
2015-6-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1700.29,335722.71
2015-6-21,1.0,1000.0,10.0,90.0,1,1000.0,no_data_yet,no_data_yet,404.54,336152.25
2015-6-22,1.0,1000.0,12.0,180.0,1,1000.0,no_data_yet,no_data_yet,896.5,337108.75
2015-6-23,1.0,1000.0,14.0,360.0,1,1000.0,no_data_yet,no_data_yet,833.99,338082.74
2015-6-24,2.0,2000.0,10.0,135.0,2,1000.0,no_data_yet,no_data_yet,328.78,338486.53
2015-6-25,3.0,2500.0,12.67,270.0,2,1250.0,no_data_yet,no_data_yet,923.5,339645.03
2015-6-26,3.0,3000.0,12.67,270.0,2,1500.0,no_data_yet,no_data_yet,2367.17,342317.19
2015-6-27,1.0,1000.0,14.0,720.0,1,1000.0,no_data_yet,no_data_yet,1421.54,341047.96
2015-6-28,1.0,1000.0,10.0,180.0,1,1000.0,no_data_yet,no_data_yet,1260.29,339837.67
2015-6-29,2.0,1030.0,10.5,180.0,2,515.0,no_data_yet,no_data_yet,130.83,340025.0
2015-6-30,3.0,2260.0,10.33,180.0,3,753.333,no_data_yet,no_data_yet,2076.46,342219.46
2015-7-1,3.0,2300.0,10.33,155.0,3,766.667,no_data_yet,no_data_yet,2106.29,344424.92
2015-7-2,2.0,1300.0,11.0,150.0,1,1300.0,no_data_yet,no_data_yet,1531.38,342953.13
2015-7-3,6.0,4200.0,12.5,270.0,2,2100.0,no_data_yet,no_data_yet,579.02,343959.15
2015-7-4,4.0,2300.0,12.75,270.0,3,766.667,no_data_yet,no_data_yet,608.98,343563.17
2015-7-5,5.0,2500.0,13.4,324.0,2,1250.0,no_data_yet,no_data_yet,294.06,344122.23
2015-7-6,1.0,1000.0,11.0,180.0,1,1000.0,no_data_yet,no_data_yet,1081.67,343095.56
2015-7-7,8.0,4200.0,13.63,337.5,3,1400.0,no_data_yet,no_data_yet,3917.11,347558.17
2015-7-8,11.0,5580.0,12.45,294.5,5,1116.0,no_data_yet,no_data_yet,4945.01,353191.68
2015-7-9,6.0,3700.0,12.67,300.0,3,1233.333,no_data_yet,no_data_yet,2713.42,356243.1
2015-7-10,9.0,4730.0,12.67,300.0,3,1576.667,no_data_yet,no_data_yet,3438.7,360278.3
2015-7-11,4.0,3000.0,12.5,292.5,3,1000.0,no_data_yet,no_data_yet,1997.29,362568.09
2015-7-12,4.0,2500.0,12.5,292.5,3,833.333,no_data_yet,no_data_yet,741.24,363536.83
2015-7-13,4.0,2090.0,9.5,135.0,2,1045.0,no_data_yet,no_data_yet,398.38,363984.71
2015-7-14,4.0,3000.0,10.0,105.0,3,1000.0,no_data_yet,no_data_yet,2407.08,366473.45
2015-7-15,1.0,1000.0,9.0,90.0,1,1000.0,no_data_yet,no_data_yet,434.79,366930.74
2015-7-16,3.0,2550.0,9.0,90.0,2,1275.0,no_data_yet,no_data_yet,1403.58,368391.7
2015-7-17,4.0,3500.0,12.0,292.5,2,1750.0,no_data_yet,no_data_yet,2420.83,371160.04
2015-7-18,3.0,1500.0,13.33,360.0,2,750.0,no_data_yet,no_data_yet,631.3,370728.74
2015-7-19,3.0,1500.0,14.0,360.0,1,1500.0,no_data_yet,no_data_yet,393.49,371332.23
2015-7-20,3.0,1500.0,11.0,180.0,1,1500.0,no_data_yet,no_data_yet,417.79,371832.52
2015-7-21,7.0,2400.0,14.0,411.4,2,1200.0,no_data_yet,no_data_yet,2310.58,374484.03
2015-7-22,6.0,3000.0,14.0,360.0,2,1500.0,no_data_yet,no_data_yet,886.5,375790.53
2015-7-23,3.0,1500.0,11.0,180.0,1,1500.0,no_data_yet,no_data_yet,677.67,375195.36
2015-7-24,4.0,3000.0,12.5,270.0,2,1500.0,no_data_yet,no_data_yet,837.32,376367.68
2015-7-25,5.0,3500.0,13.4,324.0,3,1166.667,no_data_yet,no_data_yet,2922.29,379737.47
2015-7-26,2.0,1000.0,14.0,360.0,1,1000.0,no_data_yet,no_data_yet,1458.46,378419.01
2015-7-27,5.0,1800.0,10.8,180.0,2,900.0,no_data_yet,no_data_yet,1155.32,379672.33
2015-7-28,4.0,1300.0,10.0,120.0,1,1300.0,no_data_yet,no_data_yet,154.5,379870.17
2015-7-29,6.0,1800.0,10.5,180.0,2,900.0,no_data_yet,no_data_yet,701.08,380668.25
2015-7-30,5.0,4100.0,10.2,180.0,2,2050.0,no_data_yet,no_data_yet,2998.0,383871.75
2015-7-31,3.0,2500.0,10.0,180.0,2,1250.0,no_data_yet,no_data_yet,887.5,384884.25
2015-8-1,2.0,1000.0,10.0,180.0,1,1000.0,no_data_yet,no_data_yet,2111.25,382823.0
2015-8-2,4.0,2500.0,11.5,180.0,2,1250.0,no_data_yet,no_data_yet,2376.23,385344.23
2015-8-3,4.0,2000.0,14.0,360.0,1,2000.0,no_data_yet,no_data_yet,1300.94,386925.17
2015-8-4,5.0,1800.0,12.4,288.0,2,900.0,no_data_yet,no_data_yet,1691.93,388842.1
2015-8-5,3.0,1300.0,11.0,180.0,1,1300.0,no_data_yet,no_data_yet,232.92,389146.52
2015-8-6,2.0,1300.0,12.0,270.0,2,650.0,no_data_yet,no_data_yet,228.22,389064.79
2015-8-7,9.0,4500.0,12.67,273.3,3,1500.0,no_data_yet,no_data_yet,3814.8,393330.43
2015-8-8,4.0,2400.0,11.5,206.3,3,800.0,no_data_yet,no_data_yet,1787.79,395275.3
2015-8-9,3.0,2500.0,10.33,170.0,2,1250.0,no_data_yet,no_data_yet,1319.79,396718.0
2015-8-10,2.0,1500.0,10.0,180.0,1,1500.0,no_data_yet,no_data_yet,621.83,396171.17
2015-8-11,1.0,500.0,10.0,180.0,1,500.0,no_data_yet,no_data_yet,335.99,396532.16
2015-8-12,1.0,500.0,10.0,180.0,1,500.0,no_data_yet,no_data_yet,409.21,396966.37
2015-8-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1635.21,395331.16
2015-8-14,5.0,1500.0,13.2,324.0,2,750.0,no_data_yet,no_data_yet,400.0,395896.16
2015-8-15,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3653.46,392242.7
2015-8-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2631.25,389611.45
2015-8-17,2.0,300.0,11.0,180.0,1,300.0,no_data_yet,no_data_yet,805.88,388822.07
2015-8-18,2.0,550.0,13.0,360.0,1,550.0,no_data_yet,no_data_yet,438.08,389331.65
2015-8-19,3.0,3000.0,11.0,180.0,1,3000.0,no_data_yet,no_data_yet,1925.92,391422.56
2015-8-20,3.0,3000.0,11.0,180.0,2,1500.0,no_data_yet,no_data_yet,1343.04,392930.61
2015-8-21,1.0,1000.0,11.0,180.0,1,1000.0,no_data_yet,no_data_yet,125.58,392860.02
2015-8-22,3.0,3000.0,11.0,180.0,1,3000.0,no_data_yet,no_data_yet,2828.99,395854.02
2015-8-23,2.0,2000.0,11.0,180.0,1,2000.0,no_data_yet,no_data_yet,1328.99,397293.01
2015-8-24,4.0,3000.0,11.0,180.0,1,3000.0,no_data_yet,no_data_yet,1762.54,399220.55
2015-8-25,7.0,4000.0,13.14,308.6,2,2000.0,no_data_yet,no_data_yet,3853.54,403549.09
2015-8-26,6.0,3800.0,11.0,180.0,2,1900.0,no_data_yet,no_data_yet,2644.4,406402.49
2015-8-27,4.0,3200.0,12.5,450.0,3,1066.667,no_data_yet,no_data_yet,953.67,407726.78
2015-8-28,6.0,4000.0,13.17,300.0,4,1000.0,no_data_yet,no_data_yet,2472.08,410633.86
2015-8-29,3.0,2400.0,11.0,180.0,2,1200.0,no_data_yet,no_data_yet,1275.83,412041.69
2015-8-30,3.0,2000.0,11.0,180.0,2,1000.0,no_data_yet,no_data_yet,1384.79,413536.49
2015-8-31,3.0,2500.0,11.0,180.0,1,2500.0,no_data_yet,no_data_yet,1312.5,414986.49
2015-9-1,4.0,3000.0,13.25,315.0,3,1000.0,no_data_yet,no_data_yet,747.06,416111.05
2015-9-2,2.0,2000.0,11.0,180.0,1,2000.0,no_data_yet,no_data_yet,1040.4,415180.65
2015-9-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,128.07,415052.59
2015-9-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1091.92,413960.67
2015-9-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2617.8,411342.87
2015-9-6,3.0,3000.0,13.67,360.0,2,1500.0,no_data_yet,no_data_yet,521.45,411231.42
2015-9-7,4.0,2000.0,12.0,232.5,2,1000.0,no_data_yet,no_data_yet,1670.92,413071.5
2015-9-8,3.0,1000.0,10.0,105.0,1,1000.0,no_data_yet,no_data_yet,1214.38,411886.28
2015-9-9,6.0,3100.0,10.5,165.0,3,1033.333,no_data_yet,no_data_yet,1986.04,414017.33
2015-9-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2201.51,411815.82
2015-9-11,4.0,2500.0,12.5,270.0,3,833.333,no_data_yet,no_data_yet,1380.04,413418.36
2015-9-12,3.0,2500.0,11.0,180.0,2,1250.0,no_data_yet,no_data_yet,2.3,413553.56
2015-9-13,6.0,3000.0,11.0,180.0,2,1500.0,no_data_yet,no_data_yet,1972.5,415691.06
2015-9-14,5.0,4000.0,11.0,180.0,1,4000.0,no_data_yet,no_data_yet,2046.13,417957.19
2015-9-15,5.0,5000.0,10.6,162.0,4,1250.0,no_data_yet,no_data_yet,3881.25,422080.94
2015-9-16,4.0,4000.0,9.5,112.5,2,2000.0,no_data_yet,no_data_yet,2916.37,425119.81
2015-9-17,3.0,3000.0,9.67,120.0,2,1500.0,no_data_yet,no_data_yet,1857.12,427076.92
2015-9-18,6.0,6000.0,11.67,270.0,2,3000.0,no_data_yet,no_data_yet,4910.5,432552.42
2015-9-19,3.0,3000.0,13.0,360.0,1,3000.0,no_data_yet,no_data_yet,978.41,431964.01
2015-9-20,4.0,4000.0,12.5,315.0,2,2000.0,no_data_yet,no_data_yet,2676.5,435085.51
2015-9-21,2.0,2000.0,9.0,90.0,1,2000.0,no_data_yet,no_data_yet,2098.51,433032.0
2015-9-22,6.0,6000.0,12.33,300.0,3,2000.0,no_data_yet,no_data_yet,4691.7,438353.7
2015-9-23,4.0,4000.0,12.5,315.0,2,2000.0,no_data_yet,no_data_yet,1735.04,440533.74
2015-9-24,5.0,5000.0,12.2,288.0,3,1666.667,no_data_yet,no_data_yet,1809.38,442843.12
2015-9-25,4.0,4000.0,10.75,157.5,3,1333.333,no_data_yet,no_data_yet,2834.4,445867.52
2015-9-26,2.0,2000.0,11.0,180.0,1,2000.0,1978,1.011,1180.97,447158.5
2015-9-27,1.0,1000.0,11.0,180.0,1,1000.0,1365,0.733,859.08,448072.58
2015-9-28,1.0,1000.0,11.0,180.0,1,1000.0,851,1.175,478.75,448606.33
2015-9-29,4.0,4000.0,10.75,180.0,3,1333.333,3586,1.115,3881.67,452703.0
2015-9-30,2.0,2000.0,10.0,180.0,1,2000.0,1824,1.096,1902.88,454705.87
2015-10-1,0.0,0.0,0.0,0.0,0,0,0,0,176.25,454529.62
2015-10-2,1.0,1000.0,10.0,180.0,1,1000.0,1699,0.589,887.42,455467.04
2015-10-3,0.0,0.0,0.0,0.0,0,0,0,0,128.07,455338.97
2015-10-4,1.0,1000.0,10.0,180.0,1,1000.0,1498,0.668,933.08,456322.05
2015-10-5,4.0,3300.0,11.75,225.0,3,1100.0,2002,1.648,3177.7,459766.25
2015-10-6,3.0,3000.0,12.0,240.0,2,1500.0,2346,1.279,1737.72,461753.97
