时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
爱钱进
2015-3-26,67.0,477.49,13.35,940.3,67,7.127,no_data_yet,no_data_yet,404.92,62827.77
2015-3-27,63.0,489.33,13.42,994.3,63,7.767,no_data_yet,no_data_yet,412.89,63342.71
2015-3-28,14.0,111.34,13.52,1080.0,14,7.953,no_data_yet,no_data_yet,42.19,63410.69
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,57.27,63353.42
2015-3-30,57.0,455.62,13.4,985.3,57,7.993,no_data_yet,no_data_yet,409.77,63858.22
2015-3-31,49.0,391.43,13.34,944.1,49,7.988,no_data_yet,no_data_yet,323.61,64259.96
2015-4-1,96.0,694.21,13.35,963.8,96,7.231,no_data_yet,no_data_yet,647.52,65049.41
2015-4-2,70.0,545.52,13.24,871.7,70,7.793,no_data_yet,no_data_yet,496.15,65644.83
2015-4-3,99.0,817.31,13.4,985.5,99,8.256,no_data_yet,no_data_yet,731.28,66547.07
2015-4-4,16.0,167.07,13.44,1012.5,16,10.442,no_data_yet,no_data_yet,74.19,66656.77
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,74.86,66581.91
2015-4-6,1.0,6.15,13.5,1080.0,1,6.15,no_data_yet,no_data_yet,62.05,66521.22
2015-4-7,79.0,596.65,13.38,970.6,79,7.553,no_data_yet,no_data_yet,526.39,67168.82
2015-4-8,83.0,675.79,13.39,973.7,83,8.142,no_data_yet,no_data_yet,605.81,67916.55
2015-4-9,92.0,838.22,13.44,1023.3,92,9.111,no_data_yet,no_data_yet,765.79,68866.51
2015-4-10,116.0,956.29,13.41,1002.4,116,8.244,no_data_yet,no_data_yet,868.61,69942.51
2015-4-11,20.0,166.92,13.44,1008.0,20,8.346,no_data_yet,no_data_yet,59.46,70039.71
2015-4-12,3.0,32.88,13.0,840.0,3,10.96,no_data_yet,no_data_yet,72.84,69973.6
2015-4-13,92.0,732.78,13.39,984.1,92,7.965,no_data_yet,no_data_yet,633.68,70764.26
2015-4-14,94.0,815.62,13.38,967.0,94,8.677,no_data_yet,no_data_yet,750.19,71685.14
2015-4-15,78.0,653.7,13.39,978.5,78,8.381,no_data_yet,no_data_yet,575.25,72401.23
2015-4-16,116.0,993.59,13.41,1008.6,116,8.565,no_data_yet,no_data_yet,886.98,73507.83
