时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
玖融网
2015-3-26,13.0,133.1,18.69,219.2,13,10.238,no_data_yet,no_data_yet,59.37,7849.84
2015-3-27,12.0,119.0,18.58,205.0,12,9.917,no_data_yet,no_data_yet,58.27,7918.16
2015-3-28,9.0,159.0,18.44,150.0,9,17.667,no_data_yet,no_data_yet,86.52,8013.37
2015-3-29,6.0,57.5,18.17,100.0,6,9.583,no_data_yet,no_data_yet,14.9,8030.36
2015-3-30,9.0,109.9,18.78,250.0,9,12.211,no_data_yet,no_data_yet,80.35,7956.41
2015-3-31,12.0,237.6,18.58,210.0,12,19.8,no_data_yet,no_data_yet,134.51,8102.28
2015-4-1,15.0,139.2,17.91,166.0,15,9.28,no_data_yet,no_data_yet,68.76,8178.54
2015-4-2,12.0,144.4,17.65,145.0,12,12.033,no_data_yet,no_data_yet,32.78,8219.6
2015-4-3,17.0,227.0,17.94,180.0,17,13.353,no_data_yet,no_data_yet,180.02,8414.11
2015-4-4,13.0,132.9,17.74,182.3,13,10.223,no_data_yet,no_data_yet,39.85,8460.26
2015-4-5,8.0,76.4,17.98,161.3,8,9.55,no_data_yet,no_data_yet,43.04,8506.96
2015-4-6,5.0,67.2,16.9,108.0,5,13.44,no_data_yet,no_data_yet,0.23,8511.31
2015-4-7,16.0,163.5,18.16,225.0,16,10.219,no_data_yet,no_data_yet,104.28,8626.58
2015-4-8,13.0,109.2,17.79,177.7,13,8.4,no_data_yet,no_data_yet,47.31,8679.43
2015-4-9,14.0,198.0,17.71,150.0,14,14.143,no_data_yet,no_data_yet,114.91,8805.32
2015-4-10,15.0,111.5,17.61,138.0,15,7.433,no_data_yet,no_data_yet,40.14,8771.56
2015-4-11,14.0,150.2,17.77,156.4,14,10.729,no_data_yet,no_data_yet,10.27,8769.24
2015-4-12,11.0,105.9,17.77,147.3,11,9.627,no_data_yet,no_data_yet,46.32,8820.94
2015-4-13,11.0,79.4,18.25,231.8,11,7.218,no_data_yet,no_data_yet,91.47,8735.64
2015-4-14,17.0,139.0,17.59,150.0,17,8.176,no_data_yet,no_data_yet,14.08,8728.97
2015-4-15,14.0,152.5,17.52,139.3,14,10.893,no_data_yet,no_data_yet,65.56,8802.22
2015-4-16,14.0,130.5,17.93,160.7,14,9.321,no_data_yet,no_data_yet,26.43,8836.04
2015-4-17,15.0,143.6,18.0,188.0,15,9.573,no_data_yet,no_data_yet,55.69,8901.02
2015-4-18,15.0,112.8,17.51,134.0,15,7.52,no_data_yet,no_data_yet,62.6,8969.24
2015-4-19,8.0,110.0,17.69,142.5,8,13.75,no_data_yet,no_data_yet,31.1,8944.51
2015-4-20,11.0,92.1,18.05,180.0,11,8.373,no_data_yet,no_data_yet,3.05,8953.29
2015-4-21,15.0,129.7,17.8,176.0,15,8.647,no_data_yet,no_data_yet,44.12,9003.99
2015-4-22,15.0,126.4,18.15,206.0,15,8.427,no_data_yet,no_data_yet,13.69,9026.33
