时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
理财范
2015-3-26,1.0,500.0,14.0,360.0,1,500.0,no_data_yet,no_data_yet,465.66,79049.58
2015-3-27,1.0,6.74,13.0,540.0,1,6.745,no_data_yet,no_data_yet,21.04,79029.26
2015-3-28,1.0,100.0,10.5,150.0,1,100.0,no_data_yet,no_data_yet,85.06,79118.7
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,44.86,79073.84
2015-3-30,1.0,500.0,14.0,360.0,1,500.0,no_data_yet,no_data_yet,468.33,79612.17
2015-3-31,1.0,15.89,12.5,360.0,1,15.891,no_data_yet,no_data_yet,518.22,79095.05
2015-4-1,4.0,65.86,12.75,435.0,4,16.465,no_data_yet,no_data_yet,47.81,79148.14
2015-4-2,1.0,200.0,10.0,30.0,1,200.0,no_data_yet,no_data_yet,157.66,79307.46
2015-4-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,34.14,79273.32
2015-4-4,1.0,500.0,13.0,180.0,1,500.0,no_data_yet,no_data_yet,470.88,79776.7
2015-4-5,1.0,500.0,13.0,180.0,1,500.0,no_data_yet,no_data_yet,477.86,80287.06
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,532.38,79754.68
2015-4-7,1.0,500.0,13.0,180.0,1,500.0,no_data_yet,no_data_yet,486.49,80273.67
2015-4-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,544.34,79729.33
2015-4-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,20.27,79709.06
2015-4-10,2.0,1000.0,14.0,360.0,1,1000.0,no_data_yet,no_data_yet,967.25,80816.31
2015-4-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1542.8,79273.51
2015-4-12,1.0,500.0,13.0,180.0,1,500.0,no_data_yet,no_data_yet,474.33,79780.34
2015-4-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,31.32,79749.02
2015-4-14,1.0,500.0,13.0,180.0,1,500.0,no_data_yet,no_data_yet,28.16,79753.36
2015-4-15,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,32.61,79720.75
2015-4-16,2.0,525.87,11.75,180.0,2,262.935,no_data_yet,no_data_yet,4.89,79749.16
2015-4-17,3.0,48.23,12.0,340.0,3,16.077,no_data_yet,no_data_yet,13.42,79738.19
2015-4-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,26.68,79711.51
2015-4-19,1.0,500.0,13.0,180.0,1,500.0,no_data_yet,no_data_yet,26.35,79717.65
2015-4-20,1.0,24.0,11.5,270.0,1,24.0,no_data_yet,no_data_yet,114.4,79604.42
2015-4-21,1.0,24.0,11.5,270.0,1,24.0,no_data_yet,no_data_yet,500.3,79105.29
2015-4-22,1.0,500.0,14.0,360.0,1,500.0,no_data_yet,no_data_yet,470.82,79646.1
2015-4-23,1.0,60.0,8.0,30.0,1,60.0,no_data_yet,no_data_yet,59.58,79586.93
2015-4-24,1.0,90.0,8.0,30.0,1,90.0,no_data_yet,no_data_yet,967.28,78620.25
2015-4-25,1.0,200.0,13.0,180.0,1,200.0,no_data_yet,no_data_yet,640.18,77993.07
2015-4-26,1.0,29.7,11.5,270.0,1,29.7,no_data_yet,no_data_yet,1.5,77996.02
2015-4-27,2.0,66.36,11.5,270.0,2,33.18,no_data_yet,no_data_yet,50.55,78052.85
2015-4-28,4.0,261.16,10.88,217.5,4,65.29,no_data_yet,no_data_yet,283.7,77773.68
2015-4-29,2.0,120.53,10.25,180.0,2,60.265,no_data_yet,no_data_yet,416.97,77358.68
2015-4-30,5.0,1189.4,11.3,228.0,5,237.88,no_data_yet,no_data_yet,1159.71,78660.99
2015-5-1,1.0,100.0,8.0,30.0,1,100.0,no_data_yet,no_data_yet,76.58,78738.23
2015-5-2,2.0,520.6,13.25,360.0,2,260.3,no_data_yet,no_data_yet,822.84,77986.82
2015-5-3,1.0,200.0,10.0,30.0,1,200.0,no_data_yet,no_data_yet,334.14,77654.34
2015-5-4,2.0,620.6,13.25,345.0,2,310.3,no_data_yet,no_data_yet,586.07,78325.72
2015-5-5,2.0,89.39,10.25,165.0,2,44.695,no_data_yet,no_data_yet,6.17,78320.91
2015-5-6,2.0,600.0,11.0,180.0,2,300.0,no_data_yet,no_data_yet,26.55,78364.36
2015-5-7,2.0,502.38,13.5,435.0,2,251.192,no_data_yet,no_data_yet,483.46,78918.06
2015-5-8,2.0,120.74,11.25,210.0,2,60.37,no_data_yet,no_data_yet,82.23,79004.11
2015-5-9,2.0,221.62,11.75,255.0,2,110.81,no_data_yet,no_data_yet,298.65,78717.84
2015-5-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,544.42,78173.42
2015-5-11,2.0,126.3,11.25,210.0,2,63.15,no_data_yet,no_data_yet,101.97,78279.56
2015-5-12,1.0,100.0,10.0,90.0,1,100.0,no_data_yet,no_data_yet,69.87,78351.93
2015-5-13,2.0,600.0,11.0,195.0,2,300.0,no_data_yet,no_data_yet,570.96,78993.56
2015-5-14,1.0,500.0,14.0,360.0,1,500.0,no_data_yet,no_data_yet,472.25,79535.82
2015-5-15,4.0,965.0,12.0,202.5,4,241.25,no_data_yet,no_data_yet,932.39,80562.43
2015-5-16,1.0,115.0,13.0,180.0,1,115.0,no_data_yet,no_data_yet,80.21,80650.12
2015-5-17,1.0,150.0,13.0,180.0,1,150.0,no_data_yet,no_data_yet,918.1,79741.77
2015-5-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,26.68,79715.09
2015-5-19,3.0,840.0,11.67,190.0,3,280.0,no_data_yet,no_data_yet,814.07,80610.17
2015-5-20,1.0,500.0,13.0,180.0,1,500.0,no_data_yet,no_data_yet,459.77,81102.44
2015-5-21,4.0,470.0,11.38,135.0,4,117.5,no_data_yet,no_data_yet,448.74,81574.87
2015-5-22,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,34.93,81539.94
2015-5-23,2.0,362.14,11.75,165.0,2,181.07,no_data_yet,no_data_yet,283.35,81846.36
2015-5-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1135.38,80710.97
2015-5-25,2.0,342.87,11.75,165.0,2,171.435,no_data_yet,no_data_yet,309.24,81042.01
2015-5-26,1.0,500.0,14.0,360.0,1,500.0,no_data_yet,no_data_yet,468.51,81580.52
2015-5-27,4.0,62.69,12.38,172.5,4,15.673,no_data_yet,no_data_yet,457.19,81126.94
2015-5-28,3.0,159.0,11.33,130.0,3,53.0,no_data_yet,no_data_yet,88.85,81042.6
2015-5-29,4.0,66.0,12.38,172.5,4,16.5,no_data_yet,no_data_yet,68.32,80978.1
2015-5-30,4.0,591.0,13.25,225.0,4,147.75,no_data_yet,no_data_yet,378.61,81432.63
2015-5-31,2.0,20.0,13.0,180.0,2,10.0,no_data_yet,no_data_yet,604.09,80829.84
2015-6-1,3.0,525.0,13.33,240.0,3,175.0,no_data_yet,no_data_yet,510.75,80390.72
2015-6-2,5.0,101.0,13.0,180.0,5,20.2,no_data_yet,no_data_yet,128.98,80268.31
2015-6-3,2.0,569.0,13.5,270.0,2,284.5,no_data_yet,no_data_yet,525.47,80868.27
2015-6-4,1.0,400.0,13.0,180.0,1,400.0,no_data_yet,no_data_yet,129.62,80764.64
2015-6-5,4.0,588.0,12.25,165.0,4,147.0,no_data_yet,no_data_yet,561.45,81400.62
2015-6-6,1.0,14.0,13.0,180.0,1,14.0,no_data_yet,no_data_yet,10.91,81390.62
2015-6-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1240.9,80149.72
2015-6-8,4.0,1110.0,12.25,165.0,4,277.5,no_data_yet,no_data_yet,1091.64,81350.58
2015-6-9,1.0,600.0,14.0,360.0,1,600.0,no_data_yet,no_data_yet,561.42,81995.99
2015-6-10,4.0,458.0,12.25,135.0,4,114.5,no_data_yet,no_data_yet,430.3,82454.52
2015-6-11,5.0,672.6,11.6,150.0,5,134.52,no_data_yet,no_data_yet,58.36,82481.4
2015-6-12,7.0,180.0,9.57,51.4,7,25.714,no_data_yet,no_data_yet,44.46,82528.26
2015-6-13,4.0,59.5,10.25,67.5,4,14.875,no_data_yet,no_data_yet,25.92,82555.41
2015-6-14,2.0,49.0,10.5,75.0,2,24.5,no_data_yet,no_data_yet,993.9,81562.7
2015-6-15,7.0,995.0,10.29,94.3,7,142.143,no_data_yet,no_data_yet,958.97,82635.99
2015-6-16,13.0,237.0,9.31,39.2,13,18.231,no_data_yet,no_data_yet,179.78,82817.83
2015-6-17,7.0,904.0,10.14,90.0,7,129.143,no_data_yet,no_data_yet,277.32,83208.37
2015-6-18,6.0,79.0,10.5,75.0,6,13.167,no_data_yet,no_data_yet,145.66,83064.15
2015-6-19,4.0,91.0,11.0,97.5,4,22.75,no_data_yet,no_data_yet,954.65,82114.0
2015-6-20,1.0,800.0,14.0,360.0,1,800.0,no_data_yet,no_data_yet,674.14,82900.14
2015-6-21,2.0,628.0,11.5,120.0,2,314.0,no_data_yet,no_data_yet,593.07,83532.67
2015-6-22,2.0,71.0,10.5,75.0,2,35.5,no_data_yet,no_data_yet,48.74,83583.21
2015-6-23,7.0,537.0,11.0,98.6,7,76.714,no_data_yet,no_data_yet,504.72,84121.6
2015-6-24,9.0,733.0,11.78,140.0,9,81.444,no_data_yet,no_data_yet,304.3,83905.67
2015-6-25,19.0,2104.0,12.05,167.4,19,110.737,no_data_yet,no_data_yet,2066.67,86236.13
2015-6-26,25.0,1634.0,11.94,151.2,24,68.083,no_data_yet,no_data_yet,1619.32,88070.85
2015-6-27,15.0,609.0,12.43,168.0,15,40.6,no_data_yet,no_data_yet,238.82,87907.86
2015-6-28,13.0,595.0,13.19,214.6,13,45.769,no_data_yet,no_data_yet,560.68,88545.84
2015-6-29,31.0,295.0,13.15,206.1,31,9.516,no_data_yet,no_data_yet,255.08,88312.47
2015-6-30,31.0,1595.0,13.21,226.5,31,51.452,no_data_yet,no_data_yet,1077.2,89509.2
2015-7-1,8.0,132.0,13.0,180.0,8,16.5,no_data_yet,no_data_yet,102.65,89620.43
2015-7-2,11.0,1020.0,13.09,196.4,11,92.727,no_data_yet,no_data_yet,9.4,89705.24
2015-7-3,6.0,1148.0,13.42,255.0,6,191.333,no_data_yet,no_data_yet,597.89,90436.49
2015-7-4,10.0,584.0,13.2,216.0,10,58.4,no_data_yet,no_data_yet,556.29,91046.8
2015-7-5,2.0,328.0,13.25,225.0,2,164.0,no_data_yet,no_data_yet,883.3,90191.78
2015-7-6,2.0,1000.0,13.0,180.0,1,1000.0,no_data_yet,no_data_yet,974.94,91231.72
2015-7-7,7.0,1003.0,12.57,180.0,7,143.286,no_data_yet,no_data_yet,476.51,91779.43
2015-7-8,9.0,2096.0,13.0,210.0,8,262.0,no_data_yet,no_data_yet,2061.22,94048.14
2015-7-9,4.0,794.0,13.25,225.0,4,198.5,no_data_yet,no_data_yet,751.58,93385.67
2015-7-10,14.0,1310.3,12.61,186.4,14,93.593,no_data_yet,no_data_yet,1277.68,94788.72
2015-7-11,7.0,1385.0,13.43,257.1,6,230.833,no_data_yet,no_data_yet,1309.61,96267.16
2015-7-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1133.76,95133.4
2015-7-13,6.0,1083.0,13.42,255.0,6,180.5,no_data_yet,no_data_yet,1047.69,96297.11
2015-7-14,9.0,1331.0,13.17,210.0,9,147.889,no_data_yet,no_data_yet,1300.17,97748.07
