时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
理财邦
2015-3-26,2.0,218.0,13.3,105.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,211.88,16259.87
2015-3-27,2.0,187.0,13.2,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,229.3,16035.04
2015-3-28,1.0,160.0,18.0,360.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,72.06,15991.78
2015-3-29,1.0,107.0,15.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,102.09,16097.88
2015-3-30,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,206.94,15890.94
2015-3-31,2.0,228.0,15.7,150.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,110.17,16016.31
2015-4-1,2.0,238.0,13.0,195.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,30.32,16072.79
2015-4-2,1.0,118.0,16.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,112.6,16194.83
2015-4-3,1.0,105.0,15.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,29.6,16228.36
2015-4-4,1.0,110.0,9.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,103.32,16332.5
2015-4-5,1.0,147.0,18.0,360.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,58.3,16417.26
2015-4-6,1.0,110.0,15.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,15.34,16406.05
2015-4-7,1.0,150.0,18.6,360.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,23.02,16456.97
2015-4-8,2.0,190.0,13.2,75.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,6.09,16469.38
2015-4-9,1.0,140.0,18.0,360.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,135.58,16630.15
2015-4-10,2.0,230.0,16.8,150.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,144.76,16791.29
2015-4-11,2.0,215.0,16.8,225.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,24.88,16839.83
2015-4-12,1.0,150.0,18.6,360.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,76.55,16791.17
2015-4-13,2.0,220.0,15.9,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,210.87,17013.7
2015-4-14,1.0,130.0,18.0,360.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,27.69,17064.79
2015-4-15,1.0,105.0,15.6,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,126.35,16942.53
2015-4-16,2.0,218.0,16.5,225.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,114.92,16852.05
2015-4-17,1.0,168.0,18.0,360.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,75.89,16958.17
2015-4-18,2.0,240.0,13.35,195.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,111.97,17093.97
2015-4-19,2.0,330.0,17.1,225.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,235.03,17368.33
2015-4-20,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,8.79,17359.54
2015-4-21,2.0,260.0,13.35,195.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,139.99,17525.21
2015-4-22,2.0,270.0,17.1,225.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,163.35,17717.63
2015-4-23,1.0,110.0,9.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,35.29,17753.75
2015-4-24,1.0,110.0,18.0,360.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,138.7,17634.86
2015-4-25,1.0,120.0,16.8,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,96.68,17544.9
2015-4-26,1.0,130.0,15.6,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,278.54,17271.43
2015-4-27,1.0,120.0,18.0,360.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,116.06,17409.09
2015-4-28,2.0,245.0,13.8,195.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,238.75,17674.66
2015-4-29,2.0,245.0,17.4,225.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,240.87,17946.55
2015-4-30,1.0,120.0,17.4,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,11.95,17945.04
2015-5-1,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,235.27,17709.77
2015-5-2,2.0,257.0,17.4,225.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,250.03,17990.88
