时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
甬金创投
2015-3-30,2.0,11.89,14.64,15.0,1,11.889,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,3.0,21.78,12.72,20.0,1,21.778,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,2.0,10.96,14.64,15.0,1,10.964,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,2.0,11.81,14.64,15.0,1,11.814,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,2.0,11.89,14.64,15.0,1,11.889,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,1.0,8.89,8.88,0.0,1,8.889,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,2.0,11.0,20.4,22.5,1,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,2.0,7.68,20.4,22.5,1,7.685,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,2.0,10.0,20.4,22.5,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,1.0,3.0,20.4,30.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,1.0,3.0,20.4,30.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,1.0,3.0,20.4,30.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,1.0,3.5,20.4,30.0,1,3.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,2.0,7.0,20.4,22.5,1,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,2.0,4.8,20.4,22.5,1,4.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,1.0,3.0,20.4,30.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,1.0,3.0,20.4,15.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,1.0,3.5,20.4,30.0,1,3.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,1.0,4.5,20.4,30.0,1,4.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,1.0,3.0,20.4,15.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,1.0,3.0,20.4,30.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,2.0,8.0,19.2,15.0,1,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,2.0,8.0,19.2,20.0,1,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,4.0,25.6,19.2,19.3,1,25.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,3.0,22.6,18.8,15.7,1,22.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,3.0,20.6,18.8,15.7,1,20.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,3.0,21.6,18.8,15.7,1,21.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,3.0,22.6,18.8,15.7,1,22.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,3.0,20.6,18.8,15.7,1,20.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,3.0,22.6,18.8,15.7,1,22.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-9,2.0,17.6,18.0,8.5,1,17.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-11,3.0,22.1,18.8,15.7,1,22.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,3.0,20.6,18.8,15.7,1,20.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,3.0,21.6,18.8,15.7,1,21.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,3.0,21.1,18.8,15.7,1,21.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,3.0,22.6,18.8,15.7,1,22.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-16,2.0,9.8,18.0,20.0,1,9.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-18,3.0,7.0,18.0,20.0,1,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-19,3.0,13.0,18.0,26.7,1,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-20,3.0,13.0,18.0,26.7,1,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-21,3.0,16.0,18.0,20.0,1,16.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-22,3.0,14.0,18.0,20.0,1,14.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-23,2.0,11.0,18.0,15.0,1,10.998,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-25,3.0,13.0,18.0,21.7,1,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-26,3.0,15.0,18.0,26.7,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-27,3.0,12.5,18.0,23.3,1,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-28,3.0,13.0,18.0,21.7,1,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-29,4.0,25.6,18.0,19.3,1,25.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-30,2.0,17.6,18.0,8.5,1,17.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-1,2.0,18.8,18.0,20.0,1,18.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-2,2.0,16.8,18.0,20.0,1,16.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-3,3.0,15.8,18.0,23.3,1,15.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-4,3.0,15.3,18.0,23.3,1,15.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-5,3.0,14.8,18.0,23.3,1,14.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-6,2.0,15.4,18.0,10.0,1,15.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-8,2.0,14.8,18.0,20.0,1,14.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-9,2.0,13.8,18.0,20.0,1,13.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-10,2.0,13.8,18.0,20.0,1,13.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-11,2.0,13.8,18.0,20.0,1,13.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-12,2.0,14.8,18.0,20.0,1,14.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-13,2.0,12.8,18.0,20.0,1,12.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-15,2.0,8.0,18.0,30.0,1,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-16,3.0,15.0,18.0,40.0,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-17,4.0,36.0,18.0,45.0,1,36.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-18,3.0,14.0,18.0,40.0,1,13.999,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-19,4.0,17.0,18.0,45.0,1,17.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-22,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-23,2.0,10.8,18.0,20.0,1,10.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-24,2.0,10.8,18.0,20.0,1,10.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-25,2.0,9.8,18.0,20.0,1,9.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-26,2.0,9.8,18.0,20.0,1,9.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-27,1.0,5.8,18.0,10.0,1,5.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-29,2.0,10.8,18.0,20.0,1,10.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-30,2.0,10.8,18.0,20.0,1,10.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-1,3.0,18.8,18.0,23.3,1,18.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-2,3.0,18.8,18.0,23.3,1,18.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-3,3.0,16.8,18.0,23.3,1,16.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-4,3.0,16.8,18.0,33.3,1,16.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-6,3.0,18.8,18.0,23.3,1,18.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-7,3.0,23.8,18.0,18.3,1,23.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-8,3.0,17.8,18.0,23.3,1,17.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-9,3.0,25.8,18.0,18.3,1,25.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-10,2.0,13.8,18.0,20.0,1,13.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-11,2.0,18.8,18.0,12.5,1,18.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-13,3.0,23.8,18.0,18.3,1,23.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-14,3.0,28.8,18.0,18.3,1,28.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-15,2.0,7.0,18.0,30.0,1,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-16,1.0,15.0,18.0,15.0,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-17,2.0,20.0,18.0,22.5,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-18,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-20,3.0,24.0,18.0,25.0,1,24.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-21,2.0,15.0,18.0,22.5,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-22,3.0,16.5,18.0,25.0,1,16.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-23,2.0,15.0,18.0,22.5,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-24,3.0,17.0,18.0,25.0,1,17.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-25,2.0,15.0,18.0,37.5,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-27,2.0,15.0,18.0,22.5,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-28,2.0,15.0,18.0,22.5,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-29,2.0,15.0,18.0,22.5,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-30,3.0,23.8,18.0,17.3,1,23.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-31,3.0,25.0,18.0,25.0,1,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-1,2.0,13.8,18.0,18.5,1,13.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-3,2.0,15.0,18.0,22.5,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-4,2.0,13.0,18.0,22.5,1,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-5,2.0,15.0,18.0,22.5,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-6,3.0,25.0,18.0,25.0,1,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-7,2.0,14.0,18.0,22.5,1,14.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-8,4.0,30.0,18.0,26.3,1,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-10,2.0,15.0,18.0,22.5,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-11,2.0,15.0,18.0,22.5,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-12,3.0,20.0,18.0,25.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-13,2.0,15.0,18.0,22.5,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-14,2.0,15.0,18.0,22.5,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-15,1.0,10.0,18.0,15.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-17,4.0,30.0,18.0,33.8,1,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-18,2.0,15.0,18.0,22.5,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-19,2.0,15.0,18.0,22.5,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-20,3.0,25.0,18.0,35.0,1,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-21,2.0,20.0,18.0,22.5,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
