时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
盈信网
2015-3-26,1.0,10.0,20.8,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,2.0,78.0,21.3,45.0,2,39.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,1.0,30.0,20.8,30.0,1,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,2.0,16.0,21.8,210.0,2,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,4.0,14.0,11.0,135.0,1,14.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,3.0,22.0,14.27,130.0,2,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,4.0,32.2,15.7,97.5,3,10.733,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,1.0,20.0,18.0,90.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,3.0,60.0,19.87,50.0,3,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,2.0,35.0,20.8,30.0,2,17.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,1.0,35.0,18.0,90.0,1,35.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,1.0,15.0,18.0,90.0,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,2.0,30.0,20.8,30.0,2,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,1.0,30.0,18.0,90.0,1,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,1.0,35.0,18.0,90.0,1,35.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,1.0,10.0,20.8,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,1.0,60.0,20.8,30.0,1,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,1.0,30.0,20.8,30.0,1,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,1.0,20.0,18.0,90.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,1.0,8.0,18.0,180.0,1,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,3.0,40.0,19.87,80.0,3,13.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,1.0,30.0,18.0,90.0,1,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,2.0,25.0,18.0,135.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-9,2.0,35.0,20.8,30.0,2,17.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,1.0,25.0,18.0,90.0,1,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,2.0,35.0,20.8,30.0,2,17.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
