时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
益农贷
2015-3-26,3.0,14.86,18.0,50.0,2,7.43,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,3.0,17.99,18.0,30.0,2,8.994,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,4.0,19.31,18.0,45.0,2,9.656,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,3.0,14.58,18.0,30.0,3,4.86,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,4.0,11.71,18.0,45.0,4,2.928,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,4.0,10.84,18.0,52.5,3,3.612,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,4.0,27.05,18.0,45.0,3,9.017,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,5.0,24.29,18.0,48.0,3,8.098,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,4.0,19.48,18.0,52.5,3,6.495,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,3.0,13.3,18.0,50.0,3,4.435,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,4.0,25.65,18.0,52.5,3,8.55,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,4.0,17.37,18.0,52.5,3,5.79,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,4.0,19.83,18.0,45.0,3,6.609,no_data_yet,no_data_yet,no_data_yet,no_data_yet
