时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
盛世财富（鄂）
2015-3-26,4.0,200.0,10.5,45.0,4,50.0,no_data_yet,no_data_yet,118.95,7248.58
2015-3-27,4.0,200.0,10.5,45.0,4,50.0,no_data_yet,no_data_yet,108.79,7360.28
2015-3-28,6.0,300.0,12.33,120.0,6,50.0,no_data_yet,no_data_yet,208.19,7583.63
2015-3-29,4.0,200.0,10.5,45.0,4,50.0,no_data_yet,no_data_yet,107.7,7694.23
2015-3-30,4.0,200.0,10.5,45.0,4,50.0,no_data_yet,no_data_yet,98.66,7795.8
2015-3-31,4.0,400.0,11.0,45.0,4,100.0,no_data_yet,no_data_yet,308.86,8110.63
2015-4-1,3.0,200.0,14.67,195.0,3,66.667,no_data_yet,no_data_yet,26.79,8151.15
2015-4-2,4.0,400.0,10.0,37.5,3,133.333,no_data_yet,no_data_yet,247.56,8403.54
2015-4-3,5.0,500.0,11.2,45.0,4,125.0,no_data_yet,no_data_yet,337.25,8748.24
2015-4-4,6.0,600.0,11.33,50.0,4,150.0,no_data_yet,no_data_yet,467.68,9226.06
2015-4-5,6.0,600.0,12.67,120.0,6,100.0,no_data_yet,no_data_yet,478.12,9734.66
2015-4-6,5.0,410.0,11.6,54.0,5,82.0,no_data_yet,no_data_yet,297.53,10038.51
2015-4-7,4.0,400.0,11.0,45.0,4,100.0,no_data_yet,no_data_yet,319.13,10363.61
2015-4-8,10.0,1000.0,12.0,90.0,6,166.667,no_data_yet,no_data_yet,817.12,11217.18
2015-4-9,4.0,400.0,11.0,45.0,4,100.0,no_data_yet,no_data_yet,266.78,11489.93
2015-4-10,5.0,500.0,11.0,42.0,4,125.0,no_data_yet,no_data_yet,377.6,11874.43
2015-4-11,4.0,400.0,11.0,45.0,4,100.0,no_data_yet,no_data_yet,278.27,12158.67
2015-4-12,4.0,400.0,11.0,45.0,4,100.0,no_data_yet,no_data_yet,256.53,12421.17
