时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
盛腾财富
2015-3-26,4.0,52.78,12.3,15.0,2,26.389,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,3.0,42.78,10.4,10.0,2,21.389,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,3.0,37.78,10.4,10.0,2,18.889,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,3.0,37.78,10.4,10.0,2,18.889,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,3.0,37.78,10.4,10.0,2,18.889,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,3.0,42.78,10.4,10.0,2,21.389,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,2.0,23.0,18.0,30.0,2,11.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,1.0,15.0,18.0,30.0,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,2.0,18.89,12.3,15.0,2,9.444,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,3.0,23.89,14.2,20.0,2,11.944,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,3.0,25.4,11.2,10.0,2,12.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,3.0,25.4,11.2,10.0,2,12.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,4.0,35.4,13.5,15.0,2,17.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,5.0,51.4,12.12,12.0,3,17.133,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,6.0,58.0,11.2,10.0,2,29.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,5.0,54.2,16.68,12.0,2,27.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,5.0,54.2,16.68,12.0,2,27.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,4.0,44.8,19.8,22.5,3,14.933,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,3.0,38.8,19.6,20.0,2,19.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,4.0,43.8,19.8,22.5,2,21.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,3.0,33.8,19.6,20.0,2,16.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,3.0,37.6,11.93,10.0,2,18.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,2.0,18.8,13.5,15.0,2,9.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,3.0,37.6,11.93,10.0,2,18.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,3.0,28.8,15.8,20.0,2,14.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,4.0,42.6,14.05,15.0,2,21.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,3.0,23.8,15.8,20.0,2,11.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,5.0,69.4,15.32,18.0,2,34.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,3.0,32.8,15.8,20.0,3,10.933,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-9,4.0,59.4,14.05,15.0,2,29.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-10,4.0,61.6,14.05,15.0,2,30.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-11,4.0,61.6,14.05,15.0,2,30.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,3.0,32.8,15.8,20.0,2,16.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,4.0,61.6,14.05,15.0,2,30.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,4.0,32.8,16.95,22.5,3,10.933,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,5.0,69.6,15.32,18.0,2,34.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-16,3.0,35.8,15.8,20.0,2,17.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-17,4.0,64.6,14.05,15.0,2,32.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-18,3.0,35.8,15.8,20.0,2,17.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-19,4.0,67.6,14.05,15.0,2,33.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-20,5.0,117.6,15.56,12.2,3,39.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-21,5.0,117.6,15.56,12.2,3,39.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-22,5.0,96.6,15.12,12.2,4,24.15,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-23,3.0,97.6,12.33,0.3,2,48.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-24,2.0,65.8,14.1,0.5,2,32.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-25,5.0,117.6,15.56,12.2,3,39.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet
