时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
短融网
2015-3-26,2.0,117.5,12.5,45.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,117.5,7965.54
2015-3-27,6.0,278.3,12.33,45.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,25.96,7947.86
2015-3-28,1.0,150.0,12.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,127.86,8077.22
2015-3-29,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,279.72,7797.5
2015-3-30,4.0,56.3,12.25,37.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,33.0,7831.24
2015-3-31,5.0,236.7,12.8,54.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,200.42,7636.67
2015-4-1,7.0,120.4,12.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,55.96,7693.84
2015-4-2,4.0,122.6,12.75,52.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,16.55,7713.62
2015-4-3,13.0,482.9,12.62,50.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,377.45,8106.04
2015-4-4,2.0,91.3,12.5,45.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,62.91,8170.24
2015-4-5,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,25.26,8144.98
2015-4-6,1.0,32.0,12.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,6.35,8151.65
2015-4-7,3.0,53.27,12.33,40.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,34.3,8186.66
2015-4-8,4.0,50.7,12.25,37.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,33.47,8220.91
2015-4-9,4.0,60.2,12.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,176.99,8044.52
2015-4-10,6.0,219.7,12.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,182.03,8228.75
2015-4-11,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,72.79,8155.96
2015-4-12,1.0,48.0,12.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,182.82,7973.62
2015-4-13,10.0,332.8,12.3,39.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,78.03,8060.06
2015-4-14,10.0,253.6,12.1,33.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,216.55,8279.51
2015-4-15,1.0,6.1,12.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,180.75,8098.82
2015-4-16,12.0,523.5,12.33,40.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,148.22,8254.73
2015-4-17,9.0,283.1,12.44,43.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,275.57,8537.13
2015-4-18,2.0,88.8,13.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,273.41,8266.36
2015-4-19,1.0,20.7,12.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,29.75,8236.81
2015-4-20,5.0,182.63,12.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,181.35,8419.99
2015-4-21,5.0,154.5,12.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,154.5,8576.03
2015-4-22,4.0,83.5,12.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,233.54,8343.32
2015-4-23,7.0,101.9,12.14,34.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,78.72,8423.31
2015-4-24,12.0,564.2,12.58,47.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,552.08,8988.91
2015-4-25,3.0,15.8,12.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,7.03,8996.1
2015-4-26,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,131.33,8864.77
2015-4-27,7.0,328.1,12.86,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,176.6,9050.98
2015-4-28,13.0,228.35,12.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,24.27,9077.53
2015-4-29,6.0,451.6,12.33,41.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,406.82,9494.55
