时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
票据宝
2015-3-26,18.0,162.66,7.06,78.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,4.7,11012.13
2015-3-27,10.0,76.29,7.06,86.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,81.55,10931.89
2015-3-28,5.0,48.76,7.0,72.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,43.76,10976.33
2015-3-29,6.0,59.58,7.05,85.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,49.58,11026.84
2015-3-30,17.0,128.22,7.06,83.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,30.54,10998.13
2015-3-31,12.0,123.18,7.06,78.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,26.89,10973.11
2015-4-1,9.0,93.45,7.06,75.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,57.73,10916.74
2015-4-2,18.0,189.13,7.03,71.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,37.02,10956.52
2015-4-3,12.0,123.09,7.05,83.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,50.86,10907.86
2015-4-4,4.0,28.61,7.03,65.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,44.34,10863.9
2015-4-5,4.0,30.1,7.08,75.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,30.1,10894.52
2015-4-6,11.0,104.94,7.08,84.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,52.96,10843.33
2015-4-7,12.0,116.4,7.03,75.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,34.74,10810.32
2015-4-8,22.0,212.69,7.05,81.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,29.51,10843.26
2015-4-9,21.0,198.69,7.06,81.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,32.46,10878.93
2015-4-10,12.0,135.42,7.06,83.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,38.07,10842.93
2015-4-11,8.0,85.44,7.03,78.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,47.04,10891.28
2015-4-12,4.0,39.23,7.08,85.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,8.24,10900.17
2015-4-13,9.0,80.84,7.01,69.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,95.01,10806.27
