时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
福润融通
2015-3-26,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,5.0,196.8
2015-3-27,1.0,6.0,18.0,30.0,1,6.0,no_data_yet,no_data_yet,6.0,202.89
2015-3-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,4.06,198.83
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.08,193.76
2015-3-30,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,0.08,193.76
2015-3-31,1.0,6.0,18.0,30.0,1,6.0,no_data_yet,no_data_yet,6.0,199.85
2015-4-1,1.0,6.0,18.0,30.0,1,6.0,no_data_yet,no_data_yet,5.91,205.85
2015-4-2,1.0,6.0,18.0,30.0,1,6.0,no_data_yet,no_data_yet,1.94,207.88
2015-4-3,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,7.07,200.95
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.08,195.88
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,4.06,191.82
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,9.04,182.78
2015-4-7,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,5.0,187.85
2015-4-8,2.0,8.0,18.0,30.0,1,8.0,no_data_yet,no_data_yet,0.12,187.85
2015-4-9,1.0,7.0,18.0,30.0,1,7.0,no_data_yet,no_data_yet,1.12,186.84
2015-4-10,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,4.93,191.84
2015-4-11,1.0,7.0,18.0,30.0,1,7.0,no_data_yet,no_data_yet,5.18,186.76
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.08,181.69
2015-4-13,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,1.88,183.72
2015-4-14,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,10.0,193.87
2015-4-15,1.0,9.0,18.0,30.0,1,9.0,no_data_yet,no_data_yet,11.3,182.7
2015-4-16,1.0,9.0,18.0,30.0,1,9.0,no_data_yet,no_data_yet,0.88,183.72
2015-4-17,2.0,14.0,18.0,30.0,2,7.0,no_data_yet,no_data_yet,1.82,185.75
2015-4-18,2.0,13.0,18.0,30.0,1,13.0,no_data_yet,no_data_yet,2.85,188.79
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,7.11,181.69
2015-4-20,1.0,8.0,18.0,30.0,1,8.0,no_data_yet,no_data_yet,8.0,189.81
2015-4-21,1.0,8.0,18.0,30.0,1,8.0,no_data_yet,no_data_yet,8.0,197.93
2015-4-22,1.0,8.0,18.0,30.0,1,8.0,no_data_yet,no_data_yet,4.18,193.87
2015-4-23,1.0,8.0,18.0,30.0,1,8.0,no_data_yet,no_data_yet,4.96,198.94
2015-4-24,1.0,9.0,18.0,30.0,1,9.0,no_data_yet,no_data_yet,2.91,201.99
2015-4-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.08,196.91
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,6.09,190.82
2015-4-27,2.0,9.0,18.0,30.0,1,9.0,no_data_yet,no_data_yet,9.0,199.96
2015-4-28,1.0,9.0,18.0,30.0,1,9.0,no_data_yet,no_data_yet,9.0,209.09
2015-4-29,1.0,9.0,18.0,30.0,1,9.0,no_data_yet,no_data_yet,3.93,213.15
2015-4-30,1.0,9.0,18.0,30.0,1,9.0,no_data_yet,no_data_yet,2.91,216.2
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,12.18,204.02
2015-5-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,6.09,197.93
