时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
紫枫信贷
2015-3-26,8.0,121.75,20.03,221.3,6,20.292,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,2.0,55.2,19.7,135.0,2,27.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,2.0,50.33,20.7,150.0,2,25.165,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,2.0,50.0,21.4,270.0,2,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,6.0,111.5,19.63,165.0,6,18.583,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,3.0,80.0,19.13,130.0,3,26.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,7.0,109.33,21.58,87.0,4,27.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,8.0,111.27,22.31,139.9,5,22.254,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,7.0,140.0,21.61,129.4,6,23.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,3.0,50.0,23.03,32.0,2,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,7.0,169.66,20.68,141.9,7,24.237,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,5.0,95.0,22.78,139.2,4,23.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,7.0,113.48,19.4,162.9,7,16.211,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,8.0,103.5,21.94,147.0,6,17.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,6.0,136.3,20.53,180.0,6,22.717,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,5.0,85.6,21.59,162.6,5,17.12,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,2.0,30.0,19.2,225.0,2,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,3.0,65.0,20.47,160.0,3,21.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,3.0,41.0,20.65,71.0,3,13.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,6.0,216.5,23.41,135.0,4,54.125,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,7.0,106.01,18.49,128.6,6,17.668,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,4.0,52.09,21.99,165.8,4,13.023,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,1.0,40.0,21.4,180.0,1,40.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,3.0,47.7,19.67,200.0,3,15.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,2.0,50.0,20.7,150.0,2,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,3.0,80.0,20.93,220.0,3,26.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,2.0,30.0,21.78,46.5,2,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
