时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
红岭创投
2015-3-26,4635.0,37508.44,12.63,24.7,1011,37.1,no_data_yet,no_data_yet,22563.49,1359337.38
2015-3-27,4885.0,23334.66,11.91,26.9,1081,21.586,no_data_yet,no_data_yet,3625.14,1364036.2
2015-3-28,5051.0,24839.59,11.91,25.0,1366,18.184,no_data_yet,no_data_yet,4828.24,1370229.7
2015-3-29,2914.0,13359.2,10.6,24.1,711,18.789,no_data_yet,no_data_yet,11204.43,1359399.6
2015-3-30,3354.0,13981.04,10.54,25.0,839,16.664,no_data_yet,no_data_yet,15139.28,1344392.05
2015-3-31,3822.0,24820.28,11.51,25.9,856,28.996,no_data_yet,no_data_yet,9013.12,1337409.44
2015-4-1,6666.0,28098.77,12.92,26.1,1288,21.816,no_data_yet,no_data_yet,2370.95,1340379.68
2015-4-2,8406.0,40554.96,10.09,27.6,1373,29.537,no_data_yet,no_data_yet,15285.45,1357159.33
2015-4-3,10200.0,46731.26,9.08,27.3,1531,30.523,no_data_yet,no_data_yet,17785.39,1376042.54
2015-4-4,8621.0,36541.8,8.54,28.0,1216,30.051,no_data_yet,no_data_yet,11075.92,1387823.26
2015-4-5,7396.0,29105.34,9.04,26.6,1100,26.459,no_data_yet,no_data_yet,2774.16,1390905.32
2015-4-6,7539.0,26560.79,9.31,27.5,1183,22.452,no_data_yet,no_data_yet,4020.12,1395332.11
2015-4-7,8630.0,32386.95,9.97,26.1,1422,22.776,no_data_yet,no_data_yet,15461.36,1411480.21
2015-4-8,9146.0,34912.9,9.0,27.6,1384,25.226,no_data_yet,no_data_yet,9490.6,1421919.25
2015-4-9,7905.0,28962.07,9.11,27.6,1306,22.176,no_data_yet,no_data_yet,3563.52,1425704.52
2015-4-10,8022.0,41615.88,9.69,27.5,1345,30.941,no_data_yet,no_data_yet,11693.64,1439128.16
2015-4-11,6647.0,24877.21,9.82,27.3,1116,22.291,no_data_yet,no_data_yet,1139.01,1440497.12
2015-4-12,6907.0,25560.55,11.64,26.5,1236,20.68,no_data_yet,no_data_yet,2576.37,1443279.13
2015-4-13,6834.0,32082.68,13.43,26.4,1323,24.25,no_data_yet,no_data_yet,4073.79,1448472.47
2015-4-14,6261.0,24329.91,13.29,25.5,1269,19.173,no_data_yet,no_data_yet,1056.61,1448101.27
2015-4-15,6075.0,23385.14,13.34,26.3,1275,18.341,no_data_yet,no_data_yet,5391.43,1443289.47
2015-4-16,5822.0,25770.78,12.36,27.8,1275,20.212,no_data_yet,no_data_yet,4582.49,1439844.85
2015-4-17,8201.0,37276.83,10.43,29.8,1546,24.112,no_data_yet,no_data_yet,4475.33,1445377.48
2015-4-18,6690.0,27142.65,9.46,32.9,1293,20.992,no_data_yet,no_data_yet,807.56,1444819.89
2015-4-19,6046.0,25997.88,9.68,30.7,1154,22.528,no_data_yet,no_data_yet,709.29,1445764.01
2015-4-20,6368.0,27673.02,10.61,31.2,1413,19.585,no_data_yet,no_data_yet,6320.28,1452380.69
2015-4-21,6076.0,28168.71,10.43,31.5,1451,19.413,no_data_yet,no_data_yet,12224.23,1464887.02
2015-4-22,4823.0,19635.57,9.76,32.4,1212,16.201,no_data_yet,no_data_yet,2412.81,1467506.41
2015-4-23,4194.0,16637.74,9.52,36.6,1140,14.595,no_data_yet,no_data_yet,7162.38,1460502.54
2015-4-24,3823.0,15554.97,9.15,35.0,1050,14.814,no_data_yet,no_data_yet,12170.8,1448472.64
2015-4-25,3948.0,16454.2,10.12,30.6,945,17.412,no_data_yet,no_data_yet,8556.1,1440069.46
2015-4-26,4403.0,18041.07,11.51,26.3,1006,17.933,no_data_yet,no_data_yet,2029.91,1438199.81
2015-4-27,4635.0,27336.03,11.47,30.2,1255,21.782,no_data_yet,no_data_yet,8151.44,1447644.69
2015-4-28,5237.0,31064.83,11.64,26.7,1252,24.812,no_data_yet,no_data_yet,17319.63,1466938.36
2015-4-29,4820.0,20401.21,10.52,29.2,1181,17.275,no_data_yet,no_data_yet,7004.72,1474110.73
2015-4-30,4181.0,18311.15,11.17,28.3,1108,16.526,no_data_yet,no_data_yet,349.12,1475197.3
2015-5-1,3345.0,13709.5,10.62,27.6,834,16.438,no_data_yet,no_data_yet,15582.7,1459734.47
2015-5-2,5440.0,23055.39,12.75,25.8,1098,20.998,no_data_yet,no_data_yet,13924.88,1446037.08
2015-5-3,5137.0,20763.95,13.87,24.4,1108,18.74,no_data_yet,no_data_yet,21290.17,1424947.6
2015-5-4,5216.0,23171.53,13.34,25.8,1297,17.865,no_data_yet,no_data_yet,14153.4,1411284.78
2015-5-5,5374.0,24484.32,13.12,25.6,1345,18.204,no_data_yet,no_data_yet,6290.03,1405214.92
2015-5-6,5740.0,46876.47,15.12,24.6,1329,35.272,no_data_yet,no_data_yet,20664.34,1430119.97
2015-5-7,4311.0,18035.99,12.97,24.7,1184,15.233,no_data_yet,no_data_yet,14549.35,1415733.67
2015-5-8,6506.0,31969.95,11.46,26.4,1463,21.852,no_data_yet,no_data_yet,6564.7,1410149.09
2015-5-9,5446.0,22146.65,10.79,26.8,1227,18.049,no_data_yet,no_data_yet,9867.97,1400459.52
2015-5-10,5713.0,23381.28,11.22,26.4,1176,19.882,no_data_yet,no_data_yet,13603.85,1387058.15
2015-5-11,6740.0,39515.43,11.91,28.3,1542,25.626,no_data_yet,no_data_yet,6342.24,1396029.91
2015-5-12,5104.0,18984.11,10.63,31.6,1258,15.091,no_data_yet,no_data_yet,7839.96,1388373.2
