时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
翼龙贷
2015-3-26,460.0,3160.5,17.93,359.2,459,6.886,no_data_yet,no_data_yet,2699.25,355168.83
2015-3-27,413.0,2611.5,17.96,368.5,413,6.323,no_data_yet,no_data_yet,1927.01,357551.58
2015-3-28,159.0,1237.5,17.99,347.7,158,7.832,no_data_yet,no_data_yet,824.28,358569.7
2015-3-29,52.0,300.0,18.0,360.0,52,5.769,no_data_yet,no_data_yet,238.27,358384.55
2015-3-30,554.0,3464.0,17.91,353.6,554,6.253,no_data_yet,no_data_yet,2960.02,361941.32
2015-3-31,493.0,3149.5,17.92,358.3,493,6.388,no_data_yet,no_data_yet,2809.27,365293.78
2015-4-1,322.0,2566.0,17.88,350.0,321,7.994,no_data_yet,no_data_yet,2223.2,367952.41
2015-4-2,522.0,3149.0,17.93,355.8,521,6.044,no_data_yet,no_data_yet,2703.67,371205.56
2015-4-3,709.0,4177.1,17.9,354.5,709,5.892,no_data_yet,no_data_yet,3648.36,375572.58
2015-4-4,240.0,1512.0,17.9,355.6,240,6.3,no_data_yet,no_data_yet,967.13,376799.31
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,546.65,376252.65
2015-4-6,309.0,1864.5,17.9,360.7,309,6.034,no_data_yet,no_data_yet,1327.35,377906.89
2015-4-7,552.0,3399.3,17.82,342.4,552,6.158,no_data_yet,no_data_yet,2893.74,381363.39
2015-4-8,484.0,3142.3,17.91,359.3,484,6.492,no_data_yet,no_data_yet,2659.45,384564.74
2015-4-9,556.0,3416.5,18.54,312.1,556,6.145,no_data_yet,no_data_yet,2634.57,387727.46
2015-4-10,365.0,2604.0,18.32,329.2,365,7.134,no_data_yet,no_data_yet,1999.25,390135.75
2015-4-11,264.0,2089.0,17.95,328.8,264,7.913,no_data_yet,no_data_yet,1552.65,391997.85
2015-4-12,153.0,909.0,17.99,372.5,153,5.941,no_data_yet,no_data_yet,416.8,392576.27
2015-4-13,423.0,2544.5,17.85,348.9,423,6.015,no_data_yet,no_data_yet,2016.89,395037.34
2015-4-14,265.0,1796.2,17.87,358.4,265,6.778,no_data_yet,no_data_yet,1290.4,396636.32
2015-4-15,295.0,2138.5,17.85,351.8,295,7.249,no_data_yet,no_data_yet,1699.66,398703.5
2015-4-16,723.0,4457.0,17.89,352.2,723,6.165,no_data_yet,no_data_yet,3692.24,403163.62
2015-4-17,327.0,2174.15,17.95,368.4,327,6.649,no_data_yet,no_data_yet,1658.78,405205.5
2015-4-18,273.0,1664.0,17.92,351.1,273,6.095,no_data_yet,no_data_yet,1144.33,406632.73
2015-4-19,239.0,1500.0,17.92,357.6,239,6.276,no_data_yet,no_data_yet,901.72,407797.22
