时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
聚有财
2015-3-26,3.0,1060.0,8.6,183.0,3,353.333,no_data_yet,no_data_yet,1028.12,72000.19
2015-3-27,4.0,25.0,7.2,91.8,4,6.25,no_data_yet,no_data_yet,18.72,72019.28
2015-3-28,1.0,30.0,9.6,12.0,1,30.0,no_data_yet,no_data_yet,17.24,72036.62
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,16.96,72019.65
2015-3-30,2.0,10.0,7.2,60.5,2,5.0,no_data_yet,no_data_yet,11.55,72008.23
2015-3-31,2.0,80.0,8.4,90.0,2,40.0,no_data_yet,no_data_yet,132.85,71877.27
2015-4-1,5.0,55.0,7.2,91.4,5,11.0,no_data_yet,no_data_yet,51.63,71929.99
2015-4-2,3.0,1010.0,7.8,138.7,3,336.667,no_data_yet,no_data_yet,998.02,73018.07
2015-4-3,3.0,45.0,7.2,120.0,3,15.0,no_data_yet,no_data_yet,23.05,73042.28
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,37.08,73005.2
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,6.77,72998.43
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,4.95,72993.48
2015-4-7,5.0,92.0,7.2,56.8,5,18.4,no_data_yet,no_data_yet,86.77,73080.7
2015-4-8,9.0,122.8,7.47,85.0,9,13.644,no_data_yet,no_data_yet,117.35,73201.54
2015-4-9,4.0,1075.0,8.25,123.8,4,268.75,no_data_yet,no_data_yet,991.08,74283.07
2015-4-10,5.0,79.0,7.2,52.2,5,15.8,no_data_yet,no_data_yet,78.24,74362.07
2015-4-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.24,74360.83
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.75,74355.07
2015-4-13,5.0,60.0,7.2,56.8,5,12.0,no_data_yet,no_data_yet,43.49,74398.9
2015-4-14,5.0,226.0,7.56,78.2,5,45.2,no_data_yet,no_data_yet,4.99,74408.76
2015-4-15,4.0,78.0,7.8,76.5,4,19.5,no_data_yet,no_data_yet,16.8,74426.62
2015-4-16,2.0,92.0,8.4,184.0,2,46.0,no_data_yet,no_data_yet,27.55,74406.77
2015-4-17,6.0,230.6,7.5,80.0,6,38.433,no_data_yet,no_data_yet,225.72,74637.37
2015-4-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.31,74632.06
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,231.37,74400.69
2015-4-20,4.0,240.0,7.65,112.5,4,60.0,no_data_yet,no_data_yet,161.87,74567.8
2015-4-21,4.0,200.0,7.8,74.0,4,50.0,no_data_yet,no_data_yet,58.78,74630.57
2015-4-22,7.0,358.0,8.14,133.0,7,51.143,no_data_yet,no_data_yet,148.47,74791.16
2015-4-23,5.0,132.0,8.16,108.0,4,33.0,no_data_yet,no_data_yet,388.11,74406.42
