时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
聚财猫
2015-9-13,3.0,450.0,11.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,450.0,474.41
2015-9-14,4.0,470.0,10.75,179.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,470.0,969.27
2015-9-15,5.0,660.0,11.0,182.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,660.0,1665.48
2015-9-16,10.0,1280.0,10.9,181.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1280.0,3014.98
2015-9-17,8.0,1010.0,10.75,180.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1010.0,4079.14
2015-9-18,10.0,1299.0,10.8,180.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1299.0,5448.03
2015-9-19,8.0,1176.2,10.75,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1176.2,6687.46
2015-9-20,8.0,1300.0,10.88,181.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1300.0,8058.03
2015-9-21,8.0,1120.1,10.88,179.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1120.1,9238.42
2015-9-22,7.0,1050.0,10.43,164.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1050.0,10341.32
2015-9-23,8.0,1850.0,10.88,181.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1850.0,12291.74
2015-9-24,8.0,1600.0,10.88,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1600.0,13978.04
2015-9-25,7.0,1300.0,10.86,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1300.0,15348.06
2015-9-26,8.0,1400.0,10.88,180.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1400.0,16823.7
2015-9-27,8.0,1200.0,10.88,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1200.0,18088.3
2015-9-28,10.0,1290.0,11.1,179.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1290.0,19449.36
2015-9-29,8.0,1150.0,10.88,179.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1150.0,20661.04
2015-9-30,10.0,1373.3,11.1,198.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1373.3,22113.92
2015-10-1,8.0,1035.0,10.75,181.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1035.0,23204.75
2015-10-2,11.0,1605.5,11.0,180.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1605.5,24899.11
2015-10-3,6.0,730.0,10.83,179.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,730.0,25668.14
2015-10-4,7.0,850.0,10.86,179.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet,850.0,26563.61
2015-10-5,6.0,700.0,10.83,183.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,700.0,27301.78
2015-10-6,7.0,820.0,10.86,182.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,820.0,28166.48
2015-10-7,6.0,700.0,10.83,181.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,700.0,28904.35
2015-10-8,6.0,700.0,10.83,180.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,700.0,29642.01
2015-10-9,7.0,1000.0,10.86,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1000.0,30695.76
2015-10-10,12.0,2800.0,10.83,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2800.0,33646.66
2015-10-11,7.0,1250.0,10.71,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1250.0,34963.73
2015-10-12,9.0,1190.0,10.78,179.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1190.0,36216.95
2015-10-13,7.0,990.0,10.86,182.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,990.0,37260.75
2015-10-14,9.0,1512.0,10.89,181.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1512.0,38854.73
2015-10-15,10.0,1350.0,10.8,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1350.0,40277.23
2015-10-16,9.0,1200.0,10.78,180.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1200.0,41541.63
2015-10-17,10.0,1610.0,10.9,179.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1610.0,43238.38
2015-10-18,8.0,970.0,10.88,179.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,970.0,44260.2
2015-10-19,8.0,1050.0,11.13,178.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1050.0,45367.74
2015-10-20,8.0,1200.0,10.88,181.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1200.0,46632.79
2015-10-21,8.0,1440.0,10.88,181.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1440.0,48151.16
2015-10-22,9.0,1670.0,10.78,180.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1670.0,49911.3
2015-10-23,9.0,1600.0,10.78,180.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1600.0,51597.47
2015-10-24,9.0,1330.0,10.89,181.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1330.0,52999.69
2015-10-25,8.0,940.0,10.88,181.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,940.0,53990.55
2015-10-26,8.0,1260.0,10.88,183.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1260.0,55319.76
2015-10-27,9.0,1149.0,10.89,181.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1149.0,56530.79
2015-10-28,9.0,1527.0,10.89,179.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1527.0,58140.05
2015-10-29,10.0,1660.0,10.8,177.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1660.0,59887.7
2015-10-30,10.0,1376.0,10.9,178.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1376.0,61337.56
2015-10-31,9.0,1375.7,10.89,179.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1375.7,62787.37
2015-11-1,8.0,1000.0,10.88,179.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1000.0,63840.96
2015-11-2,8.0,940.0,10.88,178.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,940.0,64830.96
2015-11-3,10.0,1214.2,10.9,180.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1214.2,66110.74
2015-11-4,9.0,1750.0,10.89,181.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1750.0,67955.92
2015-11-5,8.0,1780.0,10.88,184.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1780.0,69834.27
2015-11-6,8.0,1309.6,10.88,185.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1309.6,71216.42
2015-11-7,8.0,1380.0,10.88,179.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1380.0,72670.98
2015-11-8,8.0,900.0,10.88,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,900.0,73619.31
2015-11-9,8.0,940.0,10.88,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,940.0,74609.82
2015-11-10,8.0,1150.0,10.88,178.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1150.0,75821.2
2015-11-11,8.0,1700.0,10.88,179.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1700.0,77612.6
2015-11-12,24.0,6430.0,11.06,179.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,6430.0,84394.02
2015-11-13,15.0,1880.0,10.47,151.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1880.0,86360.5
2015-11-14,16.0,2100.0,10.44,154.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2100.0,88558.67
2015-11-15,15.0,1460.0,10.47,153.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1460.0,90086.84
2015-11-16,15.0,1411.1,10.47,151.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1411.1,91562.74
2015-11-17,16.0,1796.7,10.5,155.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1796.7,93441.8
2015-11-18,17.0,2442.3,10.47,155.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2442.3,95999.33
2015-11-19,19.0,2775.0,10.63,157.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2775.0,98911.02
2015-11-20,17.0,2190.0,10.53,154.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2088.71,101102.48
2015-11-21,15.0,1850.0,10.47,152.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1850.0,103037.76
2015-11-22,15.0,1450.0,10.47,152.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1450.0,104556.3
2015-11-23,15.0,1530.0,10.47,151.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1530.0,106158.94
2015-11-24,15.0,1740.0,10.47,151.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1740.0,107980.62
2015-11-25,16.0,2775.0,10.5,153.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2775.0,110885.99
2015-11-26,15.0,1980.0,9.93,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1980.0,112959.92
2015-11-27,16.0,1750.0,10.0,179.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1750.0,114791.9
2015-11-28,13.0,1767.9,9.92,190.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1767.9,116647.92
2015-11-29,17.0,1510.0,10.0,176.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1510.0,118230.56
2015-11-30,17.0,1460.0,10.0,176.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1460.0,119760.94
2015-12-1,17.0,1810.0,10.0,176.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1810.0,121657.04
2015-12-2,20.0,1570.0,9.3,176.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1570.0,123297.66
2015-12-3,20.0,1310.0,9.33,176.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1310.0,124668.04
2015-12-4,16.0,1050.0,9.22,178.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1050.0,125768.84
2015-12-5,18.0,1100.0,9.22,178.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1100.0,126918.94
2015-12-6,17.0,720.0,9.15,173.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,720.0,127671.48
2015-12-7,11.0,520.0,8.95,190.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,520.0,128215.87
2015-12-8,10.0,480.0,8.95,197.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,480.0,128719.25
2015-12-9,20.0,940.0,9.23,173.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,940.0,129701.62
2015-12-10,21.0,1230.0,9.24,167.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1230.0,130985.65
2015-12-11,12.0,1050.0,9.25,198.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1050.0,132084.56
2015-12-12,18.0,1925.0,9.05,164.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1925.0,134083.92
2015-12-13,20.0,2625.0,9.7,216.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2625.0,136877.47
2015-12-14,23.0,2785.7,9.69,203.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2785.7,139837.86
2015-12-15,19.0,1605.0,9.17,175.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1605.0,141514.1
2015-12-16,23.0,2875.7,9.3,158.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2875.7,144494.78
2015-12-17,22.0,2432.0,9.36,170.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2432.0,147033.09
2015-12-18,24.0,2376.9,9.54,164.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2376.9,149514.05
2015-12-19,32.0,3265.8,9.48,162.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3265.8,152916.24
2015-12-20,17.0,1540.0,9.45,183.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1540.0,154535.44
2015-12-21,24.0,2822.8,9.62,171.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2822.8,157505.36
2015-12-22,23.0,2500.0,9.72,175.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2500.0,160130.32
2015-12-23,25.0,2594.8,9.63,161.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2594.8,162844.19
2015-12-24,23.0,2416.8,9.46,156.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2416.8,165368.44
