时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
融彬贷
2015-5-12,1.0,5.0,8.0,30.0,1,5.0,no_data_yet,no_data_yet,5.0,5.03
2015-5-13,1.0,4.0,15.0,7.0,1,4.0,no_data_yet,no_data_yet,4.0,9.04
2015-5-14,4.0,13.0,11.4,23.3,1,13.0,no_data_yet,no_data_yet,13.0,22.14
2015-5-15,2.0,6.5,15.0,16.5,1,6.5,no_data_yet,no_data_yet,6.5,28.7
2015-5-16,1.0,1.5,9.9,1.0,1,1.5,no_data_yet,no_data_yet,1.5,30.2
2015-5-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,4.5,25.7
2015-5-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.0,22.69
2015-5-19,2.0,8.0,15.0,7.0,1,8.0,no_data_yet,no_data_yet,8.0,30.72
2015-5-20,2.0,4.5,10.95,2.0,1,4.5,no_data_yet,no_data_yet,0.49,31.21
2015-5-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.5,29.71
2015-5-22,2.0,7.0,13.5,5.0,1,7.0,no_data_yet,no_data_yet,7.0,36.72
2015-5-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.0,33.72
2015-5-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.0,33.72
2015-5-25,1.0,3.5,7.2,30.0,1,3.5,no_data_yet,no_data_yet,0.5,34.24
2015-5-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,8.02,26.21
2015-5-27,6.0,18.0,14.48,12.7,1,18.0,no_data_yet,no_data_yet,18.0,44.32
2015-5-28,3.0,10.5,13.67,5.0,1,10.5,no_data_yet,no_data_yet,9.0,53.35
2015-5-29,1.0,1.5,9.9,1.0,1,1.5,no_data_yet,no_data_yet,2.51,50.83
2015-5-30,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,4.5,46.33
2015-5-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.0,43.33
2015-6-1,3.0,9.5,14.67,12.7,1,9.5,no_data_yet,no_data_yet,5.99,49.38
2015-6-2,2.0,7.0,11.3,18.5,2,3.5,no_data_yet,no_data_yet,3.49,52.9
2015-6-3,2.0,4.5,13.95,15.5,1,4.5,no_data_yet,no_data_yet,0.49,53.43
2015-6-4,1.0,3.5,14.0,5.0,1,3.5,no_data_yet,no_data_yet,5.01,48.43
2015-6-5,3.0,10.5,13.67,5.0,1,10.5,no_data_yet,no_data_yet,10.5,58.95
2015-6-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.51,55.44
2015-6-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.51,55.44
2015-6-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.0,52.44
2015-6-9,2.0,6.0,18.0,30.0,1,6.0,no_data_yet,no_data_yet,1.52,51.01
2015-6-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.51,47.5
2015-6-11,1.0,3.0,18.0,30.0,1,3.0,no_data_yet,no_data_yet,2.03,45.51
2015-6-12,2.0,6.0,18.0,30.0,2,3.0,no_data_yet,no_data_yet,1.99,47.59
