时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
融贝网
2015-3-26,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,6.75,18647.08
2015-3-27,2.0,270.0,12.5,166.5,2,135.0,no_data_yet,no_data_yet,270.0,18932.94
2015-3-28,2.0,57.8,10.0,62.5,2,28.9,no_data_yet,no_data_yet,30.46,18964.89
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.63,18963.27
2015-3-30,1.0,26.6,11.0,93.0,1,26.6,no_data_yet,no_data_yet,19.81,18944.22
2015-3-31,1.0,50.0,10.5,92.0,1,50.0,no_data_yet,no_data_yet,44.21,18989.77
2015-4-1,3.0,288.0,11.0,110.0,3,96.0,no_data_yet,no_data_yet,280.67,19286.48
2015-4-2,2.0,43.51,10.0,106.5,2,21.755,no_data_yet,no_data_yet,41.12,19329.57
2015-4-3,2.0,83.1,10.25,76.0,2,41.55,no_data_yet,no_data_yet,74.83,19406.29
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,246.95,19159.34
2015-4-5,1.0,100.0,13.0,184.0,1,100.0,no_data_yet,no_data_yet,98.23,19264.21
2015-4-6,1.0,100.0,12.0,144.0,1,100.0,no_data_yet,no_data_yet,98.0,19367.01
2015-4-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,31.33,19335.68
2015-4-8,2.0,157.8,12.0,148.5,2,78.9,no_data_yet,no_data_yet,155.11,19499.44
2015-4-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,26.25,19473.19
2015-4-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.5,19469.69
2015-4-11,1.0,10.0,13.0,276.0,1,10.0,no_data_yet,no_data_yet,8.38,19479.06
2015-4-12,1.0,20.0,13.0,275.0,1,20.0,no_data_yet,no_data_yet,15.31,19496.36
2015-4-13,1.0,30.0,13.0,274.0,1,30.0,no_data_yet,no_data_yet,24.11,19523.43
2015-4-14,2.0,250.0,13.0,228.5,2,125.0,no_data_yet,no_data_yet,246.22,19787.87
2015-4-15,1.0,16.6,9.0,30.0,1,16.6,no_data_yet,no_data_yet,7.78,19795.77
2015-4-16,3.0,178.5,10.83,134.7,3,59.5,no_data_yet,no_data_yet,175.93,19979.58
2015-4-17,1.0,50.0,13.0,271.0,1,50.0,no_data_yet,no_data_yet,46.62,20031.09
2015-4-18,1.0,50.0,13.0,269.0,1,50.0,no_data_yet,no_data_yet,40.53,20076.48
2015-4-19,4.0,257.8,12.0,137.0,4,64.45,no_data_yet,no_data_yet,253.47,20344.39
2015-4-20,3.0,114.2,12.17,162.0,3,38.067,no_data_yet,no_data_yet,109.7,20462.49
2015-4-21,2.0,73.6,12.0,106.0,2,36.8,no_data_yet,no_data_yet,72.07,20538.31
2015-4-22,3.0,88.16,12.33,161.0,3,29.387,no_data_yet,no_data_yet,83.66,20628.49
2015-4-23,1.0,5.34,10.0,28.0,1,5.34,no_data_yet,no_data_yet,5.34,20633.87
2015-4-24,2.0,70.0,12.25,178.5,2,35.0,no_data_yet,no_data_yet,67.04,20704.29
2015-4-25,2.0,150.0,12.5,122.5,2,75.0,no_data_yet,no_data_yet,143.25,20853.0
2015-4-26,1.0,15.8,10.0,39.0,1,15.8,no_data_yet,no_data_yet,12.98,20866.14
2015-4-27,1.0,100.0,14.0,159.0,1,100.0,no_data_yet,no_data_yet,88.32,20960.64
2015-4-28,4.0,450.0,12.5,126.3,4,112.5,no_data_yet,no_data_yet,448.38,21431.56
2015-4-29,1.0,30.0,13.0,259.0,1,30.0,no_data_yet,no_data_yet,20.78,21455.14
2015-4-30,5.0,221.16,11.7,103.8,5,44.232,no_data_yet,no_data_yet,217.49,21681.6
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,125.93,21555.67
2015-5-2,1.0,9.18,9.0,46.0,1,9.18,no_data_yet,no_data_yet,2.57,21553.21
2015-5-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,22.57,21530.64
2015-5-4,3.0,217.75,11.17,108.0,3,72.583,no_data_yet,no_data_yet,212.7,21753.1
2015-5-5,1.0,30.0,13.0,253.0,1,30.0,no_data_yet,no_data_yet,27.29,21783.13
2015-5-6,2.0,69.5,11.0,109.5,2,34.75,no_data_yet,no_data_yet,24.6,21811.24
2015-5-7,5.0,181.35,10.3,83.0,5,36.27,no_data_yet,no_data_yet,176.12,21993.21
2015-5-8,3.0,115.6,10.33,82.7,3,38.533,no_data_yet,no_data_yet,111.3,22111.1
2015-5-9,1.0,9.6,9.0,37.0,1,9.6,no_data_yet,no_data_yet,5.36,22105.83
2015-5-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.5,22102.33
2015-5-11,2.0,130.0,12.25,139.0,2,65.0,no_data_yet,no_data_yet,129.89,22237.94
2015-5-12,2.0,63.8,10.0,53.5,2,31.9,no_data_yet,no_data_yet,8.89,22247.79
2015-5-13,2.0,107.0,11.25,107.5,2,53.5,no_data_yet,no_data_yet,21.6,22276.09
2015-5-14,5.0,209.91,10.9,102.2,5,41.982,no_data_yet,no_data_yet,43.52,22327.95
2015-5-15,3.0,25.5,9.5,34.3,3,8.5,no_data_yet,no_data_yet,1.0,22329.19
2015-5-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,33.21,22295.99
2015-5-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,22.17,22273.82
2015-5-18,3.0,209.3,12.1,122.3,3,69.767,no_data_yet,no_data_yet,127.88,22411.6
2015-5-19,1.0,50.0,10.0,33.0,1,50.0,no_data_yet,no_data_yet,42.97,22455.03
2015-5-20,1.0,75.0,13.5,168.0,1,75.0,no_data_yet,no_data_yet,71.44,22531.2
2015-5-21,1.0,50.0,10.0,32.0,1,50.0,no_data_yet,no_data_yet,1.2,22532.84
2015-5-22,3.0,37.5,12.83,172.0,3,12.5,no_data_yet,no_data_yet,32.02,22567.41
2015-5-23,2.0,130.0,11.75,108.0,2,65.0,no_data_yet,no_data_yet,38.7,22612.07
2015-5-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.18,22608.89
2015-5-25,3.0,126.1,12.17,144.0,3,42.033,no_data_yet,no_data_yet,117.85,22731.91
