时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
融金所
2015-3-26,59.0,1289.7,17.21,121.5,59,21.859,no_data_yet,no_data_yet,382.99,36231.5
2015-3-27,69.0,1511.66,17.14,117.4,68,22.23,no_data_yet,no_data_yet,199.69,36464.58
2015-3-28,40.0,1504.4,17.6,147.8,40,37.61,no_data_yet,no_data_yet,602.96,37100.8
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1460.43,35640.37
2015-3-30,53.0,978.55,16.62,77.5,53,18.463,no_data_yet,no_data_yet,1122.61,34537.17
2015-3-31,40.0,1048.38,16.85,92.3,40,26.21,no_data_yet,no_data_yet,661.53,35219.62
2015-4-1,32.0,851.8,17.08,108.8,32,26.619,no_data_yet,no_data_yet,243.2,34995.61
2015-4-2,71.0,1329.05,17.47,141.5,71,18.719,no_data_yet,no_data_yet,687.36,35726.98
2015-4-3,73.0,1007.13,17.24,126.6,73,13.796,no_data_yet,no_data_yet,815.36,34944.22
2015-4-4,60.0,1188.29,16.87,94.5,60,19.805,no_data_yet,no_data_yet,540.87,34430.61
2015-4-5,50.0,1462.47,16.98,102.6,50,29.249,no_data_yet,no_data_yet,149.36,34622.5
2015-4-6,39.0,971.32,16.64,76.9,39,24.906,no_data_yet,no_data_yet,10.41,34630.02
2015-4-7,25.0,989.0,17.3,129.6,25,39.56,no_data_yet,no_data_yet,551.04,35199.11
2015-4-8,44.0,806.46,17.49,145.9,44,18.329,no_data_yet,no_data_yet,717.76,34503.46
2015-4-9,65.0,1679.3,17.01,106.2,65,25.835,no_data_yet,no_data_yet,623.16,35169.9
2015-4-10,40.0,1057.41,17.16,113.3,40,26.435,no_data_yet,no_data_yet,276.89,34933.22
2015-4-11,80.0,1312.3,17.41,136.9,80,16.404,no_data_yet,no_data_yet,121.98,35106.98
2015-4-12,1.0,144.0,16.5,60.0,1,144.0,no_data_yet,no_data_yet,941.16,34169.78
2015-4-13,91.0,1347.69,16.61,74.2,91,14.81,no_data_yet,no_data_yet,172.16,34380.59
2015-4-14,51.0,1346.83,17.63,157.7,51,26.408,no_data_yet,no_data_yet,734.13,35160.98
2015-4-15,63.0,1185.2,17.89,174.8,63,18.813,no_data_yet,no_data_yet,1084.07,34126.63
2015-4-16,92.0,2004.88,17.17,120.3,92,21.792,no_data_yet,no_data_yet,561.02,34757.16
2015-4-17,67.0,1407.25,17.7,163.9,67,21.004,no_data_yet,no_data_yet,85.02,34733.99
2015-4-18,28.0,703.4,18.39,208.9,28,25.121,no_data_yet,no_data_yet,226.87,34534.54
2015-4-19,1.0,250.0,16.5,60.0,1,250.0,no_data_yet,no_data_yet,329.34,34212.08
2015-4-20,65.0,1232.55,17.76,168.0,65,18.962,no_data_yet,no_data_yet,466.03,34732.97
2015-4-21,66.0,1805.85,17.89,173.4,66,27.361,no_data_yet,no_data_yet,1445.47,36237.72
2015-4-22,60.0,1165.0,18.13,194.5,60,19.417,no_data_yet,no_data_yet,417.7,35869.28
2015-4-23,111.0,1802.21,17.4,138.4,111,16.236,no_data_yet,no_data_yet,380.69,36319.59
2015-4-24,75.0,1642.88,17.78,164.4,75,21.905,no_data_yet,no_data_yet,409.98,36797.91
2015-4-25,59.0,1137.29,17.17,122.0,57,19.952,no_data_yet,no_data_yet,160.13,36672.61
2015-4-26,29.0,872.95,16.62,80.7,29,30.102,no_data_yet,no_data_yet,822.08,35871.82
2015-4-27,92.0,1733.27,17.02,106.3,92,18.84,no_data_yet,no_data_yet,149.14,36076.25
2015-4-28,63.0,1765.4,17.3,128.1,63,28.022,no_data_yet,no_data_yet,1359.9,37492.77
2015-4-29,62.0,910.2,17.99,179.0,61,14.921,no_data_yet,no_data_yet,480.01,37054.4
2015-4-30,112.0,2030.83,17.17,118.4,112,18.132,no_data_yet,no_data_yet,815.49,37932.78
2015-5-1,35.0,989.8,16.95,103.7,35,28.28,no_data_yet,no_data_yet,8.74,37950.5
2015-5-2,48.0,1123.65,16.44,61.9,48,23.409,no_data_yet,no_data_yet,362.74,37612.35
2015-5-3,55.0,898.37,16.48,64.9,55,16.334,no_data_yet,no_data_yet,440.23,37193.79
2015-5-4,84.0,1641.93,16.98,103.9,84,19.547,no_data_yet,no_data_yet,54.13,37194.65
2015-5-5,77.0,1575.56,17.06,111.4,77,20.462,no_data_yet,no_data_yet,353.93,37596.8
2015-5-6,84.0,1458.66,16.94,99.3,84,17.365,no_data_yet,no_data_yet,375.79,37263.18
2015-5-7,42.0,1590.5,17.87,176.4,42,37.869,no_data_yet,no_data_yet,266.97,37585.89
2015-5-8,75.0,1454.43,17.18,120.4,75,19.392,no_data_yet,no_data_yet,523.74,38156.17
2015-5-9,68.0,1528.22,16.87,91.3,68,22.474,no_data_yet,no_data_yet,571.62,37629.59
2015-5-10,30.0,449.32,16.74,82.0,30,14.977,no_data_yet,no_data_yet,489.69,37153.21
2015-5-11,65.0,1730.98,17.36,128.3,65,26.63,no_data_yet,no_data_yet,734.08,37929.94
2015-5-12,53.0,409.41,17.08,106.4,53,7.725,no_data_yet,no_data_yet,205.11,37738.52
2015-5-13,107.0,2040.17,16.7,79.3,107,19.067,no_data_yet,no_data_yet,828.97,38622.28
2015-5-14,80.0,1382.5,17.8,168.8,80,17.281,no_data_yet,no_data_yet,798.34,39472.51
2015-5-15,57.0,1464.9,17.54,143.7,57,25.7,no_data_yet,no_data_yet,924.51,40442.85
2015-5-16,34.0,759.35,16.89,99.7,34,22.334,no_data_yet,no_data_yet,337.22,40122.06
