时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
诚汇通
2015-3-26,12.0,247.12,20.25,112.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,87.84,20400.51
2015-3-27,14.0,431.0,19.53,92.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,237.8,20653.41
2015-3-28,12.0,363.36,20.03,107.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,103.23,20774.5
2015-3-29,11.0,238.61,20.58,128.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,187.82,20603.83
2015-3-30,12.0,379.21,20.35,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,13.28,20640.5
2015-3-31,19.0,338.01,20.76,131.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,94.99,20757.45
2015-4-1,15.0,250.64,20.76,136.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,101.99,20875.23
2015-4-2,11.0,177.0,20.38,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,6.21,20892.53
2015-4-3,9.0,173.2,20.16,106.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,334.13,20567.86
2015-4-4,7.0,140.0,20.6,132.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,49.76,20526.91
2015-4-5,7.0,136.8,20.31,107.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,58.34,20476.17
2015-4-6,7.0,197.43,20.09,111.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet,63.12,20423.52
2015-4-7,13.0,268.11,20.06,113.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,84.3,20520.76
2015-4-8,13.0,435.0,19.31,85.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet,193.44,20728.45
2015-4-9,16.0,453.69,20.25,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,240.92,20990.5
2015-4-10,16.0,289.93,20.48,129.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet,12.0,20998.07
2015-4-11,9.0,228.0,20.16,106.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,17.58,21027.96
2015-4-12,9.0,200.0,20.56,123.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,32.05,21009.07
2015-4-13,11.0,341.02,20.47,128.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,185.94,21212.78
2015-4-14,10.0,231.8,20.28,114.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,62.87,21288.93
2015-4-15,7.0,166.94,20.09,111.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet,41.97,21255.53
2015-4-16,10.0,215.41,20.48,132.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,48.45,21317.67
2015-4-17,10.0,210.0,20.48,132.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,26.63,21357.4
2015-4-18,8.0,200.0,20.13,108.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,11.73,21380.0
2015-4-19,9.0,190.11,19.98,110.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,36.5,21427.4
2015-4-20,13.0,250.28,19.91,99.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,71.24,21512.69
2015-4-21,11.0,243.7,20.47,128.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,61.49,21590.39
2015-4-22,9.0,240.21,20.27,116.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,88.1,21694.76
2015-4-23,7.0,175.0,20.6,132.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,22.41,21729.37
2015-4-24,8.0,175.87,20.13,108.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,44.94,21784.74
