时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
财源网
2015-3-26,16.0,3356.0,12.91,45.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3335.84,13856.84
2015-3-27,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3335.84,13856.84
2015-3-28,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,885.15,12971.69
2015-3-29,5.0,977.0,12.2,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,977.0,13958.14
2015-3-30,1.0,972.0,16.0,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2.56,13957.28
2015-3-31,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2.56,13957.28
2015-4-1,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2.56,13957.28
2015-4-2,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2.56,13957.28
2015-4-3,1.0,972.0,16.0,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1.7,13958.14
2015-4-4,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1.7,13958.14
2015-4-5,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1.7,13958.14
2015-4-6,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1.7,13958.14
2015-4-7,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1.7,13958.14
2015-4-8,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1.7,13958.14
2015-4-9,1.0,972.0,16.0,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2.56,13958.14
2015-4-10,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2.56,13958.14
2015-4-11,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2.56,13958.14
2015-4-12,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2.56,13958.14
2015-4-13,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2.56,13958.14
2015-4-14,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2.56,13958.14
2015-4-15,2.0,1944.0,16.0,5.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,969.44,14932.27
2015-4-16,1.0,972.0,16.0,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,972.0,15906.82
2015-4-17,1.0,252.72,16.0,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1275.28,14632.21
2015-4-18,4.0,5000.0,12.5,105.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,4695.56,19549.77
2015-4-19,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,4695.56,19549.77
2015-4-20,1.0,583.2,16.0,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,390.93,19160.63
2015-4-21,1.0,972.0,16.0,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2.56,19160.63
2015-4-22,1.0,972.0,16.0,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2.56,19160.63
2015-4-23,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,253.38,18907.25
2015-4-24,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,253.38,18907.25
2015-4-25,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,979.47,17927.78
