时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
贷乐网
2015-3-26,9.0,67.0,18.0,106.7,9,7.444,no_data_yet,no_data_yet,37.5,2625.64
2015-3-27,5.0,27.0,18.0,96.0,5,5.4,no_data_yet,no_data_yet,22.5,2603.85
2015-3-28,7.0,195.0,18.0,81.4,7,27.857,no_data_yet,no_data_yet,128.51,2736.43
2015-3-29,2.0,6.0,18.0,135.0,2,3.0,no_data_yet,no_data_yet,34.36,2702.32
2015-3-30,2.0,5.0,18.0,105.0,2,2.5,no_data_yet,no_data_yet,242.14,2460.37
2015-3-31,6.0,48.0,18.0,180.0,5,9.6,no_data_yet,no_data_yet,2.4,2464.96
2015-4-1,6.0,106.0,18.0,95.0,6,17.667,no_data_yet,no_data_yet,26.03,2494.4
2015-4-2,5.0,72.0,18.0,138.0,5,14.4,no_data_yet,no_data_yet,4.99,2491.87
2015-4-3,2.0,63.0,18.0,60.0,2,31.5,no_data_yet,no_data_yet,33.52,2526.38
2015-4-4,2.0,73.0,18.0,60.0,2,36.5,no_data_yet,no_data_yet,33.5,2495.04
2015-4-5,3.0,50.0,18.0,40.0,3,16.667,no_data_yet,no_data_yet,16.36,2479.45
2015-4-6,3.0,38.0,18.0,50.0,3,12.667,no_data_yet,no_data_yet,19.6,2500.07
2015-4-7,4.0,18.0,18.0,45.0,4,4.5,no_data_yet,no_data_yet,14.11,2486.29
2015-4-8,3.0,21.0,18.0,160.0,3,7.0,no_data_yet,no_data_yet,25.7,2461.33
2015-4-9,5.0,178.0,18.0,96.0,5,35.6,no_data_yet,no_data_yet,132.3,2599.85
2015-4-10,4.0,18.0,18.0,210.0,4,4.5,no_data_yet,no_data_yet,30.42,2570.46
2015-4-11,6.0,28.0,18.0,75.0,6,4.667,no_data_yet,no_data_yet,24.96,2546.17
2015-4-12,4.0,47.0,18.0,120.0,4,11.75,no_data_yet,no_data_yet,4.09,2551.31
2015-4-13,5.0,31.0,18.0,138.0,5,6.2,no_data_yet,no_data_yet,2.74,2555.14
2015-4-14,5.0,20.0,18.0,138.0,4,5.0,no_data_yet,no_data_yet,15.45,2540.6
2015-4-15,9.0,107.0,18.0,106.7,7,15.286,no_data_yet,no_data_yet,69.76,2613.6
2015-4-16,6.0,60.0,18.0,110.0,5,12.0,no_data_yet,no_data_yet,16.32,2599.15
2015-4-17,6.0,62.0,18.0,140.0,5,12.4,no_data_yet,no_data_yet,38.76,2640.18
2015-4-18,2.0,10.0,18.0,60.0,2,5.0,no_data_yet,no_data_yet,82.96,2557.45
2015-4-19,5.0,75.0,18.0,102.0,5,15.0,no_data_yet,no_data_yet,20.49,2579.38
2015-4-20,5.0,59.0,18.0,138.0,5,11.8,no_data_yet,no_data_yet,19.58,2600.48
2015-4-21,5.0,36.0,18.0,96.0,4,9.0,no_data_yet,no_data_yet,15.38,2616.86
2015-4-22,5.0,30.0,18.0,150.0,4,7.5,no_data_yet,no_data_yet,13.09,2631.29
2015-4-23,5.0,16.0,18.0,228.0,4,4.0,no_data_yet,no_data_yet,10.01,2622.29
2015-4-24,6.0,23.0,18.0,275.0,6,3.833,no_data_yet,no_data_yet,19.1,2605.09
2015-4-25,2.0,7.0,18.0,105.0,2,3.5,no_data_yet,no_data_yet,31.89,2573.46
2015-4-26,3.0,12.0,18.0,70.0,3,4.0,no_data_yet,no_data_yet,13.44,2560.34
2015-4-27,3.0,11.0,18.0,160.0,3,3.667,no_data_yet,no_data_yet,149.19,2411.78
2015-4-28,6.0,123.0,18.0,305.0,6,20.5,no_data_yet,no_data_yet,116.64,2532.22
2015-4-29,1.0,4.0,18.0,30.0,1,4.0,no_data_yet,no_data_yet,40.76,2491.52
2015-4-30,2.0,7.0,18.0,105.0,2,3.5,no_data_yet,no_data_yet,23.64,2468.13
2015-5-1,1.0,3.0,18.0,90.0,1,3.0,no_data_yet,no_data_yet,62.87,2405.35
2015-5-2,2.0,33.0,18.0,30.0,2,16.5,no_data_yet,no_data_yet,13.1,2392.75
2015-5-3,2.0,68.0,18.0,30.0,2,34.0,no_data_yet,no_data_yet,3.08,2390.69
2015-5-4,1.0,3.0,18.0,30.0,1,3.0,no_data_yet,no_data_yet,31.9,2358.83
2015-5-5,3.0,21.0,18.0,30.0,3,7.0,no_data_yet,no_data_yet,37.04,2322.1
2015-5-6,3.0,10.0,18.0,70.0,3,3.333,no_data_yet,no_data_yet,14.63,2307.73
2015-5-7,2.0,15.0,18.0,60.0,2,7.5,no_data_yet,no_data_yet,10.79,2297.23
2015-5-8,5.0,25.0,18.0,84.0,4,6.25,no_data_yet,no_data_yet,1.98,2296.14
2015-5-9,2.0,35.0,18.0,60.0,2,17.5,no_data_yet,no_data_yet,40.66,2256.45
2015-5-10,2.0,9.0,18.0,60.0,2,4.5,no_data_yet,no_data_yet,13.25,2243.41
2015-5-11,1.0,3.0,18.0,90.0,1,3.0,no_data_yet,no_data_yet,34.44,2209.06
2015-5-12,3.0,24.0,18.0,50.0,3,8.0,no_data_yet,no_data_yet,31.6,2177.89
2015-5-13,4.0,20.0,18.0,60.0,4,5.0,no_data_yet,no_data_yet,20.2,2158.14
2015-5-14,5.0,20.0,18.0,66.0,5,4.0,no_data_yet,no_data_yet,5.36,2153.25
2015-5-15,1.0,5.0,18.0,90.0,1,5.0,no_data_yet,no_data_yet,52.19,2101.22
2015-5-16,4.0,25.0,18.0,75.0,4,6.25,no_data_yet,no_data_yet,29.71,2072.1
2015-5-17,2.0,17.0,18.0,60.0,2,8.5,no_data_yet,no_data_yet,14.89,2057.64
2015-5-18,1.0,5.0,18.0,90.0,1,5.0,no_data_yet,no_data_yet,30.58,2027.22
2015-5-19,5.0,28.0,18.0,258.0,4,7.0,no_data_yet,no_data_yet,50.38,1978.65
2015-5-20,3.0,14.0,18.0,100.0,3,4.667,no_data_yet,no_data_yet,62.73,1916.39
2015-5-21,4.0,28.0,18.0,75.0,4,7.0,no_data_yet,no_data_yet,3.39,1913.7
2015-5-22,4.0,21.0,18.0,60.0,4,5.25,no_data_yet,no_data_yet,0.38,1914.55
2015-5-23,6.0,21.0,18.0,155.0,6,3.5,no_data_yet,no_data_yet,0.38,1915.22
2015-5-24,3.0,16.0,18.0,70.0,3,5.333,no_data_yet,no_data_yet,2.65,1918.31
2015-5-25,3.0,23.0,18.0,50.0,2,11.5,no_data_yet,no_data_yet,4.04,1914.69
2015-5-26,2.0,7.0,18.0,60.0,2,3.5,no_data_yet,no_data_yet,6.22,1908.64
2015-5-27,1.0,3.0,18.0,30.0,1,3.0,no_data_yet,no_data_yet,28.2,1880.48
2015-5-28,8.0,142.0,18.0,45.0,8,17.75,no_data_yet,no_data_yet,34.45,1918.28
2015-5-29,1.0,12.0,18.0,90.0,1,12.0,no_data_yet,no_data_yet,32.72,1885.92
