时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
资本在线
2015-3-26,1.0,100.0,20.4,90.0,1,100.0,no_data_yet,no_data_yet,71.2,17451.34
2015-3-27,1.0,100.0,20.4,90.0,1,100.0,no_data_yet,no_data_yet,69.6,17526.04
2015-3-28,1.0,100.0,20.4,90.0,1,100.0,no_data_yet,no_data_yet,64.8,17595.94
2015-3-29,1.0,100.0,20.4,90.0,1,100.0,no_data_yet,no_data_yet,53.6,17654.64
2015-3-30,1.0,80.0,22.8,120.0,1,80.0,no_data_yet,no_data_yet,27.2,17687.92
2015-3-31,3.0,240.0,22.8,120.0,1,240.0,no_data_yet,no_data_yet,232.0,17938.16
2015-4-1,2.0,180.0,21.6,105.0,2,90.0,no_data_yet,no_data_yet,156.0,18105.34
2015-4-2,1.0,80.0,20.4,90.0,1,80.0,no_data_yet,no_data_yet,64.0,18173.42
2015-4-3,1.0,80.0,20.4,90.0,1,80.0,no_data_yet,no_data_yet,48.0,18225.5
2015-4-4,1.0,80.0,22.8,120.0,1,80.0,no_data_yet,no_data_yet,56.0,18287.58
2015-4-5,1.0,65.0,22.2,120.0,1,65.0,no_data_yet,no_data_yet,49.0,18341.39
2015-4-6,1.0,65.0,22.2,120.0,1,65.0,no_data_yet,no_data_yet,57.0,18403.2
2015-4-7,1.0,65.0,22.2,120.0,1,65.0,no_data_yet,no_data_yet,57.0,18465.01
2015-4-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,24.0,18441.01
2015-4-9,1.0,65.0,22.2,120.0,1,65.0,no_data_yet,no_data_yet,33.0,18478.82
2015-4-10,1.0,180.0,22.2,120.0,1,180.0,no_data_yet,no_data_yet,156.0,18648.14
2015-4-11,1.0,180.0,22.2,120.0,1,180.0,no_data_yet,no_data_yet,168.58,18830.04
2015-4-12,1.0,180.0,22.2,120.0,1,180.0,no_data_yet,no_data_yet,162.29,19005.65
2015-4-13,1.0,180.0,22.2,120.0,1,180.0,no_data_yet,no_data_yet,178.29,19197.26
2015-4-14,1.0,180.0,22.2,120.0,1,180.0,no_data_yet,no_data_yet,177.78,19388.36
2015-4-15,3.0,410.0,21.2,100.0,2,205.0,no_data_yet,no_data_yet,405.41,19822.01
2015-4-16,3.0,240.0,20.8,120.0,3,80.0,no_data_yet,no_data_yet,235.68,20073.22
2015-4-17,3.0,240.0,20.8,120.0,3,80.0,no_data_yet,no_data_yet,238.86,20328.05
2015-4-18,2.0,190.0,21.6,150.0,2,95.0,no_data_yet,no_data_yet,188.64,20530.63
2015-4-19,2.0,80.0,21.9,150.0,2,40.0,no_data_yet,no_data_yet,78.64,20615.2
2015-4-20,1.0,10.0,21.0,180.0,1,10.0,no_data_yet,no_data_yet,10.0,20625.81
2015-4-21,3.0,70.0,21.0,120.0,3,23.333,no_data_yet,no_data_yet,70.0,20698.78
2015-4-22,2.0,70.0,19.8,75.0,2,35.0,no_data_yet,no_data_yet,70.0,20771.4
2015-4-23,2.0,40.0,20.4,90.0,1,40.0,no_data_yet,no_data_yet,13.4,20786.84
2015-4-24,1.0,40.0,22.8,120.0,1,40.0,no_data_yet,no_data_yet,12.26,20802.14
2015-4-25,1.0,20.0,22.8,120.0,1,20.0,no_data_yet,no_data_yet,8.3,20795.36
2015-4-26,2.0,50.0,21.0,90.0,2,25.0,no_data_yet,no_data_yet,20.1,20817.94
2015-4-27,3.0,40.0,20.4,80.0,3,13.333,no_data_yet,no_data_yet,5.3,20824.96
2015-4-28,3.0,60.0,20.6,90.0,3,20.0,no_data_yet,no_data_yet,14.1,20841.86
2015-4-29,1.0,30.0,19.8,90.0,1,30.0,no_data_yet,no_data_yet,22.12,20821.23
