时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
通达财富
2015-3-26,4.0,25.0,18.0,30.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,3.0,24.0,18.0,30.0,2,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,11.0,85.0,18.18,32.7,4,21.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,2.0,12.0,18.0,30.0,1,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,2.0,13.0,18.0,30.0,1,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,2.0,12.0,18.0,30.0,1,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,4.0,35.0,18.5,37.5,3,11.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,5.0,27.0,18.0,30.0,3,9.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,4.0,30.0,18.0,30.0,3,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,4.0,28.0,18.0,30.0,2,14.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,4.0,28.0,18.0,30.0,2,14.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,3.0,20.0,18.0,30.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,4.0,25.0,18.0,30.0,3,8.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,3.0,23.0,18.0,30.0,2,11.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,3.0,25.0,18.0,30.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,3.0,23.0,18.0,30.0,1,23.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,3.0,25.0,18.0,30.0,1,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,4.0,29.0,18.0,30.0,2,14.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,3.0,24.0,18.0,30.0,1,24.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,4.0,25.0,18.0,30.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,3.0,22.0,18.0,30.0,2,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,3.0,23.0,18.0,30.0,2,11.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,7.0,58.0,18.0,30.0,3,19.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,3.0,21.0,18.0,30.0,1,21.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,3.0,20.0,18.0,30.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,4.0,20.0,18.0,30.0,3,6.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,3.0,21.0,18.0,30.0,1,21.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,4.0,26.0,18.5,37.5,2,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,4.0,24.0,18.0,30.0,1,24.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,3.0,20.0,18.0,30.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,3.0,19.0,18.0,30.0,1,19.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,4.0,25.0,18.0,30.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,4.0,26.0,18.0,30.0,2,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,8.0,68.0,18.0,30.0,2,34.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,5.0,32.0,18.0,30.0,1,32.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,7.0,54.0,19.14,47.1,4,13.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,4.0,26.0,18.0,30.0,2,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,5.0,32.0,18.0,30.0,3,10.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,4.0,28.0,18.0,30.0,2,14.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,3.0,26.0,18.0,30.0,2,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,3.0,20.0,18.0,30.0,3,6.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,3.0,23.0,18.0,30.0,2,11.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,3.0,24.0,18.67,40.0,3,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-9,4.0,25.0,19.0,45.0,3,8.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-10,4.0,26.0,18.0,30.0,2,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-11,4.0,27.0,18.5,37.5,2,13.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,4.0,29.0,18.0,30.0,2,14.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,4.0,26.0,18.5,37.5,3,8.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,4.0,25.0,18.0,30.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,3.0,23.0,19.33,50.0,3,7.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-16,3.0,24.0,19.33,50.0,2,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-17,9.0,58.0,18.0,30.0,4,14.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-18,3.0,21.0,19.33,50.0,2,10.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-19,3.0,21.0,18.0,30.0,3,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-20,3.0,20.0,19.33,50.0,3,6.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-21,3.0,21.0,20.0,60.0,3,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-22,3.0,19.0,18.0,30.0,1,19.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-23,5.0,25.0,18.0,30.0,1,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-24,3.0,18.0,19.33,50.0,3,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-25,3.0,20.0,18.67,40.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-26,3.0,22.0,18.0,30.0,2,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-27,3.0,24.0,18.0,30.0,2,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-28,9.0,72.0,18.89,43.3,3,24.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-29,4.0,27.0,18.0,30.0,1,27.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-30,4.0,30.0,18.0,30.0,2,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-1,1.0,4.0,18.0,30.0,1,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
