时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
金信网
2015-3-26,181.0,3162.31,9.53,211.5,181,17.471,no_data_yet,no_data_yet,2580.16,251585.78
2015-3-27,224.0,3668.67,9.82,225.1,224,16.378,no_data_yet,no_data_yet,3585.77,255570.33
2015-3-28,88.0,1294.13,9.84,243.4,88,14.706,no_data_yet,no_data_yet,731.46,256427.76
2015-3-29,87.0,896.53,10.01,257.9,87,10.305,no_data_yet,no_data_yet,126.18,256636.22
2015-3-30,198.0,2767.88,10.11,242.1,198,13.979,no_data_yet,no_data_yet,2012.47,258868.3
2015-3-31,245.0,4005.6,10.08,244.4,245,16.349,no_data_yet,no_data_yet,2833.76,262085.09
2015-4-1,239.0,4345.14,9.24,189.7,239,18.181,no_data_yet,no_data_yet,3965.65,266459.84
2015-4-2,144.0,2562.76,9.87,239.8,144,17.797,no_data_yet,no_data_yet,2350.68,269029.12
2015-4-3,199.0,1977.32,9.27,178.0,199,9.936,no_data_yet,no_data_yet,1729.55,270938.31
2015-4-4,57.0,811.94,10.6,271.1,57,14.245,no_data_yet,no_data_yet,138.98,271151.55
2015-4-5,69.0,728.07,10.21,263.9,69,10.552,no_data_yet,no_data_yet,254.51,270951.06
2015-4-6,61.0,585.98,8.77,161.8,61,9.606,no_data_yet,no_data_yet,152.87,271124.06
2015-4-7,194.0,1959.16,9.08,185.3,194,10.099,no_data_yet,no_data_yet,1210.8,272472.55
2015-4-8,252.0,1677.02,9.38,191.7,252,6.655,no_data_yet,no_data_yet,1105.31,273689.8
2015-4-9,210.0,1115.08,9.4,207.9,210,5.31,no_data_yet,no_data_yet,146.44,273602.21
2015-4-10,447.0,10198.61,10.74,276.8,447,22.816,no_data_yet,no_data_yet,9712.77,284477.36
2015-4-11,110.0,1714.61,10.93,306.0,110,15.587,no_data_yet,no_data_yet,1324.62,285998.62
2015-4-12,139.0,1685.23,9.86,246.5,139,12.124,no_data_yet,no_data_yet,675.71,286847.53
2015-4-13,245.0,3877.88,10.1,247.5,245,15.828,no_data_yet,no_data_yet,3254.54,290448.53
2015-4-14,273.0,4502.48,9.9,233.8,273,16.493,no_data_yet,no_data_yet,3076.65,293971.53
2015-4-15,271.0,5129.77,10.02,234.1,271,18.929,no_data_yet,no_data_yet,4255.64,298740.28
2015-4-16,224.0,4300.08,9.99,234.9,224,19.197,no_data_yet,no_data_yet,2689.52,301843.7
2015-4-17,221.0,4226.13,10.18,239.2,221,19.123,no_data_yet,no_data_yet,3815.66,306044.9
2015-4-18,98.0,1877.78,10.53,278.3,98,19.161,no_data_yet,no_data_yet,1264.33,307486.16
2015-4-19,95.0,1382.21,9.63,221.4,95,14.55,no_data_yet,no_data_yet,188.31,307825.86
2015-4-20,193.0,2707.45,10.06,248.9,193,14.028,no_data_yet,no_data_yet,2127.12,310208.92
2015-4-21,225.0,4220.32,9.94,239.7,225,18.757,no_data_yet,no_data_yet,3403.59,314035.77
