时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
金宝保
2015-3-26,3.0,850.0,8.7,270.0,3,283.333,no_data_yet,no_data_yet,646.0,91941.68
2015-3-27,1.0,400.0,8.7,270.0,1,400.0,no_data_yet,no_data_yet,400.0,92367.78
2015-3-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,400.0,92367.78
2015-3-29,1.0,400.0,8.7,270.0,1,400.0,no_data_yet,no_data_yet,400.0,92793.88
2015-3-30,3.0,1500.0,8.7,270.0,2,750.0,no_data_yet,no_data_yet,1500.0,94417.33
2015-3-31,2.0,1000.0,8.95,315.0,1,1000.0,no_data_yet,no_data_yet,1000.0,95501.31
2015-4-1,2.0,1140.0,8.7,270.0,2,570.0,no_data_yet,no_data_yet,1140.0,96720.69
2015-4-2,2.0,1000.0,8.45,225.0,1,1000.0,no_data_yet,no_data_yet,1000.0,97776.31
2015-4-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1000.0,97776.31
2015-4-4,1.0,700.0,8.2,180.0,1,700.0,no_data_yet,no_data_yet,700.0,98505.01
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,700.0,98505.01
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,700.0,98505.01
2015-4-7,2.0,900.0,8.7,270.0,1,900.0,no_data_yet,no_data_yet,900.0,99467.41
2015-4-8,3.0,1100.0,8.53,250.0,2,550.0,no_data_yet,no_data_yet,818.25,100361.06
2015-4-9,3.0,1280.0,7.53,80.0,2,640.0,no_data_yet,no_data_yet,1280.0,101658.54
2015-4-10,4.0,1680.0,8.53,322.5,2,840.0,no_data_yet,no_data_yet,1680.0,103489.92
2015-4-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1680.0,103489.92
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1680.0,103489.92
2015-4-13,1.0,500.0,9.5,720.0,1,500.0,no_data_yet,no_data_yet,500.0,104084.92
2015-4-14,1.0,500.0,9.2,360.0,1,500.0,no_data_yet,no_data_yet,500.0,104630.92
2015-4-15,3.0,1400.0,7.7,100.0,1,1400.0,no_data_yet,no_data_yet,882.08,105542.03
