时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
金海贷
2015-3-26,1.0,100.0,16.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,88.05,50222.16
2015-3-27,1.0,100.0,14.0,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,69.41,50157.42
2015-3-28,2.0,200.0,16.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,540.9,49632.52
2015-3-29,1.0,100.0,14.0,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,587.14,49050.04
2015-3-30,3.0,250.0,16.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,214.53,49284.57
2015-3-31,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,125.5,49159.07
2015-4-1,3.0,250.0,15.33,160.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,148.5,49325.91
2015-4-2,2.0,100.0,16.0,240.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,19.59,49356.84
2015-4-3,3.0,250.0,17.33,300.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,213.9,49610.74
2015-4-4,3.0,200.0,15.33,200.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,37.49,49670.89
2015-4-5,1.0,50.0,14.0,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,439.12,49234.11
2015-4-6,1.0,100.0,18.0,360.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,71.58,49180.53
2015-4-7,3.0,200.0,15.33,200.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,5.2,49208.39
2015-4-8,2.0,150.0,16.0,240.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,82.06,49310.79
2015-4-9,3.0,250.0,16.67,280.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,71.8,49277.32
2015-4-10,3.0,200.0,16.67,280.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,90.0,49396.66
2015-4-11,2.0,150.0,14.5,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,139.63,49545.36
2015-4-12,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,264.83,49280.53
2015-4-13,3.0,200.0,14.33,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,188.88,49480.82
2015-4-14,3.0,180.0,13.67,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,143.45,49346.75
2015-4-15,2.0,150.0,15.0,150.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,132.8,49224.28
2015-4-16,5.0,310.0,15.0,186.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,96.77,49360.57
2015-4-17,3.0,250.0,15.67,200.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,243.46,49631.11
2015-4-18,3.0,250.0,15.67,200.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,234.98,49893.17
2015-4-19,3.0,160.0,15.33,190.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,45.74,49961.01
2015-4-20,2.0,200.0,18.0,360.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,164.58,49832.43
2015-4-21,3.0,300.0,17.33,300.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,86.25,49962.68
2015-4-22,4.0,310.0,15.5,183.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,82.21,50078.94
2015-4-23,2.0,200.0,17.0,270.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,31.27,50136.2
2015-4-24,2.0,110.0,15.0,187.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,19.73,50134.53
2015-4-25,2.0,200.0,17.0,270.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,6.71,50167.24
2015-4-26,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,118.58,50048.66
2015-4-27,3.0,250.0,17.33,300.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,133.32,49955.35
2015-4-28,2.0,200.0,17.0,270.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,128.87,49852.48
2015-4-29,2.0,110.0,15.0,187.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,71.2,49941.72
2015-4-30,4.0,310.0,16.0,232.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,114.0,49871.82
2015-5-1,3.0,210.0,15.33,190.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,144.06,49753.86
2015-5-2,2.0,200.0,17.0,270.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,69.01,49848.87
2015-5-3,1.0,100.0,18.0,360.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,39.77,49827.11
2015-5-4,5.0,320.0,14.8,156.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,263.27,49598.04
2015-5-5,2.0,110.0,15.0,195.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,383.53,49232.6
2015-5-6,4.0,310.0,14.75,165.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,188.84,49450.79
2015-5-7,4.0,220.0,14.5,150.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,195.12,49672.11
2015-5-8,3.0,72.5,13.33,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,96.83,49579.67
2015-5-9,3.0,160.0,14.33,160.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,29.07,49628.46
2015-5-10,2.0,60.0,14.0,105.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,48.54,49681.1
2015-5-11,1.0,100.0,18.0,360.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,87.75,49786.85
2015-5-12,2.0,110.0,14.0,105.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,98.83,49893.78
2015-5-13,3.0,160.0,14.33,160.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,146.42,50059.92
2015-5-14,3.0,210.0,15.33,190.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,158.83,50244.85
2015-5-15,3.0,160.0,14.33,160.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,38.86,50303.43
2015-5-16,2.0,60.0,14.0,105.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,35.3,50342.83
2015-5-17,1.0,100.0,18.0,360.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,109.92,50250.91
2015-5-18,8.0,800.0,15.38,198.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,781.6,51107.74
2015-5-19,2.0,150.0,14.0,105.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,124.73,51237.45
2015-5-20,4.0,130.0,13.5,112.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,66.86,51322.6
2015-5-21,1.0,100.0,18.0,360.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,84.67,51425.27
2015-5-22,2.0,110.0,12.5,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,50.54,51479.16
2015-5-23,2.0,110.0,14.0,105.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,90.43,51577.69
2015-5-24,2.0,150.0,15.5,225.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,20.03,51617.34
2015-5-25,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,113.46,51503.88
2015-5-26,2.0,150.0,17.0,270.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,32.68,51558.56
2015-5-27,1.0,50.0,13.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,82.23,51477.95
2015-5-28,5.0,400.0,16.2,234.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,272.8,51800.37
2015-5-29,2.0,150.0,15.5,225.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,59.7,51879.69
2015-5-30,2.0,200.0,17.0,270.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,6.57,51912.26
2015-5-31,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,843.24,51069.02
2015-6-1,1.0,50.0,13.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,17.43,51088.07
2015-6-2,2.0,150.0,17.0,270.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,520.02,50590.05
2015-6-3,2.0,150.0,15.5,225.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,30.42,50579.26
2015-6-4,1.0,50.0,16.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.77,50594.03
2015-6-5,1.0,100.0,18.0,360.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,163.67,50448.35
2015-6-6,2.0,150.0,15.5,225.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,12.14,50480.11
2015-6-7,1.0,50.0,16.0,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,138.23,50345.88
