时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
金牛在线
2015-3-26,3.0,500.0,13.8,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,224.03,11995.85
2015-3-27,3.0,420.0,13.2,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,342.02,11654.97
2015-3-28,1.0,200.0,13.8,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,362.07,11293.43
2015-3-29,2.0,300.0,13.8,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,279.93,11574.17
2015-3-30,4.0,340.0,12.9,8.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,322.01,11253.1
2015-3-31,2.0,320.0,12.9,8.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,178.69,11432.66
2015-4-1,2.0,225.0,14.9,93.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,15.66,11419.54
2015-4-2,2.0,150.0,13.8,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,111.28,11308.65
2015-4-3,4.0,650.0,13.8,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,449.47,11759.87
2015-4-4,2.0,200.0,13.8,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,112.0,11648.41
2015-4-5,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,501.32,11147.08
2015-4-6,4.0,500.0,13.8,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,479.93,11628.36
2015-4-7,1.0,300.0,13.8,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,79.07,11708.23
2015-4-8,5.0,445.0,13.88,42.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,43.94,11755.32
2015-4-9,2.0,300.0,13.8,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,39.05,11795.17
2015-4-10,3.0,420.0,13.2,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,159.27,11955.58
2015-4-11,2.0,200.0,13.8,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,20.93,11935.19
2015-4-12,2.0,300.0,13.8,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,241.45,11694.54
2015-4-13,2.0,200.0,13.8,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.53,11694.55
2015-4-14,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,40.46,11654.08
2015-4-15,1.0,20.0,12.0,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,432.11,11222.04
2015-4-16,6.0,600.0,13.8,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,198.94,11422.59
2015-4-17,4.0,450.0,13.85,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,109.07,11532.8
2015-4-18,3.0,140.0,12.6,9.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,110.66,11422.54
2015-4-19,2.0,200.0,13.8,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,342.04,11081.04
2015-4-20,2.0,200.0,13.8,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,159.54,11241.11
2015-4-21,6.0,325.0,14.23,11.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,4.14,11246.47
2015-4-22,3.0,128.6,13.87,5.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,493.05,10753.72
2015-4-23,7.0,345.0,13.91,9.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,24.14,10778.91
2015-4-24,3.0,130.0,13.8,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,109.6,10888.86
2015-4-25,3.0,250.0,13.87,5.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,251.32,10638.13
2015-4-26,2.0,125.0,14.9,18.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,296.12,10342.61
2015-4-27,4.0,320.0,13.35,7.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,118.89,10462.37
2015-4-28,3.0,238.75,13.87,9.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,62.04,10401.09
2015-4-29,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,340.93,10060.16
2015-4-30,3.0,250.0,13.87,5.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,71.78,9988.98
2015-5-1,4.0,320.0,13.35,7.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,119.14,10108.99
2015-5-2,1.0,100.0,13.8,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,50.73,10058.53
2015-5-3,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,651.72,9406.81
2015-5-4,3.0,300.0,13.8,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,98.55,9506.17
2015-5-5,1.0,100.0,13.8,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,100.0,9606.44
2015-5-6,2.0,150.0,13.9,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,351.32,9255.44
2015-5-7,1.0,20.0,12.0,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,281.13,8974.38
2015-5-8,8.0,625.0,14.08,9.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,203.54,9179.87
2015-5-9,3.0,200.0,13.8,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,100.79,9079.61
