时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
金粮宝
2015-3-26,1.0,100.0,9.0,180.0,1,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,2.0,200.0,9.5,270.0,2,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,1.0,200.0,8.0,30.0,1,200.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,1.0,200.0,8.0,30.0,1,200.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,2.0,300.0,8.25,67.5,2,150.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,1.0,100.0,8.0,15.0,1,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,1.0,200.0,8.0,15.0,1,200.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,2.0,150.0,8.25,67.5,2,75.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,1.0,200.0,10.0,360.0,1,200.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,1.0,100.0,8.5,120.0,1,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,1.0,100.0,8.5,120.0,1,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,1.0,100.0,9.0,180.0,1,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,1.0,100.0,9.5,270.0,1,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,1.0,150.0,8.5,90.0,1,150.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,1.0,200.0,8.0,30.0,1,200.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,1.0,100.0,8.5,120.0,1,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,2.0,200.0,9.75,270.0,2,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,1.0,200.0,8.0,30.0,1,200.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,1.0,200.0,8.0,30.0,1,200.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,1.0,100.0,10.5,360.0,1,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,1.0,100.0,10.5,360.0,1,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,2.0,250.0,8.25,75.0,2,125.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
