时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
金维思
2015-3-26,5.0,53.88,21.0,3.0,2,26.94,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,4.0,36.85,21.0,3.0,2,18.425,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,4.0,25.26,21.0,3.0,1,25.26,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,4.0,39.25,21.0,3.0,2,19.625,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,4.0,37.18,21.0,3.0,1,37.18,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,5.0,35.53,21.0,5.4,2,17.765,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,4.0,39.63,21.0,3.0,2,19.815,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,5.0,45.64,21.0,3.0,1,45.64,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,6.0,33.7,21.0,5.0,2,16.85,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,4.0,26.8,21.0,3.0,2,13.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,8.0,77.29,21.0,2.8,2,38.645,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,5.0,29.16,21.0,3.0,3,9.72,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,7.0,41.79,21.0,3.0,2,20.895,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,6.0,55.42,21.0,3.0,1,55.42,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,5.0,24.35,21.0,3.0,1,24.35,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,7.0,47.51,21.0,4.7,2,23.755,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,5.0,40.41,21.0,7.8,1,40.41,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,7.0,45.8,21.0,6.4,3,15.267,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,6.0,34.72,21.0,5.0,1,34.72,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,5.0,36.47,21.0,3.0,1,36.47,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,7.0,26.21,21.0,3.6,1,26.21,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,4.0,23.99,21.0,3.0,2,11.995,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,7.0,55.06,21.0,3.6,2,27.53,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,6.0,35.79,21.0,5.0,1,35.79,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,4.0,37.3,21.0,3.0,1,37.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,6.0,38.38,21.0,3.0,1,38.38,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,6.0,32.47,21.0,3.0,1,32.47,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,4.0,39.24,21.0,3.0,1,39.24,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,8.0,43.82,21.0,3.0,1,43.82,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,8.0,36.59,21.0,3.0,1,36.59,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,6.0,49.22,21.0,3.0,1,49.22,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,9.0,61.21,21.0,3.0,1,61.21,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,9.0,45.83,21.0,3.4,1,45.83,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,6.0,48.78,21.0,3.0,1,48.78,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,6.0,61.81,21.0,3.0,1,61.81,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,6.0,48.02,21.0,3.0,1,48.02,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,6.0,49.24,21.0,5.0,2,24.62,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,8.0,66.65,18.51,3.0,1,66.65,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,7.0,54.99,21.0,4.7,1,54.99,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,6.0,39.33,21.0,3.0,1,39.33,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,7.0,67.53,21.0,3.0,1,67.53,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,8.0,63.09,21.0,3.0,1,63.09,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,6.0,51.41,21.0,3.0,2,25.705,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,8.0,70.62,21.0,3.5,2,35.31,no_data_yet,no_data_yet,no_data_yet,no_data_yet
