时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
鑫合汇
2015-3-26,20.0,3383.77,9.15,49.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1439.74,84325.09
2015-3-27,24.0,3617.8,9.63,115.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1848.5,82549.24
2015-3-28,14.0,1801.46,9.14,81.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,461.48,83054.25
2015-3-29,11.0,1800.0,9.75,69.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1290.42,84369.48
2015-3-30,45.0,9411.94,15.84,26.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,6432.06,90835.98
2015-3-31,23.0,3707.13,13.98,22.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1511.07,92358.58
2015-4-1,47.0,7425.26,9.68,51.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2510.24,89887.04
2015-4-2,32.0,5698.03,9.89,45.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,695.67,90619.89
2015-4-3,43.0,7665.75,9.85,55.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,716.23,91385.11
2015-4-4,6.0,801.0,9.65,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,798.92,92226.47
2015-4-5,3.0,4.27,9.84,148.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,355.88,91870.59
2015-4-6,12.0,1435.02,8.96,70.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,815.82,92700.34
2015-4-7,31.0,4724.77,9.83,64.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1193.6,93969.24
2015-4-8,46.0,8444.57,10.01,31.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3449.11,97462.32
2015-4-9,33.0,4926.03,9.78,64.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1165.13,98698.05
2015-4-10,21.0,3573.15,9.78,74.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1098.84,97642.01
2015-4-11,21.0,1697.02,9.81,65.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1174.77,98825.98
2015-4-12,12.0,1905.01,10.15,42.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1379.7,100218.41
2015-4-13,24.0,5086.01,9.98,76.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3040.9,103308.59
2015-4-14,26.0,4764.62,10.18,63.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,419.35,102923.36
2015-4-15,36.0,5832.19,9.98,78.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,924.19,103903.93
2015-4-16,25.0,3731.71,9.77,41.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1330.98,105248.88
2015-4-17,29.0,3749.63,9.82,86.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,6088.51,99194.8
2015-4-18,12.0,1334.09,10.19,88.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1129.94,100339.41
2015-4-19,16.0,2682.91,9.99,59.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1746.58,102121.23
2015-4-20,31.0,5176.42,9.95,77.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1839.17,104014.82
2015-4-21,25.0,2865.81,9.84,65.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1995.41,106019.27
2015-4-22,32.0,4266.79,9.99,74.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1671.38,107741.35
2015-4-23,40.0,6545.46,9.82,31.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,6312.77,101460.12
2015-4-24,25.0,3126.93,10.24,62.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2419.7,99062.87
2015-4-25,12.0,1187.15,10.25,78.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,920.81,99999.91
2015-4-26,13.0,1752.77,10.33,49.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1337.05,101344.76
2015-4-27,31.0,3771.23,11.22,73.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,509.48,101896.06
2015-4-28,31.0,4755.41,10.25,36.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1006.06,100902.06
2015-4-29,43.0,4836.41,10.17,59.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1623.66,99330.78
2015-4-30,32.0,5124.7,10.04,69.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2160.09,97222.15
2015-5-1,6.0,520.94,9.79,106.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,496.49,97731.16
2015-5-2,5.0,367.33,10.15,81.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,327.2,98063.16
2015-5-3,13.0,1810.52,10.14,53.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1441.99,99519.08
2015-5-4,31.0,4544.81,9.99,48.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,859.09,100416.87
2015-5-5,44.0,5722.63,10.1,37.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,813.48,99631.46
2015-5-6,35.0,6055.81,10.17,35.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,30.27,99634.85
2015-5-7,29.0,5479.17,9.91,42.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,820.35,100493.97
2015-5-8,42.0,8554.78,10.0,13.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet,818.4,99694.68
2015-5-9,13.0,2700.1,10.12,7.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1077.14,100772.83
2015-5-10,18.0,2933.31,10.36,27.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1632.07,102418.45
2015-5-11,34.0,6335.1,10.1,50.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3016.98,105497.28
2015-5-12,54.0,11645.91,9.95,34.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,6747.66,112291.61
2015-5-13,49.0,10615.72,10.24,25.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1967.67,114290.8
2015-5-14,51.0,10549.64,10.33,36.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet,384.01,114726.51
2015-5-15,47.0,8019.4,10.15,43.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9070.8,105707.09
2015-5-16,20.0,3836.37,10.03,45.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1883.77,107610.88
2015-5-17,20.0,3262.0,10.26,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2431.97,110054.3
2015-5-18,43.0,9076.9,10.25,31.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2945.34,107144.09
2015-5-19,66.0,14699.09,10.03,18.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,4546.13,111743.11
2015-5-20,63.0,13394.4,10.0,18.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2305.99,114085.96
2015-5-21,53.0,10860.53,9.93,39.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3294.69,117432.09
2015-5-22,39.0,7790.6,10.05,32.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10476.26,106996.3
2015-5-23,24.0,6400.33,10.07,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2693.23,109709.87
2015-5-24,17.0,3220.0,10.25,34.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2903.54,112635.82
2015-5-25,42.0,9044.86,10.07,28.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2604.42,115282.15
2015-5-26,66.0,17078.86,10.13,11.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10595.97,125905.55
2015-5-27,75.0,18246.72,10.26,15.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1285.65,124645.29
2015-5-28,74.0,16883.27,10.19,15.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2210.77,126893.6
2015-5-29,54.0,11670.41,9.97,37.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet,13591.88,113358.21
2015-5-30,22.0,4080.8,10.14,40.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,287.09,113645.55
2015-5-31,24.0,4051.23,9.52,28.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2946.4,116606.57
2015-6-1,47.0,10482.07,9.89,28.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,826.74,115814.9
2015-6-2,51.0,11708.14,10.08,11.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,8649.53,124481.0
2015-6-3,42.0,10448.19,10.13,10.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,522.88,125021.54
2015-6-4,74.0,16053.24,10.18,24.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2637.02,122405.55
