时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
鑫汇投资
2015-6-9,2.0,12.0,8.8,30.0,2,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-10,3.0,18.0,11.87,30.0,3,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-11,4.0,22.8,12.9,24.3,4,5.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-12,3.0,23.0,11.87,30.0,3,7.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-13,2.0,8.8,12.4,22.5,2,4.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-15,2.0,11.0,12.4,22.5,2,5.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-16,2.0,14.0,14.9,30.0,2,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-17,3.0,17.0,12.87,30.0,3,5.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-18,3.0,17.0,12.87,30.0,3,5.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-19,2.0,16.0,12.4,20.0,2,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-20,2.0,11.0,14.9,30.0,2,5.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-22,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-23,1.0,6.0,16.0,15.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-24,1.0,8.0,21.0,30.0,1,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-25,1.0,8.0,21.0,30.0,1,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-26,1.0,3.8,18.0,30.0,1,3.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-27,1.0,6.0,18.0,30.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-29,1.0,4.0,18.0,30.0,1,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-30,1.0,6.0,18.0,30.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-1,3.0,20.0,11.2,25.0,3,6.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-2,4.0,29.6,12.9,26.3,4,7.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-3,4.0,29.6,12.9,25.0,4,7.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-4,4.0,29.6,12.9,25.0,4,7.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-6,4.0,27.6,12.9,24.3,4,6.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
