时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
钱保姆
2015-3-26,7.0,126.4,11.14,62.1,2,63.2,no_data_yet,no_data_yet,90.37,12418.94
2015-3-27,10.0,182.2,11.5,99.0,2,91.1,no_data_yet,no_data_yet,88.51,12512.7
2015-3-28,2.0,20.5,12.5,97.5,1,20.5,no_data_yet,no_data_yet,67.06,12446.5
2015-3-29,5.0,120.0,10.4,153.0,2,60.0,no_data_yet,no_data_yet,10.93,12439.44
2015-3-30,3.0,70.7,11.67,75.0,2,35.35,no_data_yet,no_data_yet,45.52,12395.19
2015-3-31,7.0,95.6,11.57,135.0,2,47.8,no_data_yet,no_data_yet,102.57,12296.96
2015-4-1,8.0,176.0,11.0,58.1,2,88.0,no_data_yet,no_data_yet,25.69,12273.62
2015-4-2,10.0,196.3,11.4,84.0,2,98.15,no_data_yet,no_data_yet,58.53,12336.32
2015-4-3,3.0,61.5,12.67,20.0,2,30.75,no_data_yet,no_data_yet,89.75,12247.06
2015-4-4,5.0,100.0,10.3,135.0,2,50.0,no_data_yet,no_data_yet,19.48,12269.78
2015-4-5,4.0,61.0,10.88,75.0,2,30.5,no_data_yet,no_data_yet,136.04,12134.96
2015-4-6,5.0,110.0,9.8,51.0,2,55.0,no_data_yet,no_data_yet,28.76,12164.84
2015-4-7,8.0,170.1,10.5,103.1,2,85.05,no_data_yet,no_data_yet,1.21,12167.81
2015-4-8,5.0,104.1,10.5,36.0,2,52.05,no_data_yet,no_data_yet,135.71,12032.98
2015-4-9,9.0,165.0,10.61,120.0,2,82.5,no_data_yet,no_data_yet,22.83,12060.8
2015-4-10,10.0,174.6,10.95,70.5,2,87.3,no_data_yet,no_data_yet,59.7,12004.7
2015-4-11,5.0,111.3,10.8,90.0,2,55.65,no_data_yet,no_data_yet,224.64,11782.5
2015-4-12,10.0,180.0,10.35,106.5,2,90.0,no_data_yet,no_data_yet,88.85,11698.33
2015-4-13,9.0,170.0,11.06,85.0,2,85.0,no_data_yet,no_data_yet,27.83,11729.96
2015-4-14,5.0,70.0,11.4,117.0,2,35.0,no_data_yet,no_data_yet,98.22,11634.35
2015-4-15,10.0,171.6,11.2,51.0,2,85.8,no_data_yet,no_data_yet,82.06,11554.58
2015-4-16,9.0,131.1,11.39,100.0,2,65.55,no_data_yet,no_data_yet,153.21,11405.35
2015-4-17,22.0,431.0,10.86,147.3,2,215.5,no_data_yet,no_data_yet,222.02,11644.06
2015-4-18,3.0,110.0,10.0,30.0,1,110.0,no_data_yet,no_data_yet,13.63,11631.34
2015-4-19,7.0,123.0,11.21,126.4,2,61.5,no_data_yet,no_data_yet,69.58,11566.02
2015-4-20,15.0,268.8,11.2,130.0,2,134.4,no_data_yet,no_data_yet,58.95,11634.31
2015-4-21,2.0,100.0,10.0,30.0,1,100.0,no_data_yet,no_data_yet,39.08,11674.22
2015-4-22,9.0,165.8,12.48,91.7,2,82.9,no_data_yet,no_data_yet,11.59,11667.38
2015-4-23,7.0,200.4,11.69,57.9,1,200.4,no_data_yet,no_data_yet,84.94,11755.34
2015-4-24,5.0,114.6,11.0,51.0,1,114.6,no_data_yet,no_data_yet,12.81,11769.63
2015-4-25,2.0,25.0,10.75,135.0,1,25.0,no_data_yet,no_data_yet,332.32,11438.4
2015-4-26,7.0,239.5,10.93,75.0,2,119.75,no_data_yet,no_data_yet,49.9,11493.13
2015-4-27,5.0,140.0,10.4,84.0,2,70.0,no_data_yet,no_data_yet,79.08,11574.52
2015-4-28,5.0,126.8,11.3,33.0,1,126.8,no_data_yet,no_data_yet,15.15,11560.42
2015-4-29,3.0,95.0,10.33,80.0,2,47.5,no_data_yet,no_data_yet,8.73,11570.64
2015-4-30,2.0,55.9,12.0,22.5,1,55.9,no_data_yet,no_data_yet,21.68,11549.41
2015-5-1,3.0,85.0,10.5,100.0,1,85.0,no_data_yet,no_data_yet,78.31,11472.86
2015-5-2,4.0,87.3,11.25,56.3,1,87.3,no_data_yet,no_data_yet,49.67,11424.44
2015-5-3,4.0,75.0,10.63,120.0,2,37.5,no_data_yet,no_data_yet,47.25,11379.48
2015-5-4,8.0,150.7,10.94,88.1,2,75.35,no_data_yet,no_data_yet,112.4,11495.16
2015-5-5,3.0,80.0,10.5,100.0,1,80.0,no_data_yet,no_data_yet,35.33,11532.12
2015-5-6,6.0,140.8,11.5,45.0,2,70.4,no_data_yet,no_data_yet,49.51,11583.32
2015-5-7,4.0,84.7,11.38,78.8,2,42.35,no_data_yet,no_data_yet,22.48,11562.5
2015-5-8,4.0,62.1,13.0,18.8,1,62.1,no_data_yet,no_data_yet,34.62,11528.37
2015-5-9,6.0,150.2,11.08,82.5,2,75.1,no_data_yet,no_data_yet,6.75,11524.99
2015-5-10,3.0,60.2,12.67,20.0,1,60.2,no_data_yet,no_data_yet,0.84,11524.63
2015-5-11,4.0,110.0,10.38,75.0,2,55.0,no_data_yet,no_data_yet,16.6,11510.02
2015-5-12,5.0,150.0,10.4,84.0,1,150.0,no_data_yet,no_data_yet,58.71,11571.31
2015-5-13,5.0,135.0,11.0,51.0,1,135.0,no_data_yet,no_data_yet,48.57,11524.39
2015-5-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,61.04,11463.35
2015-5-15,6.0,160.0,11.08,87.5,1,160.0,no_data_yet,no_data_yet,1.74,11468.41
2015-5-16,2.0,70.0,10.25,60.0,1,70.0,no_data_yet,no_data_yet,21.29,11448.06
2015-5-17,6.0,195.0,10.42,85.0,2,97.5,no_data_yet,no_data_yet,5.62,11457.44
2015-5-18,9.0,101.9,10.5,60.0,1,101.9,no_data_yet,no_data_yet,39.8,11419.27
2015-5-19,15.0,209.85,10.65,40.0,1,209.85,no_data_yet,no_data_yet,143.62,11565.83
2015-5-20,9.0,137.85,10.39,50.0,2,68.925,no_data_yet,no_data_yet,3.32,11564.61
2015-5-21,5.0,78.05,10.4,39.0,3,26.017,no_data_yet,no_data_yet,33.65,11531.87
2015-5-22,16.0,272.0,11.31,93.8,2,136.0,no_data_yet,no_data_yet,186.61,11725.67
2015-5-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,173.5,11552.16
2015-5-24,7.0,158.3,10.86,66.4,2,79.15,no_data_yet,no_data_yet,72.4,11627.12
2015-5-25,5.0,140.0,10.4,90.0,2,70.0,no_data_yet,no_data_yet,483.76,11145.92
2015-5-26,6.0,118.8,10.58,72.5,3,39.6,no_data_yet,no_data_yet,12.82,11135.28
2015-5-27,2.0,53.2,12.0,22.5,2,26.6,no_data_yet,no_data_yet,47.63,11088.08
2015-5-28,3.0,58.8,12.67,20.0,2,29.4,no_data_yet,no_data_yet,27.43,11061.11
2015-5-29,7.0,190.0,9.64,81.4,3,63.333,no_data_yet,no_data_yet,78.55,11142.92
2015-5-30,2.0,54.5,12.0,22.5,2,27.25,no_data_yet,no_data_yet,21.47,11121.89
2015-5-31,3.0,35.1,10.5,100.0,2,17.55,no_data_yet,no_data_yet,46.1,11077.14
2015-6-1,4.0,125.5,11.13,41.3,2,62.75,no_data_yet,no_data_yet,3.25,11081.77
2015-6-2,1.0,5.0,14.0,15.0,1,5.0,no_data_yet,no_data_yet,62.83,11018.98
2015-6-3,6.0,144.9,11.58,60.0,2,72.45,no_data_yet,no_data_yet,18.76,11039.98
2015-6-4,5.0,140.0,11.2,81.0,2,70.0,no_data_yet,no_data_yet,81.84,11124.92
2015-6-5,2.0,70.0,10.25,60.0,1,70.0,no_data_yet,no_data_yet,85.16,11040.7
2015-6-6,2.0,70.0,8.75,30.0,2,35.0,no_data_yet,no_data_yet,28.3,11012.94
2015-6-7,3.0,62.0,12.67,20.0,2,31.0,no_data_yet,no_data_yet,39.73,10973.7
2015-6-8,5.0,190.0,10.5,102.0,2,95.0,no_data_yet,no_data_yet,136.26,11113.77
2015-6-9,3.0,176.0,11.33,25.0,2,88.0,no_data_yet,no_data_yet,105.06,11220.28
2015-6-10,7.0,243.5,10.79,57.9,2,121.75,no_data_yet,no_data_yet,189.26,11412.85
2015-6-11,5.0,190.0,10.3,72.0,1,190.0,no_data_yet,no_data_yet,3.85,11419.58
2015-6-12,3.0,150.0,10.0,30.0,1,150.0,no_data_yet,no_data_yet,19.79,11440.62
2015-6-13,2.0,25.8,12.5,97.5,1,25.8,no_data_yet,no_data_yet,25.8,11467.55
