时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
钱多多（沪）
2015-3-26,1.0,50.0,9.6,30.0,1,50.0,no_data_yet,no_data_yet,518.01,84665.66
2015-3-27,4.0,4050.0,14.1,142.5,3,1350.0,no_data_yet,no_data_yet,2815.84,87808.9
2015-3-28,1.0,200.0,13.2,90.0,1,200.0,no_data_yet,no_data_yet,276.4,87539.1
2015-3-29,2.0,700.0,14.1,135.0,2,350.0,no_data_yet,no_data_yet,123.59,87706.79
2015-3-30,1.0,500.0,15.0,180.0,1,500.0,no_data_yet,no_data_yet,3.88,87740.42
2015-3-31,2.0,700.0,14.1,135.0,1,700.0,no_data_yet,no_data_yet,575.84,88360.35
2015-4-1,1.0,500.0,15.0,180.0,1,500.0,no_data_yet,no_data_yet,488.5,88886.35
2015-4-2,3.0,521.0,13.8,120.0,2,260.5,no_data_yet,no_data_yet,358.95,89272.2
2015-4-3,3.0,555.0,12.6,100.0,1,555.0,no_data_yet,no_data_yet,408.06,89708.15
2015-4-4,1.0,118.0,9.6,30.0,1,118.0,no_data_yet,no_data_yet,247.74,89461.36
2015-4-5,1.0,303.0,15.0,180.0,1,303.0,no_data_yet,no_data_yet,149.92,89634.0
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,230.87,89403.14
2015-4-7,2.0,456.0,12.3,105.0,1,456.0,no_data_yet,no_data_yet,441.6,89868.95
2015-4-8,2.0,621.0,14.1,135.0,2,310.5,no_data_yet,no_data_yet,1581.59,88321.34
2015-4-9,1.0,321.0,15.0,180.0,1,321.0,no_data_yet,no_data_yet,32.42,88313.0
2015-4-10,2.0,488.0,12.3,105.0,1,488.0,no_data_yet,no_data_yet,125.2,88463.61
2015-4-11,1.0,321.0,15.0,180.0,1,321.0,no_data_yet,no_data_yet,73.43,88414.25
2015-4-12,1.0,321.0,15.0,180.0,1,321.0,no_data_yet,no_data_yet,402.69,88035.64
2015-4-13,3.0,1071.0,12.6,100.0,2,535.5,no_data_yet,no_data_yet,772.5,88848.22
2015-4-14,1.0,321.0,15.0,180.0,1,321.0,no_data_yet,no_data_yet,2131.7,86740.59
2015-4-15,1.0,350.0,9.6,30.0,1,350.0,no_data_yet,no_data_yet,286.5,87029.89
