时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
铜板街
2015-5-27,14.0,6987.5,7.69,61.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,500.0,501.44
2015-5-28,12.0,7090.7,7.23,79.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,500.0,501.44
2015-5-29,34.0,9483.13,6.86,46.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,250.0,752.16
2015-5-30,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,250.0,752.16
2015-5-31,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,250.0,752.16
2015-6-1,10.0,5827.8,7.35,87.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,250.0,752.16
2015-6-2,11.0,5909.0,7.23,71.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,250.0,752.16
2015-6-3,16.0,7224.9,7.73,72.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,98.56,852.45
2015-6-4,16.0,6249.2,7.24,70.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,98.56,852.45
2015-6-5,30.0,5924.58,7.01,51.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet,99.28,953.74
2015-6-6,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,99.28,953.74
2015-6-7,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,99.28,953.74
2015-6-8,26.0,4676.74,6.67,42.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,99.28,953.74
2015-6-9,6.0,4924.9,7.45,97.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,99.28,953.74
2015-6-10,11.0,7606.8,8.05,71.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,598.27,1555.47
2015-6-11,17.0,9360.07,7.84,126.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet,598.27,1555.47
2015-6-12,24.0,15870.65,8.69,138.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1122.0,2688.46
2015-6-13,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1122.0,2688.46
2015-6-14,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1122.0,2688.46
2015-6-15,45.0,6571.64,6.45,44.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1122.0,2688.46
2015-6-16,6.0,2418.6,7.42,82.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1122.0,2688.46
2015-6-17,11.0,7046.9,7.96,73.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,803.45,1886.16
2015-6-18,15.0,6927.59,7.27,80.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,803.45,1886.16
2015-6-19,13.0,8077.18,7.68,67.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet,447.99,2338.75
2015-6-20,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,447.99,2338.75
2015-6-21,1.0,8.28,9.2,330.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,447.99,2338.75
2015-6-22,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,447.99,2338.75
2015-6-23,46.0,9686.93,6.61,56.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet,447.99,2338.75
