时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
银客网
2015-3-26,10.0,431.66,10.2,159.3,6,71.944,no_data_yet,no_data_yet,247.9,101811.94
2015-3-27,11.0,543.8,9.45,117.2,5,108.76,no_data_yet,no_data_yet,249.5,102090.87
2015-3-28,8.0,409.7,9.38,107.9,4,102.424,no_data_yet,no_data_yet,130.82,102227.58
2015-3-29,7.0,327.44,9.29,97.3,5,65.487,no_data_yet,no_data_yet,164.88,102395.85
2015-3-30,12.0,713.21,9.83,106.6,7,101.888,no_data_yet,no_data_yet,431.05,102838.55
2015-3-31,7.0,548.62,10.43,124.0,4,137.156,no_data_yet,no_data_yet,294.43,103146.48
2015-4-1,6.0,544.41,10.0,129.8,4,136.103,no_data_yet,no_data_yet,319.1,103476.66
2015-4-2,7.0,489.08,10.14,123.6,4,122.27,no_data_yet,no_data_yet,309.21,103796.17
2015-4-3,9.0,714.27,9.22,86.3,4,178.567,no_data_yet,no_data_yet,71.01,103731.94
2015-4-4,10.0,659.39,10.2,150.5,6,109.898,no_data_yet,no_data_yet,497.26,104288.5
2015-4-5,7.0,474.73,10.14,146.1,5,94.947,no_data_yet,no_data_yet,359.66,104692.27
2015-4-6,9.0,317.18,10.56,133.4,6,52.863,no_data_yet,no_data_yet,245.04,104955.64
2015-4-7,9.0,575.1,10.11,150.8,5,115.021,no_data_yet,no_data_yet,405.89,105411.82
2015-4-8,8.0,764.3,10.13,128.1,7,109.186,no_data_yet,no_data_yet,659.95,106121.34
2015-4-9,10.0,773.5,10.1,122.9,7,110.499,no_data_yet,no_data_yet,602.29,106782.81
2015-4-10,9.0,645.39,10.56,147.6,7,92.199,no_data_yet,no_data_yet,506.24,107338.19
2015-4-11,9.0,377.68,11.11,186.9,6,62.946,no_data_yet,no_data_yet,285.15,107650.18
2015-4-12,10.0,240.57,10.8,170.8,6,40.096,no_data_yet,no_data_yet,119.01,107779.74
2015-4-13,9.0,344.2,9.89,133.6,4,86.051,no_data_yet,no_data_yet,137.33,107939.47
2015-4-14,8.0,507.55,10.5,157.9,4,126.889,no_data_yet,no_data_yet,337.69,108313.42
2015-4-15,10.0,554.64,10.4,149.2,6,92.44,no_data_yet,no_data_yet,283.66,108630.34
2015-4-16,8.0,418.19,10.13,161.9,3,139.397,no_data_yet,no_data_yet,140.73,108798.71
2015-4-17,7.0,414.04,10.29,167.7,4,103.51,no_data_yet,no_data_yet,137.35,108965.12
2015-4-18,10.0,1163.81,10.2,147.8,6,193.969,no_data_yet,no_data_yet,722.29,109761.78
2015-4-19,7.0,439.6,10.14,140.7,4,109.9,no_data_yet,no_data_yet,82.25,109865.91
2015-4-20,11.0,464.3,9.55,105.5,6,77.383,no_data_yet,no_data_yet,160.83,109713.18
2015-4-21,9.0,541.93,9.44,116.1,4,135.482,no_data_yet,no_data_yet,121.46,109839.42
2015-4-22,11.0,917.73,9.73,113.4,7,131.105,no_data_yet,no_data_yet,249.15,110105.07
2015-4-23,11.0,384.12,10.09,133.3,7,54.874,no_data_yet,no_data_yet,161.27,110273.98
2015-4-24,6.0,581.95,10.33,128.7,4,145.489,no_data_yet,no_data_yet,417.08,110720.58
2015-4-25,8.0,612.13,10.5,146.5,5,122.426,no_data_yet,no_data_yet,490.52,111250.6
2015-4-26,7.0,157.78,9.43,98.4,5,31.557,no_data_yet,no_data_yet,5.83,111245.77
2015-4-27,8.0,400.22,10.0,131.3,6,66.704,no_data_yet,no_data_yet,270.1,111542.28
2015-4-28,9.0,470.62,10.22,125.8,6,78.436,no_data_yet,no_data_yet,374.97,111943.17
2015-4-29,10.0,579.89,10.6,139.9,6,96.648,no_data_yet,no_data_yet,347.72,112324.01
2015-4-30,13.0,781.97,9.77,132.3,7,111.71,no_data_yet,no_data_yet,592.52,112962.33
2015-5-1,7.0,391.89,10.14,141.0,5,78.379,no_data_yet,no_data_yet,228.98,113210.92
2015-5-2,6.0,148.61,10.33,149.5,5,29.722,no_data_yet,no_data_yet,63.6,113285.5
2015-5-3,7.0,210.08,10.14,140.4,5,42.017,no_data_yet,no_data_yet,83.87,113382.98
2015-5-4,10.0,682.29,9.6,110.1,6,113.716,no_data_yet,no_data_yet,208.12,113628.29
2015-5-5,12.0,648.67,9.92,93.5,6,108.112,no_data_yet,no_data_yet,404.37,114045.36
2015-5-6,9.0,614.71,10.0,82.2,5,122.943,no_data_yet,no_data_yet,388.26,114456.34
2015-5-7,7.0,427.63,9.71,88.6,4,106.907,no_data_yet,no_data_yet,18.3,114455.55
2015-5-8,9.0,585.28,10.0,112.6,5,117.055,no_data_yet,no_data_yet,306.01,114802.93
2015-5-9,8.0,376.15,10.88,156.1,6,62.691,no_data_yet,no_data_yet,237.41,115066.77
2015-5-10,7.0,316.95,10.57,152.7,5,63.389,no_data_yet,no_data_yet,109.33,115197.34
2015-5-11,8.0,462.39,10.25,137.3,5,92.478,no_data_yet,no_data_yet,80.81,115144.77
2015-5-12,8.0,461.83,10.13,146.8,4,115.457,no_data_yet,no_data_yet,226.28,115402.39
2015-5-13,7.0,520.06,10.14,141.9,5,104.011,no_data_yet,no_data_yet,342.29,115767.4
2015-5-14,11.0,465.83,9.73,124.6,7,66.547,no_data_yet,no_data_yet,242.32,116015.8
2015-5-15,10.0,572.98,9.5,122.5,6,95.496,no_data_yet,no_data_yet,285.41,116307.5
2015-5-16,9.0,229.02,9.44,95.1,6,38.17,no_data_yet,no_data_yet,64.45,116374.86
2015-5-17,8.0,259.53,9.63,101.5,5,51.906,no_data_yet,no_data_yet,83.8,116462.18
2015-5-18,8.0,601.43,11.13,125.6,5,120.286,no_data_yet,no_data_yet,355.63,116844.44
2015-5-19,10.0,528.75,10.7,118.2,6,88.126,no_data_yet,no_data_yet,255.64,117126.03
2015-5-20,8.0,515.26,11.88,183.9,5,103.052,no_data_yet,no_data_yet,192.3,117344.62
2015-5-21,12.0,479.32,11.08,164.8,7,68.474,no_data_yet,no_data_yet,320.81,117684.55
2015-5-22,9.0,649.89,11.44,156.4,5,129.979,no_data_yet,no_data_yet,494.05,118206.77
2015-5-23,8.0,279.36,11.38,127.3,6,46.559,no_data_yet,no_data_yet,173.79,118391.26
2015-5-24,7.0,212.83,11.14,119.6,5,42.565,no_data_yet,no_data_yet,103.17,118498.37
2015-5-25,10.0,397.8,10.9,107.4,7,56.828,no_data_yet,no_data_yet,214.57,118725.1
2015-5-26,9.0,374.71,11.22,146.7,5,74.942,no_data_yet,no_data_yet,239.22,118993.63
2015-5-27,11.0,627.94,10.82,132.7,6,104.657,no_data_yet,no_data_yet,514.35,119540.92
2015-5-28,9.0,409.87,11.56,148.8,6,68.312,no_data_yet,no_data_yet,295.18,119870.05
2015-5-29,9.0,380.23,11.11,134.9,6,63.371,no_data_yet,no_data_yet,262.32,120155.97
2015-5-30,8.0,351.73,10.38,88.4,6,58.621,no_data_yet,no_data_yet,115.9,120296.39
2015-5-31,8.0,162.5,11.25,109.5,7,23.214,no_data_yet,no_data_yet,39.5,120261.78
2015-6-1,8.0,274.67,11.13,86.8,6,45.778,no_data_yet,no_data_yet,123.81,120393.45
2015-6-2,8.0,464.65,11.38,103.4,7,66.378,no_data_yet,no_data_yet,2.77,120406.34
2015-6-3,8.0,383.68,11.5,114.6,5,76.736,no_data_yet,no_data_yet,236.47,120656.82
2015-6-4,7.0,364.86,11.0,88.6,5,72.973,no_data_yet,no_data_yet,224.02,120891.27
2015-6-5,10.0,976.12,10.9,94.1,7,139.446,no_data_yet,no_data_yet,843.99,121768.62
2015-6-6,9.0,481.02,11.0,95.6,6,80.17,no_data_yet,no_data_yet,272.6,122054.3
