时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
银湖网
2015-3-26,14.0,96.29,10.46,106.9,14,6.878,no_data_yet,no_data_yet,58.11,56855.01
2015-3-27,3.0,48.89,11.17,174.0,3,16.297,no_data_yet,no_data_yet,513.52,56342.79
2015-3-28,1.0,3.94,13.7,540.0,1,3.94,no_data_yet,no_data_yet,287.81,56055.42
2015-3-29,6.0,18.27,13.7,540.0,6,3.045,no_data_yet,no_data_yet,518.46,55539.0
2015-3-30,10.0,1476.74,11.55,191.7,10,147.674,no_data_yet,no_data_yet,1404.79,57040.66
2015-3-31,5.0,135.31,12.44,340.4,5,27.062,no_data_yet,no_data_yet,131.31,56917.25
2015-4-1,10.0,373.47,10.55,99.1,10,37.347,no_data_yet,no_data_yet,259.58,57195.02
2015-4-2,3.0,603.2,12.23,327.7,3,201.067,no_data_yet,no_data_yet,548.64,57789.28
2015-4-3,4.0,236.6,11.93,240.8,4,59.15,no_data_yet,no_data_yet,198.82,58001.82
2015-4-4,7.0,124.7,13.16,493.7,7,17.814,no_data_yet,no_data_yet,88.33,58098.8
2015-4-5,1.0,3.37,13.7,540.0,1,3.37,no_data_yet,no_data_yet,30.43,58068.75
2015-4-6,1.0,2.7,10.0,59.0,1,2.7,no_data_yet,no_data_yet,331.38,57737.41
2015-4-7,6.0,23.43,13.55,510.0,6,3.905,no_data_yet,no_data_yet,521.12,57218.89
2015-4-8,12.0,401.06,13.88,600.0,12,33.422,no_data_yet,no_data_yet,370.29,57617.35
2015-4-9,8.0,515.41,13.35,528.9,8,64.426,no_data_yet,no_data_yet,143.07,57498.76
2015-4-10,11.0,62.72,14.32,703.6,11,5.702,no_data_yet,no_data_yet,33.96,57474.49
2015-4-11,15.0,302.07,14.0,644.1,15,20.138,no_data_yet,no_data_yet,258.99,57751.16
2015-4-12,2.0,9.07,14.4,720.0,2,4.535,no_data_yet,no_data_yet,39.77,57712.81
2015-4-13,9.0,42.14,14.22,680.0,9,4.682,no_data_yet,no_data_yet,497.84,57221.46
2015-4-14,8.0,607.0,13.18,475.9,8,75.875,no_data_yet,no_data_yet,170.51,57409.2
2015-4-15,25.0,177.94,13.98,637.2,25,7.118,no_data_yet,no_data_yet,148.8,57577.26
2015-4-16,12.0,143.57,13.49,532.4,12,11.964,no_data_yet,no_data_yet,118.5,57703.67
2015-4-17,11.0,56.32,13.86,589.1,11,5.12,no_data_yet,no_data_yet,38.66,57749.46
2015-4-18,4.0,20.15,14.4,720.0,4,5.038,no_data_yet,no_data_yet,1.96,57750.66
2015-4-19,15.0,115.23,11.71,320.5,15,7.682,no_data_yet,no_data_yet,58.96,57815.89
2015-4-20,6.0,627.14,11.9,306.5,6,104.523,no_data_yet,no_data_yet,507.25,58335.95
2015-4-21,4.0,22.16,14.4,720.0,4,5.54,no_data_yet,no_data_yet,360.06,57979.36
2015-4-22,3.0,55.9,13.13,419.3,3,18.633,no_data_yet,no_data_yet,24.15,58007.21
2015-4-23,8.0,326.06,13.51,517.5,8,40.758,no_data_yet,no_data_yet,299.31,58327.95
2015-4-24,6.0,26.35,14.37,720.0,6,4.392,no_data_yet,no_data_yet,2.97,58329.11
2015-4-25,6.0,27.4,14.4,720.0,6,4.567,no_data_yet,no_data_yet,2.49,58335.89
2015-4-26,3.0,434.12,12.8,345.0,2,217.06,no_data_yet,no_data_yet,230.44,58128.36
2015-4-27,13.0,855.09,12.85,415.2,13,65.776,no_data_yet,no_data_yet,577.2,58745.91
2015-4-28,4.0,10.3,13.53,495.0,4,2.575,no_data_yet,no_data_yet,169.29,58577.86
2015-4-29,19.0,164.13,12.45,435.1,19,8.638,no_data_yet,no_data_yet,1557.41,57031.06
2015-4-30,14.0,628.19,12.77,414.9,14,44.871,no_data_yet,no_data_yet,511.71,57563.14
2015-5-1,4.0,308.9,12.7,420.8,4,77.225,no_data_yet,no_data_yet,293.97,57283.61
2015-5-2,2.0,11.92,14.4,720.0,2,5.96,no_data_yet,no_data_yet,445.13,56840.35
2015-5-3,1.0,4.31,14.2,720.0,1,4.31,no_data_yet,no_data_yet,767.56,56073.45
2015-5-4,1.0,3.69,14.2,720.0,1,3.69,no_data_yet,no_data_yet,33.78,56040.24
2015-5-5,2.0,9.86,14.3,720.0,2,4.93,no_data_yet,no_data_yet,394.98,55646.8
2015-5-6,6.0,341.3,13.4,555.5,6,56.883,no_data_yet,no_data_yet,278.13,55935.99
2015-5-7,2.0,230.63,13.2,452.0,2,115.315,no_data_yet,no_data_yet,134.73,56085.21
2015-5-8,6.0,783.9,11.32,239.5,5,156.78,no_data_yet,no_data_yet,750.44,56856.64
2015-5-9,6.0,443.48,13.12,496.5,6,73.913,no_data_yet,no_data_yet,233.18,57111.41
2015-5-10,5.0,364.15,13.54,599.0,5,72.83,no_data_yet,no_data_yet,338.49,57463.69
2015-5-11,23.0,919.37,13.31,522.4,23,39.973,no_data_yet,no_data_yet,849.27,58360.96
2015-5-12,13.0,570.37,13.64,589.0,13,43.875,no_data_yet,no_data_yet,543.77,58932.82
2015-5-13,8.0,100.98,10.75,118.5,8,12.623,no_data_yet,no_data_yet,390.07,58546.33
2015-5-14,10.0,460.14,13.02,516.0,10,46.014,no_data_yet,no_data_yet,437.54,59000.06
2015-5-15,5.0,242.09,12.9,451.2,5,48.418,no_data_yet,no_data_yet,41.05,58967.65
2015-5-16,1.0,200.0,10.0,92.0,1,200.0,no_data_yet,no_data_yet,38.58,59011.28
2015-5-17,2.0,160.0,12.0,185.0,2,80.0,no_data_yet,no_data_yet,130.76,59151.77
2015-5-18,12.0,473.36,12.9,467.8,11,43.033,no_data_yet,no_data_yet,450.28,59617.24
2015-5-19,5.0,339.98,13.4,588.2,5,67.996,no_data_yet,no_data_yet,308.43,59934.12
2015-5-20,14.0,75.98,11.8,319.9,14,5.427,no_data_yet,no_data_yet,21.37,59959.52
2015-5-21,9.0,203.74,12.71,464.3,9,22.638,no_data_yet,no_data_yet,154.91,60121.48
2015-5-22,14.0,156.71,13.02,486.6,14,11.194,no_data_yet,no_data_yet,118.43,60248.34
2015-5-23,1.0,300.0,10.0,87.0,1,300.0,no_data_yet,no_data_yet,254.46,60509.95
2015-5-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,42.5,60467.45
2015-5-25,14.0,60.6,13.76,606.5,14,4.329,no_data_yet,no_data_yet,32.78,60508.41
2015-5-26,15.0,473.61,13.42,560.2,15,31.574,no_data_yet,no_data_yet,430.89,60962.55
2015-5-27,2.0,8.73,14.05,630.0,2,4.365,no_data_yet,no_data_yet,115.06,60848.71
2015-5-28,13.0,85.61,12.48,428.1,13,6.585,no_data_yet,no_data_yet,35.13,60890.86
2015-5-29,16.0,425.15,13.14,506.3,16,26.572,no_data_yet,no_data_yet,543.76,60365.47
2015-5-30,9.0,304.65,13.58,590.3,9,33.85,no_data_yet,no_data_yet,251.31,60629.7
2015-5-31,2.0,3.72,13.35,450.0,2,1.86,no_data_yet,no_data_yet,40.65,60589.42
2015-6-1,14.0,87.44,13.86,623.4,14,6.246,no_data_yet,no_data_yet,1901.66,58696.63
2015-6-2,14.0,68.4,13.96,617.1,14,4.886,no_data_yet,no_data_yet,318.95,58387.1
2015-6-3,12.0,91.58,12.37,426.5,11,8.325,no_data_yet,no_data_yet,49.35,58443.66
2015-6-4,13.0,54.06,13.83,581.5,13,4.158,no_data_yet,no_data_yet,34.36,58416.58
2015-6-5,14.0,67.35,14.08,655.7,14,4.811,no_data_yet,no_data_yet,418.46,58007.81
2015-6-6,3.0,9.82,13.63,540.0,3,3.273,no_data_yet,no_data_yet,27.15,57981.87
2015-6-7,5.0,19.19,14.0,648.0,5,3.838,no_data_yet,no_data_yet,1514.37,56470.28
2015-6-8,9.0,43.63,14.1,660.0,9,4.848,no_data_yet,no_data_yet,342.67,56133.82
2015-6-9,8.0,160.69,13.63,612.1,8,20.086,no_data_yet,no_data_yet,525.75,55614.28
2015-6-10,15.0,528.71,13.31,520.5,15,35.247,no_data_yet,no_data_yet,393.58,56047.82
2015-6-11,22.0,362.79,11.39,309.2,22,16.49,no_data_yet,no_data_yet,333.92,56393.68
2015-6-12,20.0,320.21,14.2,786.1,20,16.011,no_data_yet,no_data_yet,271.29,56713.16
2015-6-13,4.0,25.42,14.8,990.0,4,6.355,no_data_yet,no_data_yet,441.3,56277.86
2015-6-14,1.0,9.15,15.0,1080.0,1,9.15,no_data_yet,no_data_yet,12.82,56267.32
2015-6-15,6.0,40.1,14.33,840.0,6,6.683,no_data_yet,no_data_yet,143.01,56132.57
2015-6-16,30.0,843.55,14.86,723.4,30,28.118,no_data_yet,no_data_yet,418.78,56628.67
2015-6-17,11.0,66.92,15.39,769.1,11,6.084,no_data_yet,no_data_yet,465.13,56176.19
2015-6-18,12.0,415.26,15.05,719.6,12,34.605,no_data_yet,no_data_yet,364.36,56575.01
2015-6-19,10.0,79.94,15.96,1008.0,10,7.994,no_data_yet,no_data_yet,43.97,56639.21
2015-6-20,10.0,67.16,14.84,749.7,10,6.716,no_data_yet,no_data_yet,348.17,56303.29
