时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
银禾财富
2015-7-1,3.0,23.78,11.92,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-2,3.0,23.78,11.92,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-3,2.0,20.89,13.44,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-4,1.0,5.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-5,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-6,1.0,4.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-7,3.0,26.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-8,2.0,16.67,12.33,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-9,1.0,7.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-10,2.0,13.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-11,2.0,20.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-12,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-13,3.0,28.0,18.0,40.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-14,2.0,15.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-15,4.0,23.0,18.0,37.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-16,1.0,10.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-17,1.0,10.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-18,3.0,18.0,18.0,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-19,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-20,3.0,18.0,18.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-21,3.0,16.0,18.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-22,3.0,11.0,18.0,70.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-23,2.0,20.0,18.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-24,3.0,14.0,18.0,70.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-25,2.0,22.0,18.0,45.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-26,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-27,2.0,13.0,18.0,45.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-28,2.0,10.0,18.0,45.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-29,2.0,10.0,18.0,45.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-30,5.0,32.0,18.0,36.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-31,4.0,35.0,18.0,37.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-1,1.0,10.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-2,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-3,2.0,7.0,18.0,45.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-8-4,1.0,5.0,18.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
