时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
雅堂金融
2015-3-26,293.0,895.94,19.29,25.8,94,9.531,no_data_yet,no_data_yet,375.25,35854.52
2015-3-27,230.0,702.05,20.38,26.3,89,7.888,no_data_yet,no_data_yet,96.03,35777.56
2015-3-28,313.0,1337.84,20.19,26.4,141,9.488,no_data_yet,no_data_yet,207.16,36008.35
2015-3-29,176.0,480.28,19.67,25.5,71,6.764,no_data_yet,no_data_yet,271.54,35750.1
2015-3-30,173.0,484.07,20.2,25.2,59,8.205,no_data_yet,no_data_yet,355.15,35408.3
2015-3-31,195.0,503.24,20.48,25.2,74,6.8,no_data_yet,no_data_yet,224.3,35197.66
2015-4-1,298.0,780.01,20.42,24.7,93,8.387,no_data_yet,no_data_yet,67.47,35284.98
2015-4-2,326.0,844.06,20.34,24.4,112,7.536,no_data_yet,no_data_yet,9.73,35297.26
2015-4-3,339.0,870.0,21.02,26.6,115,7.565,no_data_yet,no_data_yet,170.2,35490.1
2015-4-4,314.0,625.87,20.39,25.3,131,4.778,no_data_yet,no_data_yet,230.11,35274.47
2015-4-5,498.0,1990.32,18.89,26.6,173,11.505,no_data_yet,no_data_yet,439.97,35746.98
2015-4-6,306.0,779.36,20.18,25.9,109,7.15,no_data_yet,no_data_yet,35.75,35731.42
2015-4-7,433.0,857.92,20.22,25.8,137,6.262,no_data_yet,no_data_yet,57.93,35810.54
2015-4-8,462.0,1250.38,17.5,26.1,148,8.448,no_data_yet,no_data_yet,516.09,36360.57
2015-4-9,387.0,1001.9,17.71,26.4,147,6.816,no_data_yet,no_data_yet,363.96,36749.74
2015-4-10,652.0,1193.65,15.71,26.8,186,6.417,no_data_yet,no_data_yet,595.16,37370.53
2015-4-11,224.0,860.7,17.7,26.6,104,8.276,no_data_yet,no_data_yet,63.93,37459.16
2015-4-12,505.0,2404.64,17.48,24.4,233,10.32,no_data_yet,no_data_yet,695.57,38193.35
2015-4-13,354.0,796.41,18.2,25.1,125,6.371,no_data_yet,no_data_yet,202.64,38415.91
2015-4-14,326.0,928.56,18.18,26.2,109,8.519,no_data_yet,no_data_yet,151.76,38593.03
2015-4-15,305.0,855.36,20.62,25.5,96,8.91,no_data_yet,no_data_yet,144.55,38758.93
2015-4-16,337.0,853.04,20.9,25.7,115,7.418,no_data_yet,no_data_yet,358.92,38422.48
2015-4-17,372.0,1032.6,20.82,24.8,120,8.605,no_data_yet,no_data_yet,176.82,38627.03
2015-4-18,296.0,697.65,20.65,23.3,123,5.672,no_data_yet,no_data_yet,133.67,38510.78
2015-4-19,428.0,2317.76,19.7,26.1,196,11.825,no_data_yet,no_data_yet,1360.32,39980.09
2015-4-20,609.0,1113.91,19.56,24.4,223,4.995,no_data_yet,no_data_yet,24.65,40032.66
2015-4-21,337.0,2007.26,20.4,25.4,126,15.931,no_data_yet,no_data_yet,1606.01,41731.1
2015-4-22,292.0,896.89,20.53,26.4,115,7.799,no_data_yet,no_data_yet,190.93,41947.44
2015-4-23,339.0,664.97,20.25,25.7,115,5.782,no_data_yet,no_data_yet,235.97,41727.25
2015-4-24,376.0,799.46,18.69,26.4,110,7.268,no_data_yet,no_data_yet,1486.18,40260.87
2015-4-25,304.0,810.23,20.47,26.3,119,6.809,no_data_yet,no_data_yet,67.2,40349.73
2015-4-26,292.0,877.25,20.11,26.8,96,9.138,no_data_yet,no_data_yet,11.37,40385.83
2015-4-27,464.0,758.73,19.29,26.4,140,5.42,no_data_yet,no_data_yet,116.98,40286.63
2015-4-28,377.0,966.94,19.51,27.5,128,7.554,no_data_yet,no_data_yet,321.76,40635.06
2015-4-29,293.0,578.65,20.57,26.3,92,6.29,no_data_yet,no_data_yet,141.2,40508.1
2015-4-30,423.0,1018.31,20.34,27.6,128,7.956,no_data_yet,no_data_yet,351.73,40888.98
2015-5-1,458.0,2179.97,20.1,25.2,161,13.54,no_data_yet,no_data_yet,434.41,41352.72
2015-5-2,342.0,975.74,18.92,25.4,90,10.842,no_data_yet,no_data_yet,195.34,41575.27
2015-5-3,313.0,797.68,20.96,24.6,108,7.386,no_data_yet,no_data_yet,140.9,41455.11
2015-5-4,368.0,776.85,20.8,25.1,129,6.022,no_data_yet,no_data_yet,99.35,41573.78
2015-5-5,479.0,1314.36,20.82,26.0,174,7.554,no_data_yet,no_data_yet,182.31,41788.06
2015-5-6,398.0,916.6,20.92,24.9,134,6.84,no_data_yet,no_data_yet,48.43,41859.23
2015-5-7,291.0,811.51,20.88,26.4,121,6.707,no_data_yet,no_data_yet,16.83,41897.88
2015-5-8,355.0,919.89,21.03,26.1,135,6.814,no_data_yet,no_data_yet,6.94,41915.17
2015-5-9,486.0,2052.06,20.61,25.2,208,9.866,no_data_yet,no_data_yet,253.2,42194.77
2015-5-10,599.0,2462.41,19.65,26.3,222,11.092,no_data_yet,no_data_yet,483.79,42717.02
2015-5-11,454.0,1082.88,19.44,26.2,142,7.626,no_data_yet,no_data_yet,184.17,42928.11
2015-5-12,409.0,1285.48,18.95,25.3,155,8.293,no_data_yet,no_data_yet,413.98,43377.39
2015-5-13,353.0,904.78,19.54,25.5,139,6.509,no_data_yet,no_data_yet,222.64,43622.5
2015-5-14,342.0,834.35,18.28,27.4,121,6.895,no_data_yet,no_data_yet,103.49,43748.03
2015-5-15,326.0,894.71,19.92,25.9,116,7.713,no_data_yet,no_data_yet,28.46,43797.28
2015-5-16,317.0,788.41,19.98,23.6,115,6.856,no_data_yet,no_data_yet,39.12,43777.0
2015-5-17,559.0,2672.92,17.81,25.5,205,13.039,no_data_yet,no_data_yet,309.39,44111.57
2015-5-18,398.0,1108.38,19.75,25.1,139,7.974,no_data_yet,no_data_yet,222.4,44361.95
2015-5-19,490.0,1982.68,19.35,25.7,190,10.435,no_data_yet,no_data_yet,666.66,45104.66
2015-5-20,457.0,2177.47,19.68,24.5,178,12.233,no_data_yet,no_data_yet,356.33,45524.5
2015-5-21,341.0,762.8,19.93,25.4,127,6.006,no_data_yet,no_data_yet,104.35,45439.79
2015-5-22,324.0,808.02,19.96,24.5,110,7.346,no_data_yet,no_data_yet,27.71,45488.22
2015-5-23,499.0,2510.99,18.34,26.0,239,10.506,no_data_yet,no_data_yet,1637.64,47239.15
2015-5-24,366.0,986.88,19.75,26.4,124,7.959,no_data_yet,no_data_yet,226.71,47489.83
2015-5-25,412.0,1132.41,19.74,26.5,145,7.81,no_data_yet,no_data_yet,185.5,47704.17
2015-5-26,350.0,1222.25,20.07,25.9,118,10.358,no_data_yet,no_data_yet,254.18,47989.93
2015-5-27,367.0,957.34,20.25,25.9,135,7.091,no_data_yet,no_data_yet,3.49,48017.27
2015-5-28,290.0,1093.76,19.81,26.5,131,8.349,no_data_yet,no_data_yet,190.19,48235.54
2015-5-29,223.0,626.15,19.62,26.2,78,8.028,no_data_yet,no_data_yet,186.2,48065.41
2015-5-30,290.0,698.11,20.1,26.4,101,6.912,no_data_yet,no_data_yet,179.16,47902.42
2015-5-31,194.0,487.18,19.67,26.6,92,5.295,no_data_yet,no_data_yet,492.26,47421.67
2015-6-1,409.0,1122.3,19.84,25.0,156,7.194,no_data_yet,no_data_yet,40.95,47485.4
2015-6-2,338.0,987.39,19.75,24.4,108,9.142,no_data_yet,no_data_yet,113.83,47624.73
2015-6-3,323.0,821.47,20.11,25.6,109,7.536,no_data_yet,no_data_yet,23.1,47668.42
2015-6-4,324.0,698.43,19.62,25.1,115,6.073,no_data_yet,no_data_yet,570.98,47113.81
2015-6-5,389.0,810.95,19.87,25.9,135,6.007,no_data_yet,no_data_yet,1682.57,45449.63
2015-6-6,258.0,672.8,19.99,25.2,96,7.008,no_data_yet,no_data_yet,139.79,45325.73
2015-6-7,610.0,2771.54,17.99,25.2,241,11.5,no_data_yet,no_data_yet,144.64,45493.72
2015-6-8,419.0,1490.13,19.54,24.9,119,12.522,no_data_yet,no_data_yet,527.1,46066.0
2015-6-9,526.0,1513.48,19.05,25.7,195,7.761,no_data_yet,no_data_yet,220.7,46320.72
2015-6-10,437.0,1156.85,19.82,24.7,144,8.034,no_data_yet,no_data_yet,123.79,46473.91
2015-6-11,366.0,1023.31,19.8,25.2,129,7.933,no_data_yet,no_data_yet,117.39,46382.1
2015-6-12,380.0,1399.16,19.61,26.3,154,9.085,no_data_yet,no_data_yet,417.32,46834.24
2015-6-13,338.0,965.99,20.06,26.5,126,7.667,no_data_yet,no_data_yet,161.72,47020.91
2015-6-14,280.0,722.49,20.13,24.9,103,7.014,no_data_yet,no_data_yet,208.84,46830.03
2015-6-15,321.0,942.25,19.88,27.0,125,7.538,no_data_yet,no_data_yet,208.38,47063.29
2015-6-16,345.0,1109.86,20.24,27.0,122,9.097,no_data_yet,no_data_yet,127.42,47221.15
2015-6-17,384.0,975.35,19.97,25.3,130,7.503,no_data_yet,no_data_yet,53.71,47191.71
2015-6-18,384.0,1188.04,20.0,26.5,151,7.868,no_data_yet,no_data_yet,404.28,46818.84
2015-6-19,465.0,2323.51,19.16,27.5,198,11.735,no_data_yet,no_data_yet,1291.81,48218.44
2015-6-20,651.0,3953.79,19.04,26.1,269,14.698,no_data_yet,no_data_yet,977.64,49245.9
2015-6-21,342.0,1089.05,18.88,26.5,131,8.313,no_data_yet,no_data_yet,322.53,49596.95
2015-6-22,288.0,927.46,19.08,26.5,113,8.208,no_data_yet,no_data_yet,536.52,49084.41
2015-6-23,414.0,798.57,19.84,26.0,149,5.36,no_data_yet,no_data_yet,294.67,48808.05
2015-6-24,441.0,1185.97,19.8,24.2,121,9.801,no_data_yet,no_data_yet,49.04,48886.69
2015-6-25,343.0,915.74,19.84,26.0,119,7.695,no_data_yet,no_data_yet,243.74,48666.07
2015-6-26,340.0,793.38,19.5,26.2,110,7.213,no_data_yet,no_data_yet,244.37,48439.74
2015-6-27,877.0,5338.9,18.69,25.9,281,19.0,no_data_yet,no_data_yet,1389.65,49887.17
2015-6-28,358.0,1066.28,17.75,25.6,129,8.266,no_data_yet,no_data_yet,427.7,50341.53
2015-6-29,552.0,1849.73,18.02,26.7,180,10.276,no_data_yet,no_data_yet,328.16,50695.97
2015-6-30,558.0,1315.3,18.32,26.9,171,7.692,no_data_yet,no_data_yet,567.78,51293.71
2015-7-1,686.0,1438.89,17.02,28.0,193,7.455,no_data_yet,no_data_yet,424.7,51750.75
2015-7-2,315.0,1070.62,18.19,25.9,108,9.913,no_data_yet,no_data_yet,111.54,51892.42
2015-7-3,354.0,989.36,18.21,25.3,133,7.439,no_data_yet,no_data_yet,99.41,52011.78
2015-7-4,258.0,591.04,18.29,25.4,104,5.683,no_data_yet,no_data_yet,385.43,51638.76
2015-7-5,318.0,1044.64,19.12,27.2,117,8.929,no_data_yet,no_data_yet,86.29,51751.53
2015-7-6,355.0,821.48,18.96,25.3,117,7.021,no_data_yet,no_data_yet,83.41,51853.25
2015-7-7,338.0,858.51,18.91,25.9,154,5.575,no_data_yet,no_data_yet,214.7,51658.62
2015-7-8,342.0,1126.14,18.74,26.4,119,9.463,no_data_yet,no_data_yet,11.75,51675.2
2015-7-9,360.0,1013.43,19.07,27.7,132,7.677,no_data_yet,no_data_yet,237.27,51462.93
2015-7-10,369.0,1004.58,19.12,27.3,148,6.788,no_data_yet,no_data_yet,74.66,51412.92
2015-7-11,276.0,786.07,19.09,25.7,136,5.78,no_data_yet,no_data_yet,444.11,50987.43
2015-7-12,559.0,3845.69,17.72,25.7,253,15.2,no_data_yet,no_data_yet,458.06,51485.04
2015-7-13,402.0,1077.76,18.22,26.7,124,8.692,no_data_yet,no_data_yet,27.92,51539.66
2015-7-14,353.0,866.47,18.96,26.2,125,6.932,no_data_yet,no_data_yet,53.91,51613.99
2015-7-15,344.0,719.96,18.15,27.2,122,5.901,no_data_yet,no_data_yet,196.95,51433.53
2015-7-16,709.0,5622.03,17.5,25.9,279,20.151,no_data_yet,no_data_yet,548.01,52017.59
2015-7-17,493.0,1621.52,18.16,27.2,157,10.328,no_data_yet,no_data_yet,636.23,52696.18
2015-7-18,417.0,1420.22,18.74,27.2,159,8.932,no_data_yet,no_data_yet,428.95,52294.98
2015-7-19,364.0,2374.6,18.78,27.6,154,15.419,no_data_yet,no_data_yet,1017.04,53409.54
2015-7-20,451.0,1301.3,18.8,27.7,176,7.394,no_data_yet,no_data_yet,269.61,53172.78
