时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
雪山贷
2015-3-26,4.0,200.0,13.88,90.0,3,66.667,no_data_yet,no_data_yet,14.88,11223.72
2015-3-27,5.0,200.11,13.4,88.4,3,66.703,no_data_yet,no_data_yet,35.31,11268.28
2015-3-28,7.0,359.13,13.14,72.9,5,71.826,no_data_yet,no_data_yet,267.81,11541.6
2015-3-29,3.0,150.0,13.0,60.0,3,50.0,no_data_yet,no_data_yet,115.46,11429.65
2015-3-30,4.0,151.05,12.38,67.5,3,50.35,no_data_yet,no_data_yet,422.15,11012.63
2015-3-31,4.0,151.0,13.38,105.0,3,50.333,no_data_yet,no_data_yet,25.97,10995.4
2015-4-1,6.0,250.09,13.67,95.0,4,62.523,no_data_yet,no_data_yet,166.38,11173.53
2015-4-2,4.0,151.0,13.38,112.5,3,50.333,no_data_yet,no_data_yet,54.42,11124.31
2015-4-3,7.0,107.75,13.0,51.4,5,21.55,no_data_yet,no_data_yet,12.96,11114.39
2015-4-4,3.0,101.09,13.0,70.0,3,33.697,no_data_yet,no_data_yet,7.53,11125.76
2015-4-5,4.0,150.52,12.13,30.0,2,75.26,no_data_yet,no_data_yet,87.3,11214.56
2015-4-6,7.0,251.78,13.14,60.0,4,62.945,no_data_yet,no_data_yet,179.04,11400.95
2015-4-7,3.0,100.9,12.17,30.0,2,50.45,no_data_yet,no_data_yet,39.02,11440.98
2015-4-8,6.0,151.64,12.5,51.2,4,37.91,no_data_yet,no_data_yet,8.17,11450.15
2015-4-9,13.0,120.22,13.12,40.3,5,24.044,no_data_yet,no_data_yet,11.88,11438.76
2015-4-10,6.0,151.19,13.0,60.0,5,30.238,no_data_yet,no_data_yet,62.67,11377.1
2015-4-11,4.0,51.08,11.65,75.0,4,12.77,no_data_yet,no_data_yet,95.16,11282.44
2015-4-12,5.0,200.09,12.7,72.0,4,50.023,no_data_yet,no_data_yet,6.49,11289.93
2015-4-13,6.0,151.47,12.27,100.0,4,37.868,no_data_yet,no_data_yet,5.43,11305.61
2015-4-14,7.0,150.59,11.36,77.1,4,37.648,no_data_yet,no_data_yet,3.8,11319.65
2015-4-15,4.0,150.28,17.0,307.5,3,50.093,no_data_yet,no_data_yet,76.74,11275.68
2015-4-16,5.0,250.0,15.6,210.0,4,62.5,no_data_yet,no_data_yet,54.81,11348.87
2015-4-17,4.0,154.28,16.0,240.0,4,38.57,no_data_yet,no_data_yet,30.41,11344.38
2015-4-18,5.0,152.85,14.3,144.0,4,38.213,no_data_yet,no_data_yet,68.65,11431.43
2015-4-19,3.0,150.0,17.33,310.0,3,50.0,no_data_yet,no_data_yet,36.65,11493.95
2015-4-20,7.0,300.2,16.07,254.6,4,75.05,no_data_yet,no_data_yet,215.01,11760.09
2015-4-21,6.0,200.83,15.1,236.5,6,33.472,no_data_yet,no_data_yet,34.65,11824.62
2015-4-22,5.0,201.39,13.3,96.0,3,67.13,no_data_yet,no_data_yet,15.43,11819.95
2015-4-23,10.0,280.67,14.5,41.3,5,56.134,no_data_yet,no_data_yet,87.27,11909.76
2015-4-24,6.0,151.47,12.22,107.2,6,25.245,no_data_yet,no_data_yet,54.0,11865.0
2015-4-25,7.0,118.69,14.0,45.7,4,29.673,no_data_yet,no_data_yet,224.92,11640.08
2015-4-26,6.0,203.65,13.75,225.0,5,40.73,no_data_yet,no_data_yet,91.04,11570.92
2015-4-27,7.0,104.93,14.07,132.9,4,26.233,no_data_yet,no_data_yet,293.34,11299.11
2015-4-28,16.0,413.85,13.53,125.0,6,68.975,no_data_yet,no_data_yet,122.04,11466.21
2015-4-29,8.0,106.31,13.13,120.0,4,26.578,no_data_yet,no_data_yet,5.49,11482.75
2015-4-30,6.0,200.19,13.25,187.5,5,40.038,no_data_yet,no_data_yet,64.81,11574.06
2015-5-1,2.0,100.0,16.75,375.0,2,50.0,no_data_yet,no_data_yet,45.71,11550.35
2015-5-2,5.0,200.02,13.3,182.0,3,66.673,no_data_yet,no_data_yet,94.36,11667.7
2015-5-3,1.0,50.0,12.0,30.0,1,50.0,no_data_yet,no_data_yet,67.86,11600.34
2015-5-4,5.0,154.5,11.8,57.0,4,38.625,no_data_yet,no_data_yet,36.38,11641.73
2015-5-5,2.0,100.0,12.0,30.0,1,100.0,no_data_yet,no_data_yet,84.34,11558.39
2015-5-6,6.0,250.8,13.58,120.0,5,50.16,no_data_yet,no_data_yet,64.94,11639.34
2015-5-7,5.0,250.0,14.5,138.0,4,62.5,no_data_yet,no_data_yet,37.21,11692.04
2015-5-8,9.0,350.34,14.68,153.3,4,87.585,no_data_yet,no_data_yet,18.78,11743.33
2015-5-9,7.0,307.71,15.0,132.9,4,76.928,no_data_yet,no_data_yet,11.38,11751.45
2015-5-10,5.0,250.0,14.6,162.0,3,83.333,no_data_yet,no_data_yet,32.15,11738.79
2015-5-11,15.0,600.5,13.81,142.7,7,85.786,no_data_yet,no_data_yet,485.93,12278.98
2015-5-12,8.0,350.17,14.24,191.3,5,70.034,no_data_yet,no_data_yet,216.37,12531.11
2015-5-13,15.0,307.87,13.0,78.0,6,51.312,no_data_yet,no_data_yet,202.95,12756.88
2015-5-14,16.0,504.61,13.47,106.9,5,100.922,no_data_yet,no_data_yet,360.13,13155.56
2015-5-15,10.0,552.11,15.05,195.0,4,138.028,no_data_yet,no_data_yet,456.79,13665.0
2015-5-16,5.0,251.77,14.2,169.4,5,50.354,no_data_yet,no_data_yet,156.38,13843.63
2015-5-17,5.0,350.0,15.8,246.0,4,87.5,no_data_yet,no_data_yet,291.16,14169.29
2015-5-18,8.0,501.3,14.44,168.8,5,100.26,no_data_yet,no_data_yet,403.15,14608.37
2015-5-19,5.0,450.0,14.8,168.0,4,112.5,no_data_yet,no_data_yet,395.98,15043.4
2015-5-20,5.0,500.0,15.8,246.0,3,166.667,no_data_yet,no_data_yet,351.54,15461.77
2015-5-21,5.0,500.0,15.4,234.0,2,250.0,no_data_yet,no_data_yet,444.09,15970.35
2015-5-22,7.0,552.0,15.21,212.1,6,92.0,no_data_yet,no_data_yet,313.65,16356.65
2015-5-23,5.0,253.6,13.7,101.0,5,50.72,no_data_yet,no_data_yet,2.62,16364.36
2015-5-24,4.0,300.19,14.13,225.0,4,75.048,no_data_yet,no_data_yet,257.43,16658.55
2015-5-25,4.0,400.0,14.88,180.0,3,133.333,no_data_yet,no_data_yet,318.08,17014.38
2015-5-26,8.0,551.7,14.0,135.0,7,78.814,no_data_yet,no_data_yet,497.08,17558.34
2015-5-27,7.0,303.06,13.21,99.0,4,75.765,no_data_yet,no_data_yet,243.64,17834.73
2015-5-28,4.0,400.0,14.13,157.5,3,133.333,no_data_yet,no_data_yet,189.26,18057.74
2015-5-29,8.0,455.63,15.25,176.3,6,75.938,no_data_yet,no_data_yet,390.19,18515.57
2015-5-30,9.0,312.35,14.17,106.7,5,62.47,no_data_yet,no_data_yet,152.11,18700.67
2015-5-31,4.0,300.12,14.38,172.5,4,75.03,no_data_yet,no_data_yet,244.56,18980.48
2015-6-1,12.0,902.81,14.58,167.5,5,180.562,no_data_yet,no_data_yet,717.39,19801.15
2015-6-2,11.0,703.87,13.91,109.1,7,100.553,no_data_yet,no_data_yet,588.54,20443.47
2015-6-3,9.0,703.42,13.83,82.4,5,140.684,no_data_yet,no_data_yet,558.86,21028.89
2015-6-4,8.0,650.39,13.19,86.3,5,130.078,no_data_yet,no_data_yet,437.15,21492.04
2015-6-5,9.0,610.21,13.33,78.9,5,122.042,no_data_yet,no_data_yet,484.95,22002.49
2015-6-6,8.0,607.1,13.58,118.8,6,101.183,no_data_yet,no_data_yet,548.15,22596.13
2015-6-7,7.0,504.43,13.73,104.1,5,100.886,no_data_yet,no_data_yet,500.58,23128.68
2015-6-8,9.0,707.17,14.74,125.6,6,117.862,no_data_yet,no_data_yet,698.61,23879.69
2015-6-9,7.0,612.0,14.31,147.1,4,153.0,no_data_yet,no_data_yet,609.96,24541.06
2015-6-10,12.0,678.08,14.41,102.8,10,67.808,no_data_yet,no_data_yet,188.17,24764.71
2015-6-11,9.0,643.08,14.78,146.7,6,107.18,no_data_yet,no_data_yet,421.7,25244.01
2015-6-12,7.0,623.3,14.94,122.9,5,124.66,no_data_yet,no_data_yet,328.3,25610.1
2015-6-13,8.0,505.49,14.13,90.0,6,84.248,no_data_yet,no_data_yet,152.3,25791.26
2015-6-14,13.0,515.65,13.77,73.1,6,85.942,no_data_yet,no_data_yet,132.67,25957.54
2015-6-15,16.0,745.23,12.85,58.6,8,93.154,no_data_yet,no_data_yet,492.63,26477.08
2015-6-16,9.0,512.38,14.52,83.3,7,73.197,no_data_yet,no_data_yet,237.58,26732.54
2015-6-17,11.0,603.78,14.45,60.2,9,67.087,no_data_yet,no_data_yet,203.64,26951.78
2015-6-18,8.0,638.04,14.6,82.5,4,159.51,no_data_yet,no_data_yet,341.0,27316.88
2015-6-19,6.0,600.0,16.23,100.0,3,200.0,no_data_yet,no_data_yet,414.55,27760.78
2015-6-20,9.0,627.12,15.27,77.0,6,104.52,no_data_yet,no_data_yet,198.28,27988.41
2015-6-21,8.0,555.5,14.2,65.8,5,111.1,no_data_yet,no_data_yet,198.79,28207.15
2015-6-22,9.0,539.75,15.08,75.0,5,107.95,no_data_yet,no_data_yet,318.36,28551.17
2015-6-23,8.0,625.56,17.11,86.1,5,125.112,no_data_yet,no_data_yet,519.46,29103.36
2015-6-24,7.0,610.0,17.7,94.1,5,122.0,no_data_yet,no_data_yet,404.35,29540.21
2015-6-25,10.0,625.24,17.39,86.5,6,104.207,no_data_yet,no_data_yet,389.09,29961.57
2015-6-26,7.0,523.3,17.24,85.0,5,104.66,no_data_yet,no_data_yet,294.04,30283.2
