时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
麦钱
2015-3-26,3.0,18.0,14.0,150.0,3,6.0,no_data_yet,no_data_yet,18.0,33.23
2015-3-27,3.0,12.0,13.6,120.0,3,4.0,no_data_yet,no_data_yet,12.0,45.67
2015-3-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,12.0,45.67
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,12.0,45.67
2015-3-30,1.0,10.0,14.4,180.0,1,10.0,no_data_yet,no_data_yet,10.0,56.09
2015-3-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.0,56.09
2015-4-1,1.0,7.0,14.4,180.0,1,7.0,no_data_yet,no_data_yet,7.0,63.39
2015-4-2,1.0,8.0,14.4,180.0,1,8.0,no_data_yet,no_data_yet,8.0,71.73
2015-4-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,8.0,71.73
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,8.0,71.73
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,8.0,71.73
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,8.0,71.73
2015-4-7,1.0,8.0,14.4,180.0,1,8.0,no_data_yet,no_data_yet,8.0,80.07
2015-4-8,1.0,8.0,14.4,180.0,1,8.0,no_data_yet,no_data_yet,8.0,88.41
2015-4-9,2.0,18.0,12.0,30.0,2,9.0,no_data_yet,no_data_yet,18.0,106.59
2015-4-10,1.0,10.0,12.0,30.0,1,10.0,no_data_yet,no_data_yet,10.0,116.69
2015-4-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.0,116.69
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.0,116.69
2015-4-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.0,116.69
2015-4-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.0,116.69
2015-4-15,2.0,16.0,14.4,180.0,2,8.0,no_data_yet,no_data_yet,16.0,133.37
2015-4-16,3.0,23.0,14.4,180.0,3,7.667,no_data_yet,no_data_yet,23.0,157.34
2015-4-17,4.0,30.5,14.4,180.0,4,7.625,no_data_yet,no_data_yet,30.5,189.14
2015-4-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,30.5,189.14
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,30.5,189.14
2015-4-20,2.0,11.5,14.4,180.0,2,5.75,no_data_yet,no_data_yet,11.5,201.12
2015-4-21,4.0,26.0,14.4,180.0,4,6.5,no_data_yet,no_data_yet,26.0,228.23
2015-4-22,2.0,18.0,14.4,180.0,2,9.0,no_data_yet,no_data_yet,18.0,246.99
2015-4-23,4.0,30.0,14.4,180.0,4,7.5,no_data_yet,no_data_yet,30.0,278.26
2015-4-24,3.0,29.0,13.6,130.0,3,9.667,no_data_yet,no_data_yet,27.54,306.87
2015-4-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,1.83,305.05
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.95,304.1
2015-4-27,3.0,26.0,14.4,180.0,3,8.667,no_data_yet,no_data_yet,26.0,331.21
2015-4-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,26.0,331.21
