时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
东起投资
2015-3-26,1.0,7.56,18.0,30.0,1,7.559,no_data_yet,no_data_yet,7.56,146.02
2015-3-27,2.0,6.44,18.0,30.0,2,3.22,no_data_yet,no_data_yet,6.44,152.56
2015-3-28,2.0,6.0,18.0,30.0,2,3.0,no_data_yet,no_data_yet,2.73,149.92
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,7.51,142.41
2015-3-30,1.0,6.71,18.0,30.0,1,6.714,no_data_yet,no_data_yet,2.15,144.66
2015-3-31,2.0,7.59,18.0,30.0,2,3.793,no_data_yet,no_data_yet,7.59,152.36
2015-4-1,2.0,6.0,18.0,30.0,2,3.0,no_data_yet,no_data_yet,1.43,153.88
2015-4-2,2.0,24.48,19.0,60.0,2,12.238,no_data_yet,no_data_yet,20.42,175.29
2015-4-3,1.0,10.48,18.0,30.0,1,10.483,no_data_yet,no_data_yet,6.42,181.87
2015-4-4,1.0,9.04,18.0,30.0,1,9.041,no_data_yet,no_data_yet,2.12,179.88
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.94,176.94
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,3.35,173.59
2015-4-7,3.0,14.8,18.0,30.0,3,4.933,no_data_yet,no_data_yet,14.8,188.61
2015-4-8,2.0,5.7,18.0,30.0,2,2.85,no_data_yet,no_data_yet,1.62,190.31
2015-4-9,2.0,11.38,19.0,60.0,2,5.688,no_data_yet,no_data_yet,5.82,196.54
2015-4-10,2.0,7.62,18.0,30.0,2,3.812,no_data_yet,no_data_yet,4.28,200.93
2015-4-11,2.0,5.5,18.0,30.0,2,2.75,no_data_yet,no_data_yet,2.15,203.16
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,7.08,196.08
2015-4-13,1.0,7.37,18.0,30.0,1,7.372,no_data_yet,no_data_yet,1.78,194.41
2015-4-14,1.0,8.63,18.0,30.0,1,8.628,no_data_yet,no_data_yet,8.63,203.16
2015-4-15,2.0,6.0,18.0,30.0,2,3.0,no_data_yet,no_data_yet,1.23,204.48
2015-4-16,1.0,5.77,18.0,30.0,1,5.769,no_data_yet,no_data_yet,2.62,207.19
2015-4-17,1.0,9.23,18.0,30.0,1,9.231,no_data_yet,no_data_yet,6.45,213.78
2015-4-18,3.0,12.0,18.67,50.0,3,4.0,no_data_yet,no_data_yet,7.17,221.34
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,12.18,209.16
