时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
中融财投
2015-4-8,4.0,23.28,12.89,30.0,2,11.639,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,3.0,22.33,11.18,30.0,2,11.163,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,3.0,23.03,11.18,30.0,2,11.515,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,3.0,30.78,11.51,30.0,2,15.389,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,4.0,30.78,13.39,30.0,2,15.389,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,1.0,8.5,18.0,30.0,1,8.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,1.0,6.53,20.0,60.0,1,6.532,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,2.0,10.97,19.0,45.0,2,5.484,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,1.0,6.5,18.0,30.0,1,6.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,1.0,6.5,18.0,30.0,1,6.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,1.0,8.5,18.0,30.0,1,8.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,1.0,7.5,18.0,30.0,1,7.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,1.0,8.5,18.0,30.0,1,8.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,1.0,6.5,18.0,30.0,1,6.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,1.0,6.5,18.0,30.0,1,6.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,1.0,5.7,18.0,30.0,1,5.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,1.0,6.5,18.0,30.0,1,6.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,1.0,6.5,18.0,30.0,1,6.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,1.0,6.5,18.0,30.0,1,6.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,4.0,22.28,13.22,30.0,2,11.139,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,4.0,21.89,13.44,30.0,2,10.944,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,1.0,9.0,18.0,30.0,1,9.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,1.0,8.0,18.0,30.0,1,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,1.0,6.5,18.0,30.0,1,6.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,1.0,6.0,18.0,30.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,1.0,9.5,18.0,30.0,1,9.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,1.0,4.5,18.0,30.0,1,4.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,1.0,3.5,18.0,30.0,1,3.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-9,1.0,7.5,18.0,30.0,1,7.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-11,1.0,9.5,18.0,30.0,1,9.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,1.0,5.5,18.0,30.0,1,5.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,1.0,6.5,18.0,30.0,1,6.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,1.0,8.0,18.0,30.0,1,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,1.0,5.2,18.0,30.0,1,5.204,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-16,1.0,21.74,18.0,30.0,1,21.743,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-18,1.0,4.9,18.0,30.0,1,4.902,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-19,1.0,6.15,18.0,30.0,1,6.15,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-20,1.0,12.5,18.0,30.0,1,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-21,1.0,4.8,18.0,30.0,1,4.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-22,1.0,11.0,18.0,30.0,1,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-23,1.0,5.5,18.0,30.0,1,5.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-26,2.0,17.3,18.0,30.0,2,8.65,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-27,1.0,5.5,18.0,30.0,1,5.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-28,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-29,1.0,9.0,18.0,30.0,1,9.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-30,1.0,8.5,18.0,30.0,1,8.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-1,1.0,5.5,18.0,30.0,1,5.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-2,1.0,7.5,18.0,30.0,1,7.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-3,1.0,7.0,18.0,30.0,1,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-4,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
