时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
亚太融资网
2015-3-27,3.0,30.0,14.0,80.0,3,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,3.0,30.0,14.33,100.0,2,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,5.0,50.0,14.6,108.0,2,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,2.0,20.0,13.0,30.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,5.0,50.0,15.0,132.0,3,16.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,1.0,50.0,16.0,180.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,1.0,10.0,16.0,180.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,6.0,60.0,14.67,115.0,3,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,1.0,10.0,13.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,3.0,30.0,14.33,100.0,3,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,2.0,20.0,14.5,105.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,1.0,10.0,16.0,180.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,1.0,10.0,13.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,2.0,20.0,14.5,105.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,1.0,10.0,14.0,90.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,1.0,20.0,16.0,180.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,1.0,50.0,13.0,30.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,2.0,70.0,13.5,60.0,2,35.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,2.0,60.0,14.5,105.0,2,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,1.0,20.0,14.0,90.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,1.0,50.0,13.0,30.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,2.0,50.0,14.5,105.0,2,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,1.0,30.0,13.0,30.0,1,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,1.0,30.0,16.0,180.0,1,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,2.0,80.0,13.5,60.0,2,40.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-11,3.0,50.0,14.0,80.0,2,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,2.0,20.0,13.0,30.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,1.0,10.0,13.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-17,1.0,10.0,13.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-20,1.0,20.0,16.0,180.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
