时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
亿信金融
2015-5-22,2.0,1.1,13.83,30.0,1,1.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-28,1.0,20.0,21.0,30.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-29,2.0,21.0,21.0,30.0,2,10.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-30,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-1,4.0,33.54,14.39,37.5,4,8.385,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-2,4.0,33.54,14.39,37.5,4,8.385,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-3,5.0,19.76,15.11,33.2,5,3.952,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-4,4.0,14.76,13.64,26.3,4,3.69,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-5,4.0,14.76,13.64,26.3,4,3.69,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-6,4.0,14.76,13.64,26.3,4,3.69,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-8,4.0,14.76,13.64,26.3,4,3.69,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-9,4.0,14.76,13.64,26.3,4,3.69,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-10,4.0,14.76,13.64,26.3,4,3.69,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-11,4.0,14.76,13.64,26.3,4,3.69,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-12,4.0,14.76,13.64,26.3,4,3.69,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-13,4.0,14.76,13.64,26.3,4,3.69,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-15,4.0,14.76,13.64,26.3,4,3.69,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-16,4.0,14.76,13.64,26.3,4,3.69,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-17,4.0,14.76,13.64,26.3,4,3.69,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-18,4.0,14.76,13.64,26.3,4,3.69,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-19,4.0,14.76,13.64,26.3,4,3.69,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-22,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-23,4.0,14.76,13.64,26.3,4,3.69,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-24,4.0,14.76,13.64,26.3,4,3.69,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-25,4.0,14.76,13.64,26.3,4,3.69,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-26,4.0,14.76,13.64,26.3,4,3.69,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-27,4.0,14.76,13.64,26.3,4,3.69,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-29,4.0,14.76,13.64,26.3,4,3.69,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-30,4.0,14.76,13.64,26.3,4,3.69,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-1,4.0,14.76,13.64,26.3,4,3.69,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-2,4.0,15.88,19.47,16.0,4,3.97,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-3,4.0,18.88,19.47,16.0,4,4.72,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-4,4.0,18.88,19.47,16.0,4,4.72,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-6,4.0,18.88,19.47,16.0,4,4.72,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-7,4.0,18.88,19.47,16.0,4,4.72,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-8,4.0,18.88,19.47,16.0,4,4.72,no_data_yet,no_data_yet,no_data_yet,no_data_yet
