时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
元富资产
2015-4-14,2.0,18.0,15.6,7.5,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,1.0,11.48,18.0,15.0,1,11.483,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,1.0,5.0,21.6,10.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,1.0,8.0,21.6,15.0,1,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,1.0,6.0,21.6,15.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,2.0,38.0,21.6,20.0,1,38.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,1.0,5.0,21.6,7.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,1.0,6.0,21.6,10.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,1.0,1.74,21.6,30.0,1,1.743,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,2.0,16.26,21.6,30.0,1,16.257,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,1.0,5.0,21.6,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,1.0,5.0,21.6,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,1.0,6.0,21.6,30.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,1.0,10.0,21.6,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,1.0,5.0,21.6,10.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,2.0,10.0,21.6,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-11,1.0,5.0,21.6,15.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,2.0,6.0,21.6,30.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,2.0,10.0,21.6,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,2.0,5.0,21.6,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-18,1.0,10.0,21.6,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-19,1.0,5.0,21.6,15.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-20,1.0,8.0,21.6,30.0,1,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-21,1.0,10.0,21.6,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-22,2.0,15.0,21.6,30.0,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-25,1.0,10.0,21.6,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-26,1.0,6.0,21.6,15.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-27,1.0,5.0,21.6,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-28,1.0,7.0,21.6,10.0,1,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-29,1.0,8.0,21.6,30.0,1,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-30,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-1,1.0,10.0,21.6,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-2,1.0,8.0,21.6,30.0,1,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-3,1.0,5.0,21.6,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-4,1.0,10.0,21.6,15.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-5,1.0,10.0,21.6,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-8,1.0,10.0,21.6,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-9,2.0,12.0,21.6,30.0,1,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-10,1.0,6.0,21.6,30.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-11,1.0,10.0,21.6,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-12,2.0,15.0,21.6,30.0,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-15,1.0,10.0,21.6,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-16,1.0,8.0,21.6,30.0,1,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-17,1.0,10.0,21.6,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-18,1.0,7.0,21.6,30.0,1,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-19,1.0,10.0,21.6,15.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-22,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-23,1.0,10.0,21.6,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-24,1.0,10.0,21.6,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-25,1.0,5.0,21.6,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-26,1.0,10.0,21.6,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-29,1.0,10.0,21.6,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-30,1.0,15.0,21.6,20.0,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-1,1.0,8.0,21.6,30.0,1,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-2,1.0,10.0,21.6,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-3,1.0,10.0,21.6,10.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
