时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
同鑫创投
2015-3-26,5.0,34.0,21.36,102.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3.46,1155.28
2015-3-27,4.0,20.0,21.0,75.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,15.63,1140.54
2015-3-28,4.0,25.0,20.7,45.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,5.54,1135.65
2015-3-29,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.68,1124.96
2015-3-30,3.0,25.0,20.4,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3.77,1129.15
2015-3-31,4.0,40.0,20.4,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,24.36,1154.19
2015-4-1,5.0,36.0,20.64,66.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,20.17,1175.74
2015-4-2,5.0,32.0,20.64,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,11.13,1187.95
2015-4-3,5.0,31.0,20.64,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,25.74,1214.83
2015-4-4,4.0,34.0,21.2,75.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1.8,1214.68
2015-4-5,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,41.02,1173.66
2015-4-6,4.0,36.0,20.8,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,20.33,1195.3
2015-4-7,3.0,24.0,21.07,70.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,23.91,1220.21
2015-4-8,4.0,23.0,20.8,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1.99,1223.06
2015-4-9,4.0,32.0,20.8,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,3.64,1227.79
2015-4-10,4.0,30.0,20.8,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2.12,1230.97
2015-4-11,4.0,33.0,21.2,75.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,16.23,1248.69
2015-4-12,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,15.51,1233.18
2015-4-13,4.0,38.0,21.2,105.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,12.49,1248.65
2015-4-14,5.0,35.0,20.32,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,29.91,1279.75
2015-4-15,3.0,16.0,20.53,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,0.49,1280.77
2015-4-16,5.0,29.0,21.28,114.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1.88,1280.95
2015-4-17,3.0,18.0,21.07,70.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.59,1291.33
2015-4-18,4.0,30.0,20.8,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,22.65,1315.04
2015-4-19,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,25.5,1289.54
2015-4-20,5.0,38.0,20.64,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2.21,1293.07
2015-4-21,4.0,23.0,20.8,67.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,2.64,1296.71
2015-4-22,4.0,24.0,20.4,52.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,6.79,1290.57
2015-4-23,4.0,30.0,21.2,105.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,25.46,1318.19
2015-4-24,4.0,23.0,20.8,75.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,15.45,1334.43
2015-4-25,4.0,25.0,20.4,45.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,19.39,1354.42
2015-4-26,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.35,1344.07
2015-4-27,5.0,30.0,20.96,78.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.57,1355.77
2015-4-28,3.0,20.0,20.53,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,19.5,1375.79
2015-4-29,4.0,31.0,20.8,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,20.3,1356.61
2015-4-30,4.0,31.0,21.2,75.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,23.07,1335.03
2015-5-1,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,16.2,1318.83
2015-5-2,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,26.08,1292.75
2015-5-3,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,15.71,1277.04
2015-5-4,4.0,20.0,20.8,67.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,14.21,1292.18
2015-5-5,4.0,25.0,20.4,52.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,19.68,1312.51
2015-5-6,4.0,23.0,20.8,75.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,5.04,1308.26
2015-5-7,5.0,32.0,21.28,114.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,18.49,1329.08
2015-5-8,5.0,40.0,20.64,78.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,13.93,1344.97
2015-5-9,4.0,25.0,20.4,45.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,8.44,1337.14
2015-5-10,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,15.93,1321.2
2015-5-11,4.0,23.0,20.8,67.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,4.07,1318.13
2015-5-12,4.0,30.0,20.8,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,14.75,1333.93
2015-5-13,3.0,20.0,20.53,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,9.24,1343.86
2015-5-14,3.0,20.0,20.53,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,14.41,1358.79
2015-5-15,3.0,20.0,20.53,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1.53,1357.78
2015-5-16,4.0,23.0,20.8,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.13,1368.78
2015-5-17,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,5.59,1363.19
2015-5-18,3.0,14.0,20.53,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,1.75,1361.82
2015-5-19,5.0,29.0,21.28,102.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,28.93,1392.52
