时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
宇金源财富
2015-4-8,1.0,6.66,6.6,30.0,1,6.66,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,2.0,11.1,13.3,45.0,2,5.55,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,1.0,6.0,6.6,30.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,1.0,1.8,20.0,30.0,1,1.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,1.0,2.18,20.0,30.0,1,2.18,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,2.0,8.2,13.3,45.0,2,4.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,1.0,5.0,20.0,60.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,1.0,3.5,20.0,30.0,1,3.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,2.0,5.4,20.0,30.0,2,2.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,1.0,2.5,20.0,30.0,1,2.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,5.0,11.0,20.0,30.0,3,3.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,4.0,4.0,20.0,30.0,3,1.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,1.0,3.2,20.0,30.0,1,3.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,1.0,3.0,20.0,30.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,1.0,3.5,20.0,30.0,1,3.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,1.0,3.0,20.0,30.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,1.0,3.6,20.0,30.0,1,3.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,2.0,6.3,20.0,30.0,2,3.15,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,1.0,3.5,20.0,30.0,1,3.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,2.0,8.5,12.0,30.0,2,4.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
