时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
安穗金融
2015-6-28,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,10.0,10.15
2015-6-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.0,10.15
2015-6-30,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,10.0,20.3
2015-7-1,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,10.0,30.45
2015-7-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.0,30.45
2015-7-3,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,5.0,35.53
2015-7-4,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,5.0,40.6
2015-7-5,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,5.0,45.68
2015-7-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.0,45.68
2015-7-7,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,10.0,55.83
2015-7-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.0,55.83
2015-7-9,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,10.0,65.98
2015-7-10,1.0,15.0,18.0,30.0,1,15.0,no_data_yet,no_data_yet,15.0,81.2
2015-7-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,15.0,81.2
2015-7-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,15.0,81.2
2015-7-13,2.0,16.0,19.0,60.0,1,16.0,no_data_yet,no_data_yet,16.0,97.65
2015-7-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,16.0,97.65
2015-7-15,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,10.0,107.8
2015-7-16,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,10.0,117.95
2015-7-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.0,117.95
2015-7-18,2.0,16.0,19.0,60.0,1,16.0,no_data_yet,no_data_yet,16.0,134.4
2015-7-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,16.0,134.4
2015-7-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,16.0,134.4
2015-7-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,16.0,134.4
2015-7-22,1.0,12.0,18.0,30.0,1,12.0,no_data_yet,no_data_yet,12.0,146.58
2015-7-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,12.0,146.58
2015-7-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,12.0,146.58
2015-7-25,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,10.0,156.73
2015-7-26,1.0,10.0,20.0,90.0,1,10.0,no_data_yet,no_data_yet,10.0,167.23
2015-7-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.0,167.23
2015-7-28,1.0,8.0,18.0,30.0,1,8.0,no_data_yet,no_data_yet,2.15,165.2
2015-7-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,2.15,165.2
2015-7-30,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,0.15,165.2
2015-7-31,1.0,10.0,20.0,90.0,1,10.0,no_data_yet,no_data_yet,0.15,165.55
2015-8-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.15,165.55
2015-8-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.08,160.48
2015-8-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,5.08,155.4
2015-8-4,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,4.93,160.48
2015-8-5,1.0,10.0,20.0,90.0,1,10.0,no_data_yet,no_data_yet,10.0,170.98
2015-8-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.15,160.83
2015-8-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.15,160.83
2015-8-8,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,0.15,160.83
2015-8-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,15.23,145.6
2015-8-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,15.23,145.6
2015-8-11,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,10.0,155.75
2015-8-12,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,0.15,155.75
2015-8-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.15,155.75
2015-8-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,10.15,145.6
2015-8-15,1.0,10.0,20.0,90.0,1,10.0,no_data_yet,no_data_yet,0.15,145.95
2015-8-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,0.15,145.95
2015-8-17,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,0.15,145.95
2015-8-18,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,10.0,156.1
