时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
尚佳财富
2015-3-26,4.0,40.0,19.25,14.3,4,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,4.0,40.0,19.25,14.3,4,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,4.0,40.0,19.25,14.3,4,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,3.0,30.0,18.0,9.0,3,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,5.0,50.0,20.0,17.4,5,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,4.0,40.0,19.25,14.3,4,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,4.0,40.0,19.25,14.3,4,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,4.0,40.0,19.25,15.0,4,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,4.0,40.0,19.25,15.0,4,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,4.0,40.0,19.25,15.0,4,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,5.0,68.0,17.4,18.0,5,13.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,4.0,40.0,19.25,15.0,4,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,3.0,30.0,18.0,10.0,3,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,6.0,60.0,20.33,30.0,6,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,4.0,40.0,19.25,15.0,4,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,4.0,40.0,19.25,15.0,4,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,3.0,30.0,18.0,10.0,3,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
