时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
弈信贷
2015-5-11,3.0,86.67,20.0,1.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,3.0,106.67,20.0,1.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,4.0,136.67,20.0,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,6.0,95.0,20.0,26.2,3,31.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,6.0,125.55,20.0,26.2,3,41.851,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-18,4.0,43.89,20.0,24.3,3,14.63,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-19,3.0,29.89,20.0,22.3,2,14.944,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-20,3.0,31.89,20.0,22.3,2,15.944,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-21,4.0,57.39,20.0,24.3,3,19.13,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-22,3.0,27.89,20.0,22.3,1,27.889,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-25,3.0,28.89,20.0,22.3,2,14.444,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-26,3.0,27.89,20.0,22.3,2,13.944,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-27,3.0,28.89,20.0,22.3,2,14.444,no_data_yet,no_data_yet,no_data_yet,no_data_yet
