时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
弘利创投
2015-5-29,1.0,8.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,8.0,8.11
2015-5-30,3.0,30.8,15.4,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,30.8,39.25
2015-5-31,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,30.8,39.25
2015-6-1,3.0,26.0,12.8,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,26.0,65.52
2015-6-2,4.0,29.8,14.35,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,29.8,95.65
2015-6-3,2.0,10.0,16.0,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,10.0,105.79
2015-6-4,3.0,19.0,14.4,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,19.0,125.0
2015-6-5,5.0,19.0,12.24,42.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,18.0,143.2
2015-6-6,4.0,13.0,8.3,45.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,12.0,155.31
2015-6-7,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,12.0,155.31
2015-6-8,3.0,15.0,12.8,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,15.0,170.47
2015-6-9,2.0,15.0,11.2,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,15.0,185.61
2015-6-10,4.0,23.0,13.6,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,23.0,208.86
2015-6-11,2.0,20.0,9.35,22.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,20.0,228.98
2015-6-12,2.0,20.0,9.35,22.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet,20.0,249.1
2015-6-13,2.0,8.0,13.6,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,8.0,257.2
2015-6-14,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,8.0,257.2
2015-6-15,3.0,15.0,9.97,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,15.0,272.31
2015-6-16,3.0,22.0,9.97,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,22.0,294.48
