时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
微金互助
2015-3-26,3.0,36.0,18.0,120.0,3,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,6.0,50.0,17.67,75.0,6,8.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,3.0,36.0,17.33,70.0,3,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,3.0,21.0,18.0,140.0,3,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,4.0,30.0,17.5,97.5,4,7.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,4.0,37.0,18.0,112.5,4,9.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,5.0,39.0,18.0,120.0,5,7.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,4.0,43.0,17.5,97.5,4,10.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,6.0,38.0,18.0,120.0,6,6.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,3.0,35.0,18.0,120.0,3,11.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,3.0,14.0,18.0,80.0,3,4.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,1.0,15.0,18.0,180.0,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,5.0,49.0,17.6,78.0,5,9.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,6.0,44.0,18.0,115.0,6,7.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,5.0,39.0,17.6,72.0,5,7.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,2.0,18.0,17.0,105.0,2,9.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,2.0,25.0,18.0,90.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,4.0,34.0,18.0,105.0,4,8.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,3.0,35.0,17.33,70.0,3,11.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,6.0,44.0,17.67,95.0,6,7.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,7.0,48.0,18.0,111.4,7,6.857,no_data_yet,no_data_yet,no_data_yet,no_data_yet
