时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
押押贷
2015-5-22,1.0,5.0,8.8,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-23,1.0,10.0,12.0,10.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-25,15.0,150.0,8.88,30.0,1,150.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-26,15.0,150.0,8.88,30.0,1,150.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-27,10.0,100.0,8.88,30.0,1,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-28,10.0,100.0,8.88,30.0,1,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-29,5.0,50.0,8.88,30.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-30,5.0,50.0,8.88,30.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-1,5.0,50.0,8.88,30.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-3,5.0,50.0,8.88,30.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-4,11.0,110.0,9.71,27.5,1,110.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-8,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-13,5.0,230.0,8.88,30.0,1,230.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-15,5.0,50.0,8.88,30.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-16,5.0,50.0,8.88,30.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-17,6.0,100.0,15.63,32.8,1,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-18,7.0,110.0,14.66,32.4,1,110.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-22,1.0,30.0,18.88,10.0,1,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-23,1.0,10.0,18.88,15.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-24,1.0,10.0,20.0,90.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-25,1.0,10.0,20.0,90.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-26,1.0,10.0,20.0,90.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-27,1.0,30.0,18.0,90.0,1,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-29,6.0,60.0,18.0,9.2,1,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-30,3.0,30.0,18.0,16.3,1,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-1,1.0,10.0,18.0,18.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-2,3.0,30.0,18.0,12.7,1,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-3,2.0,20.0,18.0,7.5,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-4,3.0,21.0,17.6,37.3,2,10.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-6,9.0,64.0,16.13,75.0,3,21.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-7,3.0,50.0,17.2,62.3,2,25.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-8,5.0,70.0,17.28,47.0,2,35.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-9,6.0,120.0,16.8,90.0,1,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-10,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-11,1.0,10.0,18.0,18.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-15,1.0,10.0,18.0,10.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-16,3.0,30.0,18.67,17.7,1,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-18,1.0,10.0,18.0,25.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-20,2.0,20.0,18.0,22.5,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-21,4.0,40.0,18.5,18.3,1,40.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-22,2.0,20.0,18.0,30.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-23,2.0,20.0,18.0,30.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-25,5.0,50.0,18.0,30.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-7-27,1.0,500.0,20.0,30.0,1,500.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
