时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
汉商贷
2015-3-26,4.0,20.0,20.0,75.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,4.0,20.0,20.0,75.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,4.0,20.0,20.0,75.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,4.0,20.0,20.0,75.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,4.0,20.0,20.0,75.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,4.0,20.0,20.0,75.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,4.0,20.0,20.0,90.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,5.0,25.0,20.0,90.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,5.0,25.0,20.0,102.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,5.0,25.0,20.0,90.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,5.0,25.0,20.0,90.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,5.0,25.0,20.0,78.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,5.0,25.0,20.0,90.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,4.0,20.0,20.0,90.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,5.0,25.0,20.0,102.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,5.0,25.0,20.0,102.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,5.0,25.0,20.0,90.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,5.0,25.0,20.0,102.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,5.0,25.0,20.0,102.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,5.0,25.0,20.0,90.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,5.0,25.0,20.0,90.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,5.0,25.0,20.0,102.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,5.0,25.0,20.0,90.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
